Kingdom,SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,,,,,,,
Animalia,54,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,55,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,56,II,18/01/1990 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,88,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,89,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,90,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,,,,,,,,,
Animalia,90,III/r,24/10/1977 00:00,57,NULL,,,,,,,,,,,,,,
Animalia,90,III/w,28/06/1979 00:00,57,NULL,,,,,,,,,,,,,,
Animalia,90,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,,,,,,,,,
Animalia,91,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,92,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,93,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,94,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,96,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,97,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,98,III/r,24/10/1977 00:00,57,NULL,,,,,,,,,,,,,,
Animalia,98,III/w,28/06/1979 00:00,57,NULL,,,,,,,,,,,,,,
Animalia,98,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,,,,,,,,,
Animalia,98,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,,,,,,,,,
Animalia,99,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,101,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,102,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,103,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,104,II,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,104,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,,,,,,,,,
Animalia,105,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,106,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,107,II,04/02/1977 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,107,II,28/06/1979 00:00,NULL,"Included with FALCONIFORMES spp,",,,,,,,,,,,,,,
Animalia,108,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,109,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,110,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,111,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,112,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
Animalia,113,II,28/06/1979 00:00,NULL,NULL,,,,,,,,,,,,,,
