Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,ANNELIDA,HIRUDINOIDEA,ARHYNCHOBDELLIDA,HIRUDINIDAE,Hirudo,officinalis,"(Savigny, 1820)",NULL,NULL,NULL,99178,S,10190
Animalia,ANNELIDA,OLIGOCHAETA,TUBICIFIDA#,MEGASCOLECIDAE,Megascolides,americanus,"Smith, 1897",NULL,NULL,NULL,13007,S,6828
Animalia,ANNELIDA,OLIGOCHAETA,TUBICIFIDA#,MEGASCOLECIDAE,Megascolides,macelfreshi,"Smith, 1937",NULL,NULL,NULL,13009,S,6829
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,LYCOSIDAE,Lycosa,raptoria,"(Walckenaer, 1837)",NULL,NULL,NULL,77140,S,77139
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Acanthoscurria,altmanni,"Schmidt, 2003",NULL,NULL,NULL,87446,S,87451
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Brachypelma,albiceps,"Pocock, 1903",NULL,NULL,NULL,87328,S,27854
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Brachypelma,mesomelas,"(F. O. Pickard-Cambridge, 1892)",NULL,NULL,NULL,87345,S,2981
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Brachypelma,pallidum,"F. O. P. Cambridge, 1897",NULL,NULL,NULL,41654,S,27853
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Brachypelmides,klaasi,"Schmidt & Krause, 1994",NULL,NULL,NULL,42196,S,27855
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Brachypelmides,ruhnaui,"Schmidt, 1997",NULL,NULL,NULL,87353,S,87321
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Chaetopelma,anatolicum,"Schmidt & Smith, 1995",NULL,NULL,NULL,87563,S,87566
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Chaetopelma,strandi,"Schmidt, 1991",NULL,NULL,NULL,87570,S,100572
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Cyriocosmus,butantan,"Pérez-Miles, 1998",NULL,NULL,NULL,100579,S,87642
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Delopelma,sabulosum,"(Pickard-Cambridge, 1897)",NULL,NULL,NULL,87346,S,2976
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Dugesiella,epicureana,"(Chamberlin, 1925)",NULL,NULL,NULL,87339,S,2974
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,albopilosus,"(Valerio, 1980)",NULL,NULL,NULL,87332,S,2967
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,angustus,"(Valerio, 1980)",NULL,NULL,NULL,87333,S,2968
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,aureoceps,"(Chamberlin, 1917)",NULL,NULL,NULL,87334,S,2970
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,embrithes,"(Chamberlin & Ivie, 1936)",NULL,NULL,NULL,87336,S,2980
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,emilia,"(White, 1856)",NULL,NULL,NULL,87338,S,2973
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,epicureanus,"(Chamberlin, 1925)",NULL,NULL,NULL,87340,S,2974
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,fossorius,"(Valerio, 1980)",NULL,NULL,NULL,87342,S,2975
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,mesomelas,"(Pickard-Cambridge, 1892)",NULL,NULL,NULL,87343,S,2981
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,pallidus,"(F. O. Pickard-Cambridge, 1897)",NULL,NULL,NULL,87330,S,27853
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,sabulosus,"(Pickard-Cambridge, 1897)",NULL,NULL,NULL,87347,S,2976
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,smithi,"(Pickard-Cambridge, 1897)",NULL,NULL,NULL,8152,S,2977
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Euathlus,vagans,"(Ausserer, 1875)",NULL,NULL,NULL,87350,S,2978
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,aureoceps,"Chamberlin, 1917",NULL,NULL,NULL,87335,S,2970
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,dupontii,"Becker, 1879",NULL,NULL,NULL,87351,S,2978
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,embrithes,"Chamberlin & Ivie, 1936",NULL,NULL,NULL,87337,S,2980
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,emilia,"(White, 1856)",NULL,NULL,NULL,41653,S,2973
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,epicureana,"Chamberlin, 1925",NULL,NULL,NULL,87341,S,2974
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,mesomelas,"Pickard-Cambridge, 1892",NULL,NULL,NULL,87344,S,2981
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,pallidum,"Pickard-Cambridge, 1897",NULL,NULL,NULL,87331,S,27853
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,sabulosum,"Pickard-Cambridge, 1897",NULL,NULL,NULL,87348,S,2976
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,smithi,"Pickard-Cambridge, 1897",NULL,NULL,NULL,87349,S,2977
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Eurypelma,vagans,"Ausserer, 1875",NULL,NULL,NULL,87352,S,2978
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Haplopelma,costale,"Schmidt, 1998",NULL,NULL,NULL,100582,S,87736
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Harpactirella,leleupi,"Benoit, 1965",NULL,NULL,NULL,100587,S,87766
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Metriopelma,nigriventre,NULL,NULL,NULL,NULL,100580,S,88190
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Mygale,emilia,"White, 1856",NULL,NULL,NULL,41652,S,2973
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Oligoxystre,argentinensis,"(Mello-Leitão, 1941)",NULL,NULL,NULL,100567,S,88206
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Ornithoctonus,hainana,"(Liang, Peng, Huang & Chen, 1999)",NULL,NULL,NULL,100583,S,88210
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Ornithoctonus,huwena,"(Wang, Peng & Xie, 1993)",NULL,NULL,NULL,100584,S,88211
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Phlogiellus,bundokalbo,"(Barrion & Litsinger, 1995)",NULL,NULL,NULL,100609,S,100829
Animalia,ARTHROPODA,ARACHNIDA,ARANEAE,THERAPHOSIDAE,Phlogiellus,mutus,"(Giltay, 1935)",NULL,NULL,NULL,100612,S,100830
