Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Alisma,arcuatum,Micheli,NULL,NULL,NULL,116346,S,62588
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Alisma,gramineum,Lej.,ssp.,wahlenbergii,Holmb.,134927,S,46
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Alisma,parnassifolium,L.,NULL,NULL,NULL,118736,S,599
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Alisma,ranunculoides,L.,NULL,NULL,NULL,123768,S,75267
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Damasonium,minimum,Lange,NULL,NULL,NULL,1114,S,30204
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Echinodorus,botanicorum,L.D. Gómez & Gómez-Laurito,NULL,NULL,NULL,29381,S,75850
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Echinodorus,ranunculoides,(L.) Engelm.,NULL,NULL,NULL,81085,S,75267
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Echinodorus,repens,(Lam.) J.Kern & Reichg.,NULL,NULL,NULL,22530,S,75267
Plantae,NULL,NULL,ALISMATALES,ALISMATACEAE,Sagittaria,obtusa,Muhl. ex Willd.,NULL,NULL,NULL,114895,S,81084
Plantae,NULL,NULL,APIALES,ARALIACEAE,Aralia,weberbaueri,Harms,NULL,NULL,NULL,49141,S,103610
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,helleri,Sherff,var.,helleri,NULL,25078,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,helleri,Sherff,var.,microcarpum,Sherff,25079,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,helleri,Sherff,var.,sodalium,Sherff,25080,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,kauaiense,Kraj.,var.,keakuense,Kraj.,23226,S,68013
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,confertiflorum,Sherff,39448,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,ilicoides,Sherff,23653,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,oblongum,Sherff,23228,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,osteostigma,Sherff,23229,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,rockii,Sherff,25081,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,skottsbergii,Sherff,23230,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Cheirodendron,trigynum,(Gaudich.) A.A. Heller,var.,subcordatum,Sherff,25082,S,68014
Plantae,NULL,NULL,APIALES,ARALIACEAE,Didymopanax,morototoni,(Aubl.) Decne. et Planch.,NULL,NULL,NULL,75303,S,77763
Plantae,NULL,NULL,APIALES,ARALIACEAE,Gastonia,cutispongia,Lam.,NULL,NULL,NULL,67877,S,55652
Plantae,NULL,NULL,APIALES,ARALIACEAE,Geopanax,procumbens,Hemsley,NULL,NULL,NULL,12152,S,67928
Plantae,NULL,NULL,APIALES,ARALIACEAE,Hedera,taurica,Carrière,NULL,NULL,NULL,117853,S,134468
Plantae,NULL,NULL,APIALES,ARALIACEAE,Indokingia,crassa,Hemsley,NULL,NULL,NULL,12153,S,67929
Plantae,NULL,NULL,APIALES,ARALIACEAE,Munroidendron,racemosum,(C. Forbes) Sherff,var.,macdanielsii,Sherff,26345,S,87756
Plantae,NULL,NULL,APIALES,ARALIACEAE,Munroidendron,racemosum,(C. Forbes) Sherff,var.,racemosum,NULL,26344,S,87756
Plantae,NULL,NULL,APIALES,ARALIACEAE,Polyscias,ferruginea,(Hiern) Harms,NULL,NULL,NULL,67291,S,48493
Plantae,NULL,NULL,APIALES,ARALIACEAE,Reynoldsia,hosakana,Sherff,NULL,NULL,NULL,23233,S,70213
Plantae,NULL,NULL,APIALES,ARALIACEAE,Reynoldsia,oblonga,Degener & Sherff,NULL,NULL,NULL,23239,S,70213
Plantae,NULL,NULL,APIALES,ARALIACEAE,Reynoldsia,sandwicensis,A.Gray,var.,intercedens,Sherff,26885,S,70213
Plantae,NULL,NULL,APIALES,ARALIACEAE,Reynoldsia,sandwicensis,A.Gray,var.,molokaiensis,Sherff,26886,S,70213
Plantae,NULL,NULL,APIALES,ARALIACEAE,Reynoldsia,sandwicensis,A.Gray,var.,sandwicensis,NULL,26884,S,70213
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,barteri,(Seem.) Harms,var.,urostachya,(Harms) Tenn,153541,S,169926
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,cainarachiensis,Harms,NULL,NULL,NULL,169378,S,169382
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,choganhensis,Harms,NULL,NULL,NULL,59357,S,169934
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,elegans,(Ridley) Ridley,NULL,NULL,NULL,39531,S,109055
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,octophylla,(Lour.) Harms,NULL,NULL,NULL,59359,S,169934
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,odorata,(Blanco) Merr. & Rolfe,NULL,NULL,NULL,69461,S,70872
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,paraensis,Huber ex Ducke.,NULL,NULL,NULL,77825,S,112842
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,polysciadia,Harms,NULL,NULL,NULL,153542,S,113027
Plantae,NULL,NULL,APIALES,ARALIACEAE,Schefflera,seibertii,A.C. Sm.,NULL,NULL,NULL,15592,S,169927
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,bisattenuata,Sherff,NULL,NULL,NULL,27217,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,gymnocarpa,(Hillebrand) Sherff,var.,leptocarpa,Sherff,23243,S,23242
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,gymnocarpa,(Hillebrand) Sherff,var.,megalocarpa,Sherff,23244,S,23242
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,gymnocarpa,(Hillebrand) Sherff,var.,pupukeensis,(Degener) Sherff,23245,S,23242
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,hawaiensis,A.Gray,var.,awiniensis,Sherff,23654,S,68018
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,hawaiensis,A.Gray,var.,gracilis,Sherff,23247,S,68018
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,hawaiensis,A.Gray,var.,microcarpa,Sherff,27219,S,68018
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kaalae,(Hillebrand) Harms,var.,kaalae,NULL,23248,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kaalae,(Hillebrand) Harms,var.,multiplex,Sherff,27220,S,NULL
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kahanana,Degener & Sherff,NULL,NULL,NULL,23249,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Hillebr,var.,dipyrena,(H. Mann) Hillebr,27221,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,grandis,Sherff,27222,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,intercedens,Sherff,27223,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,koloana,Sherff,27224,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,nahikuensis,Sherff,27225,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,occidua,Degener & Sherff,27226,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kavaiensis,(H. Mann) Sherff,var.,robustior,Sherff,23251,S,23250
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,kohalae,Skottsb.,NULL,NULL,NULL,27227,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lanaiensis,Rock,NULL,NULL,NULL,27228,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lihuensis,Sherff,var.,gracilipes,Sherff,27229,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lihuensis,Sherff,var.,lihuensis,NULL,23252,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,brachypoda,Sherff,27231,S,23787
Plantae,NULL,NULL,APIALES,ARALIACEAE,Tetraplasandra,lydgatei,(Hillebrand) Harms,var.,coriacea,Sherff,27232,S,23787
