rank,rec_id,listing,effective_from,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,LegNotes,CMS instrument,Internal Notes
Species,301,I,2005,1,,,,,,,,CMS,
Species,301,II,1979,1,,,,,,,Listed under migratory Muscicapidae (<i>sensu lato</i> ) spp.,CMS,
Species,294,I,1997,1,,,,,,,,CMS,
Species,294,II,1979,1,,,,,,,Listed under migratory Muscicapidae (<i>sensu lato</i> ) spp.,CMS,
Species,294,Aquatic warbler,2003,1,,,,,,,,Aquatic warbler,
Species,299,I,2008,1,,,,,,,,CMS,
Species,30490,II,1994,1,,,,,,,,CMS,
Species,41525,II,2005,1,,,,,,,,CMS,
Species,41525,I,1999,1,,,,,,,,CMS,
Species,41525,Grassland birds,2007,1,,,,,,,,Grassland birds,
Species,835,II,2005,1,,,,,,,,CMS,
Species,835,I,2000,1,,,,,,,,CMS,
Species,835,Grassland birds,2007,1,,,,,,,,Grassland birds,
Species,836,II,2005,1,,,,,,,,CMS,
Species,836,I,2002,1,,,,,,,,CMS,
Species,836,Grassland birds,2007,1,,,,,,,,Grassland birds,
Species,1064,II,1997,1,,,,,,,,CMS,
Species,1228,I,2002,1,,,,,,,,CMS,
Species,1577,I,2002,1,,,,,,,,CMS,
Species,1575,I,1997,1,,,,,,,,CMS,
Species,1575,AEWA,1999,1,,,,,,,,AEWA,
Species,1951,I,1997,1,,,,,,,Formerly included in <i>Aquila heliaca</i> (<i>sensu lato</i> ).,CMS,
Species,1951,Raptors,2008,1,,,,,,,,Raptors,
Species,1954,I,1997,1,,,,,,,,CMS,
Species,1954,Raptors,2008,1,,,,,,,,Raptors,
Species,1956,I,1997,1,,,,,,,,CMS,
Species,1956,Raptors,2008,1,,,,,,,,Raptors,
Subspecies,2080,II,1994,1,,,,,,,Populations breeding in the Western Palearctic,CMS,
Species,2082,I,2005,1,,,,,,,,CMS,
Species,2082,II,1994,1,,,,,,,,CMS,
Species,2082,AEWA,1999,1,,,,,,,,AEWA,
Species,2084,II,1994,1,,,,,,,,CMS,
Species,2084,AEWA,1999,1,,,,,,,,AEWA,
Species,2451,I,2008,1,,,,,,,,CMS,
Species,2457,I,1997,1,,,,,,,,CMS,
Species,2457,AEWA,1999,1,,,,,,,,AEWA,
Subspecies,2905,II,1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,3060,I,1997,1,,,,,,,,CMS,
Species,3060,AEWA,1999,1,,,,,,,,AEWA,
Species,103180,I,2002,1,,,,,,,,CMS,
Species,3336,II,1979,1,,,,,,,,CMS,
Subspecies,100273,I,2005,1,,,,,,,,CMS,
Subspecies,104686,II,1994,1,,,,,,,Western Palearctic populations.,CMS,
Family,149,II,1979,1,,,,,,,,CMS,
Species,4702,I,1979,1,,,,,,,Only Northwest African populations.,CMS,
Species,4702,II,1979,1,,,,,,,Asian populations.,CMS,
Species,4707,II,1994,1,,,,,,,West Eurasian and African population.,CMS,
Subspecies,4709,II,1994,1,,,,,,,,CMS,
Species,4712,I,1979,1,,,,,,,,CMS,
Species,4712,Ruddy-headed goose,2006,1,,,,,,,,Ruddy-headed goose,
Species,4862,I,1979,1,,,,,,,,CMS,
Species,4863,II,1979,1,,,,,,,,CMS,
Species,4863,AEWA,1999,1,,,,,,,,AEWA,
Subspecies,4869,II,1994,1,,,,,,,,CMS,
Species,4866,II,1979,1,,,,,,,,CMS,
Species,4866,AEWA,1999,1,,,,,,,,AEWA,
Species,5290,II,1985,1,,,,,,,,CMS,
Subspecies,5452,II,1979,1,,,,,,,,CMS,
Species,5520,II,1997,1,,,,,,,,CMS,
Species,5520,AEWA,2002,1,,,,,,,,AEWA,
Species,38618,I,2008,1,,,,,,,Listed as <i>Dendroica caerulea</i>.,CMS,
Species,6415,I,1979,1,,,,,,,,CMS,
Species,41550,I,1979,1,,,,,,,,CMS,
Species,6611,I,1997,1,,,,,,,,CMS,
Species,6611,ACAP,2007,1,,,,,,,,ACAP,
Species,41547,ACAP,2007,1,,,,,,,,ACAP,
Species,6616,II,1997,1,,,,,,,,CMS,
Species,6620,II,1997,1,,,,,,,,CMS,
Species,6621,II,1997,1,,,,,,,,CMS,
Species,6617,II,1997,1,,,,,,,,CMS,
Species,41548,II,1979,1,,,,,,,,CMS ,
Species,41548,ACAP,2007,1,,,,,,,,ACAP,
Species,6615,II,1997,1,,,,,,,,CMS,
Species,6615,ACAP,2007,1,,,,,,,,ACAP,
Species,6612,II,1997,1,,,,,,,,CMS,
Species,6612,ACAP,2007,1,,,,,,,,ACAP,
Species,6619,II,1997,1,,,,,,,,CMS,
Species,6614,II,1997,1,,,,,,,,CMS,
Species,6613,II,1997,1,,,,,,,,CMS,
Species,6618,II,1997,1,,,,,,,,CMS,
Species,41549,ACAP,2007,1,,,,,,,,ACAP,
Species,6784,II,2011,1,,,,,,,,CMS,
Species,23473,II,1994,1,,,,,,,,CMS,
Species,7072,I,1979,1,,,,,,,,CMS,
Species,7077,II,1994,1,,,,,,,,CMS,
Species,7077,AEWA,1999,1,,,,,,,,AEWA,
Species,7675,I,2008,1,,,,,,,,CMS,
Species,8406,I,2002,1,,,,,,,,CMS,
Species,8449,I,2011,1,,,,,,,Excludes the population of Mongolia.,CMS,
Species,8449,II,1994,1,,,,,,,,CMS,
Species,8449,Raptors,2008,1,,,,,,,,Raptors,
Species,8464,I,1997,1,,,,,,,,CMS,
Species,8464,Raptors,2008,1,,,,,,,,Raptors,
Species,8478,I,2011,1,,,,,,,,CMS,
Species,8478,II,1994,1,,,,,,,,CMS,
Species,8478,Raptors,2008,1,,,,,,,,Raptors,
Subspecies,8698,II,1994,1,,,,,,,Mediterranean and Black Sea populations.,CMS,
Species,8958,II,1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,8958,AEWA,1999,1,,,,,,,,AEWA,
Subspecies,8963,II,1994,1,,,,,,,,CMS,
Subspecies,8964,II,1994,1,,,,,,,,CMS,
Subspecies,8965,II,1994,1,,,,,,,Northwest European population.,CMS,
Species,8962,II,1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,8962,AEWA,1999,1,,,,,,,,AEWA,
Species,9157,II,1994,1,,,,,,,,CMS,
Species,9157,I,1979,1,,,,,,,,CMS,
Species,9157,AEWA,1999,1,,,,,,,,AEWA,
Species,9203,II,1985,1,,,,,,,,CMS,
Species,9203,AEWA,1999,1,,,,,,,,AEWA,
Species,36159,II,2005,1,,,,,,,,CMS,
Species,36159,AEWA,2002,1,,,,,,,,AEWA,
Species,9204,II,1985,1,,,,,,,,CMS,
Species,9204,AEWA,1999,1,,,,,,,,AEWA,
Species,9409,I,2002,1,,,,,,,,CMS,
Genus,1944,II,1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,9520,I,1979,1,,,,,,,,CMS,
Species,9521,I,1979,1,,,,,,,,CMS,
Species,9521,II,1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,9521,AEWA,1999,1,,,,,,,,AEWA,
Species,9521,Siberian Crane,1999,1,,,,,,,,Siberian Crane,
Species,9522,I,2002,1,,,,,,,,CMS,
Species,9522,II,1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,9523,I,1979,1,,,,,,,,CMS,
Species,9523,II,1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,9526,I,2002,1,,,,,,,,CMS,
Species,9526,II,1979,1,,,,,,,All migratory <i>Grus</i> spp.,CMS,
Species,9646,I,1985,1,,,,,,,,CMS,
Species,9646,Raptors,2008,1,,,,,,,,Raptors,
Species,9649,I,2002,1,,,,,,,,CMS,
Species,9649,Raptors,2008,1,,,,,,,,Raptors,
Species,9650,I,1979,1,,,,,,,,CMS,
Species,9650,Raptors,2008,1,,,,,,,,Raptors,
Species,10198,I,1997,1,,,,,,,,CMS,
Species,10198,II,1997,1,,,,,,,,CMS,
Species,10896,II,1994,1,,,,,,,"Subspecies <i>minutus</i> only. Western Palearctic populations.
",CMS,
Species,10896,AEWA,1999,1,,,,,,,,AEWA,
Subspecies,10899,II,1994,1,,,,,,,Western Palearctic populations.,CMS,
Species,10897,II,1994,1,,,,,,,,CMS,
Species,10897,AEWA,1999,1,,,,,,,,AEWA,
Species,11335,II,1994,1,,,,,,,,CMS,
Species,11335,AEWA,1999,1,,,,,,,,AEWA,
Species,11309,I,1997,1,,,,,,,,CMS,
Species,11311,II,1994,1,,,,,,,,CMS,
Species,11311,I,1979,1,,,,,,,,CMS,
Species,11311,AEWA,1999,1,,,,,,,,AEWA,
Species,11318,II,1994,1,,,,,,,,CMS,
Species,11318,AEWA,1999,1,,,,,,,,AEWA,
Species,11334,II,1994,1,,,,,,,,CMS,
Species,11334,AEWA,1999,1,,,,,,,,AEWA,
Species,11321,II,1994,1,,,,,,,West Eurasian and African population.,CMS,
Species,11321,AEWA,1999,1,,,,,,,,AEWA,
Species,11322,II,1994,1,,,,,,,,CMS,
Species,11322,I,1985,1,,,,,,,,CMS,
Species,11322,AEWA,1999,1,,,,,,,,AEWA,
Species,11324,II,1994,1,,,,,,,,CMS,
Species,11324,AEWA,1999,1,,,,,,,,AEWA,
Species,11328,I,1979,1,,,,,,,,CMS,
Species,11330,I,1979,1,,,,,,,,CMS,
Species,36217,II,1999,1,,,,,,,,CMS,
Species,36217,ACAP,2007,1,,,,,,,,ACAP,
Species,12603,II,1999,1,,,,,,,,CMS,
Species,12603,ACAP,2007,1,,,,,,,,ACAP,
