Species RecID,Rank,GEO_entity_type,ISO Code 2,Tags,Designation
75,Species,Country,BO,distribution uncertain,EU
76,Species,Country,PY,distribution uncertain,EU
88,Species,Country,PG,breeding,"CITES,EU"
88,Species,Country,SB,breeding,"CITES,EU"
89,Species,Country,AF,breeding,"CITES,EU"
89,Species,Country,AO,breeding,"CITES,EU"
89,Species,Country,AZ,breeding,"CITES,EU"
89,Species,Country,BD,breeding,"CITES,EU"
89,Species,Country,BF,breeding,"CITES,EU"
89,Species,Country,BT,breeding,"CITES,EU"
89,Species,Country,BW,breeding,"CITES,EU"
89,Species,Country,CD,breeding,"CITES,EU"
89,Species,Country,CI,breeding,"CITES,EU"
89,Species,Country,CN,breeding,"CITES,EU"
89,Species,Country,ET,breeding,"CITES,EU"
89,Species,Country,GH,breeding,"CITES,EU"
89,Species,Country,GM,breeding,"CITES,EU"
89,Species,Country,GN,breeding,"CITES,EU"
89,Species,Country,GW,breeding,"CITES,EU"
89,Species,Country,IN,breeding,"CITES,EU"
89,Species,Country,IR,breeding,"CITES,EU"
89,Species,Country,KE,breeding,"CITES,EU"
89,Species,Country,KG,breeding,"CITES,EU"
89,Species,Country,KH,breeding,"CITES,EU"
89,Species,Country,KZ,breeding,"CITES,EU"
89,Species,Country,LA,breeding,"CITES,EU"
89,Species,Country,LK,breeding,"CITES,EU"
89,Species,Country,MM,breeding,"CITES,EU"
89,Species,Country,MW,breeding,"CITES,EU"
89,Species,Country,NA,breeding,"CITES,EU"
89,Species,Country,NE,breeding,"CITES,EU"
89,Species,Country,NG,breeding,"CITES,EU"
89,Species,Country,NP,breeding,"CITES,EU"
89,Species,Country,PK,breeding,"CITES,EU"
89,Species,Country,SA,breeding,"CITES,EU"
89,Species,Country,SL,breeding,"CITES,EU"
89,Species,Country,SO,breeding,"CITES,EU"
89,Species,Country,SZ,breeding,"CITES,EU"
89,Species,Country,TG,breeding,"CITES,EU"
89,Species,Country,TH,breeding,"CITES,EU"
89,Species,Country,TJ,breeding,"CITES,EU"
