SpcRecID, Appendix
54, II
55, II
56, II
88, II
89, II
90, II
90, III
91, II
92, II
93, II
94, II
96, II
97, II
98, II
98, III
99, II
101, II
102, II
103, II
104, II
105, II
106, II
107, II
108, II
109, II
110, II
111, II
112, II
113, II
114, II
115, II
116, II
117, II
118, II
119, II
120, II
121, II
122, II
123, II
124, II
125, II
126, II
127, II
128, II
129, II
129, III
130, III
130, II
131, II
132, II
133, II
134, II
136, II
137, II
138, II
139, I
139, II
140, II
142, II
143, II
144, II
145, II
146, II
147, II
148, II
149, II
150, I
151, II
152, I
153, II
154, II
155, II
156, II
157, II
158, II
159, II
160, II
167, I
168, I
169, I
170, I
171, I
172, I
173, I
174, I
175, I
176, I
177, I
178, I
179, I
180, I
181, I
182, I
183, I
184, I
185, I
186, I
188, I
189, I
190, I
191, I
192, I
193, I
194, I
195, I
197, I
198, I
199, I
200, I
201, I
202, I
203, I
204, I
205, I
207, I
208, I
209, I
219, I
222, I
223, II
224, II
225, II
226, I
226, II
227, II
228, II
229, II
230, II
230, I
231, II
232, II
233, II
234, II
235, II
236, II
241, II
244, II
282, I
283, I
284, I
285, II
316, II
318, II
319, II
320, II
323, II
325, II
327, II
328, II
329, II
330, II
333, II
334, II
335, II
336, II
337, II
339, II
340, II
341, II
344, II
345, II
348, II
349, II
351, II
353, II
355, II
356, II
358, II
360, II
362, II
363, II
364, II
365, II
366, II
367, II
368, II
371, II
372, II
373, II
375, II
376, II
377, II
380, II
381, II
382, II
383, II
384, II
385, II
386, II
387, II
388, II
390, II
391, II
392, II
393, II
394, II
395, II
396, II
397, II
398, II
