Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,ReferenceIDs,Designation,AcceptedRank,AcceptedRecID
Aburria,Genus,30000,Family,217,S,,,,"CITES,EU",Genus,3808
Aburria,Genus,30000,Family,217,S,,,,"CITES,EU",Genus,3808
Acanthis,Genus,30001,Family,318,S,,,,"CITES,EU",Genus,792
Acanthis,Genus,30001,Family,318,S,,,,"CITES,EU",Genus,792
Acanthis,Genus,30001,Family,318,S,,,,"CITES,EU",Genus,792
Acanthis,Genus,30001,Family,318,S,,,,"CITES,EU",Genus,792
Acanthis,Genus,30001,Family,318,S,,,,"CITES,EU",Genus,792
Acanthocyathus,Genus,30002,Family,146,S,,,,"CITES,EU",Genus,809
Acanthocyathus,Genus,30002,Family,146,S,,,,"CITES,EU",Genus,809
Acanthocyathus,Genus,30002,Family,146,S,,,,"CITES,EU",Genus,809
Acanthocyathus,Genus,30002,Family,146,S,,,,"CITES,EU",Genus,809
Acanthopora,Genus,30003,Family,311,S,,,,"CITES,EU",Genus,1513
Acestrura,Genus,30004,Family,828,S,,,,"CITES,EU",Genus,889
Acestrura,Genus,30004,Family,828,S,,,,"CITES,EU",Genus,889
Acestrura,Genus,30004,Family,828,S,,,,"CITES,EU",Genus,889
Acestrura,Genus,30004,Family,828,S,,,,"CITES,EU",Genus,889
Acestrura,Genus,30004,Family,828,S,,,,"CITES,EU",Genus,889
Acinixys,Genus,30005,Family,801,S,,,,"CITES,EU",Genus,4174
Acomus,Genus,30006,Family,613,S,,,,"CITES,EU",Genus,2627
Acridophaga,Genus,30007,Family,853,S,,,,"CITES,EU",Genus,5064
Acrocodia,Genus,30008,Family,792,S,,,,"CITES,EU",Genus,4726
Actitis,Genus,30009,Family,733,S,,,,"CITES,EU,CMS",Genus,4911
Actitis,Genus,30009,Family,733,S,,,,"CITES,EU,CMS",Genus,4911
Actodromas,Genus,30010,Family,733,S,,,,"EU,CMS",Genus,711
Adamastor,Genus,30011,Family,670,S,,,,"CMS,CMS-ACAP",Genus,3993
Adelochelys,Genus,30012,Family,7134,S,,,,"CITES,EU",Genus,3397
Adelphobates,Genus,30013,Family,247,S,,,,"CITES,EU",Genus,1358
Adelphobates,Genus,30013,Family,247,S,,,,"CITES,EU",Genus,1358
Adelphobates,Genus,30013,Family,247,S,,,,"CITES,EU",Genus,1358
