Name,Rank,RecID,ParentRank,ParentRecID,Status,Author,Notes,Designation
Aonyx,Genus,318,SubFamily,1,A,"Lesson, 1827",,"CITES,EU"
Eira,Genus,1536,SubFamily,2,A,"C. D. H. Smith, 1842",,"CITES,EU"
Enhydra,Genus,1590,SubFamily,1,A,"Fleming, 1822",,"CITES,EU"
Galictis,Genus,1814,SubFamily,2,A,"Bell, 1826",,"CITES,EU"
Ictonyx,Genus,2256,SubFamily,2,A,"Kaup, 1835",,CITES
Lontra,Genus,2613,SubFamily,1,A,"Gray, 1843",,"CITES,EU"
Lutra,Genus,2654,SubFamily,1,A,"Brisson, 1762",,"CITES,EU"
Lutrogale,Genus,2655,SubFamily,1,A,"Gray, 1865",,"CITES,EU"
Martes,Genus,2757,SubFamily,2,A,"Pinel, 1792",,"CITES,EU"
Mellivora,Genus,2835,SubFamily,2,A,"Storr, 1780",,"CITES,EU"
Melogale,Genus,2836,SubFamily,2,A,"I. Geoffroy Saint-Hilaire, 1831 ",,EU
Mustela,Genus,3022,SubFamily,2,A,"Linneaus, 1758",,"CITES,EU"
Pteronura,Genus,4123,SubFamily,1,A,"Gray, 1837",,"CITES,EU"
Taxidea,Genus,4746,SubFamily,2,A,"Waterhouse, 1839",,EU
Hydrictis,Genus,6388,SubFamily,1,A,"Pocock, 1921",,"CITES,EU"
LUTRINAE,SubFamily,1,Family,515,A,"Bonaparte, 1838",,"CITES,EU"
MUSTELINAE,SubFamily,2,Family,515,A,"Fischer, 1817",,"CITES,EU"
bensoni,Species,1,Genus,1,N,"Holyoak, 1973",,"CITES,EU"
Lophopsittacus,Genus,1,Family,683,A,,,"CITES,EU"
ACTINOPTERYGII,Class,1,Phylum,3,A,,,"CITES,EU"
ANNELIDA,Phylum,1,,,A,,,"CITES,EU"
ACIPENSERIFORMES,Order,2,Class,1,A,,,"CITES,EU"
AMPHIBIA,Class,2,Phylum,3,A,,,"CITES,EU"
ARTHROPODA,Phylum,2,,,A,,,"CITES,EU,CMS"
ACANTHURIDAE,Family,3,Order,113,A,,,EU
ANTHOZOA,Class,3,Phylum,5,A,,,"CITES,EU"
CHORDATA,Phylum,3,,,A,,,"CITES,EU,CMS,CMS-AEWA,CMS-ACAP,CMS-EUROBATS"
ARACHNIDA,Class,4,Phylum,2,A,,,"CITES,EU"
ANATIDAE,Family,43,Order,9,A,,,"CITES,EU,CMS"
AVES,Class,5,Phylum,3,A,,,"CITES,EU,CMS,CMS-AEWA,CMS-ACAP"
CNIDARIA,Phylum,5,,,A,,,"CITES,EU"
Abeillia,Genus,6,Family,828,A,"Bonaparte, 1850",,"CITES,EU"
ACHATINELLIDAE,Family,6,Order,150,A,"Gulick, 1873",,"CITES,EU"
BIVALVIA,Class,6,Phylum,7,A,,,"CITES,EU"
ECHINODERMATA,Phylum,6,,,A,,,"CITES,EU"
CEPHALASPIDOMORPHI,Class,7,Phylum,3,A,,,EU
MOLLUSCA,Phylum,7,,,A,,,"CITES,EU"
ACIPENSERIDAE,Family,9,Order,2,A,,,"CITES,EU"
ANSERIFORMES,Order,9,Class,5,A,,,"CITES,EU,CMS"
ANTIPATHARIA,Order,10,Class,3,A,,,"CITES,EU"
Abronia,Genus,11,Family,46,A,"Gray, 1838",,EU
ANURA,Order,11,Class,2,A,,,"CITES,EU"
ELASMOBRANCHII,Class,11,Phylum,3,A,,,"CITES,EU,CMS"
APODIFORMES,Order,12,Class,5,A,,,"CITES,EU"
GASTROPODA,Class,13,Phylum,7,A,,,"CITES,EU"
ARANEAE,Order,14,Class,4,A,,,"CITES,EU"
HIRUDINOIDEA,Class,14,Phylum,1,A,,,"CITES,EU"
ACROPORIDAE,Family,15,Order,137,A,Verrill 1902,,"CITES,EU"
ARCHAEOGASTROPODA,Order,15,Class,13,A,,,"CITES,EU"
HYDROZOA,Class,15,Phylum,5,A,,,"CITES,EU"
ADRIANICHTHYIDAE,Family,16,Order,21,A,,,EU
ARHYNCHOBDELLIDA,Order,16,Class,14,A,,,"CITES,EU"
INSECTA,Class,16,Phylum,2,A,,,"CITES,EU,CMS"
Acanthastrea,Genus,17,Family,514,A,"Milne Edwards & Haime, 1848",,"CITES,EU"
ANHIMIDAE,Family,47,Order,9,A,,,EU
ARTIODACTYLA,Order,17,Class,17,A,,,"CITES,EU,CMS"
MAMMALIA,Class,17,Phylum,3,A,,,"CITES,EU,CMS,CMS-EUROBATS"
ATHERINIFORMES,Order,18,Class,1,A,,,EU
BASOMMATOPHORA,Order,19,Class,13,A,,,EU
AGAMIDAE,Family,21,Order,136,A,,,"CITES,EU"
BELONIFORMES,Order,21,Class,1,A,,,EU
AGARICIIDAE,Family,22,Order,137,A,Gray 1847,,"CITES,EU"
Acanthochelys,Genus,23,Family,172,A,"Gray, 1873",,EU
REPTILIA,Class,23,Phylum,3,A,,,"CITES,EU"
CUNICULIDAE,Family,24,Order,134,A,"Miller & Gidley, 1918",,"CITES,EU"
CAPRIMULGIFORMES,Order,24,Class,5,A,,,EU
SARCOPTERYGII,Class,24,Phylum,3,A,,,"CITES,EU"
CARCHARINIFORMES,Order,25,Class,11,A,,,CITES
APODIDAE,Family,63,Order,12,A,,,EU
CARNIVORA,Order,26,Class,17,A,,,"CITES,EU,CMS"
STELLEROIDEA,Class,26,Phylum,6,,,,"CITES,EU"
TROCHILIDAE,Family,828,Order,12,A,,,"CITES,EU"
CASUARIIFORMES,Order,27,Class,5,A,,,EU
CAPRIMULGIDAE,Family,139,Order,24,A,,,EU
CAUDATA,Order,28,Class,2,A,,,"CITES,EU"
ALLIGATORIDAE,Family,29,Order,43,A,,,"CITES,EU"
CERATODONTIFORMES,Order,29,Class,24,A,,,"CITES,EU"
Acanthurus,Genus,30,Family,3,A,"Forskål, 1775",,EU
CETACEA,Order,30,Class,17,A,,,"CITES,EU"
Accipiter,Genus,31,Family,5,A,"Brisson, 1760",,"CITES,EU"
CHARACIFORMES,Order,31,Class,1,A,,,EU
Acerodon,Genus,32,Family,688,A,"Wagner, 1839",,"CITES,EU"
CHARADRIIFORMES,Order,32,Class,5,A,,,"CITES,EU,CMS,CMS-AEWA"
Aceros,Genus,33,Family,117,A,"J. E. Gray, 1844",,"CITES,EU"
CHIROPTERA,Order,33,Class,17,A,,,"CITES,EU,CMS,CMS-EUROBATS"
AMBLYOPSIDAE,Family,34,Order,114,A,,,EU
CICONIIFORMES,Order,34,Class,5,A,,,"CITES,EU,CMS,CMS-AEWA"
AMBYSTOMATIDAE,Family,35,Order,28,A,,,"CITES,EU"
COELACANTHIFORMES,Order,36,Class,24,A,,,"CITES,EU"
Achatinella,Genus,37,Family,6,A,"Swainson, 1828",,"CITES,EU"
COLEOPTERA,Order,38,Class,16,A,,,"CITES,EU"
ANABANTIDAE,Family,40,Order,113,A,,,EU
COLUMBIFORMES,Order,40,Class,5,A,,,"CITES,EU"
ANABLEPIDAE,Family,41,Order,47,A,,,EU
HOLOTHUROIDEA,Class,41,Phylum,6,,,,"CITES,EU"
Acinonyx,Genus,42,Family,312,A,"Brookes, 1828",,"CITES,EU"
CORACIIFORMES,Order,42,Class,5,A,,,"CITES,EU,CMS"
Acipenser,Genus,43,Family,9,A,"Linnaeus, 1758",,"CITES,EU"
CASUARIIDAE,Family,148,Order,27,A,,,EU
CROCODYLIA,Order,43,Class,23,A,,,"CITES,EU"
CUCULIFORMES,Order,44,Class,5,A,,,"CITES,EU"
ANGUIDAE,Family,46,Order,136,A,,,EU
CYPRINIFORMES,Order,46,Class,1,A,,,"CITES,EU"
ALCIDAE,Family,28,Order,32,A,,,"EU,CMS,CMS-AEWA"
CYPRINODONTIFORMES,Order,47,Class,1,A,,,"CITES,EU"
Acrantophis,Genus,48,Family,106,A,"Jan, 1863",,"CITES,EU"
DASYUROMORPHIA,Order,48,Class,17,A,,,"CITES,EU"
Acrhelia,Genus,49,Family,554,A,"Milne Edwards & Haime, 1849",,"CITES,EU"
Acrocephalus,Genus,51,Family,512,A,"J. A. Naumann & J. F. Naumann, 1811",,"CITES,EU,CMS"
ANOMALURIDAE,Family,53,Order,134,A,"Gervais, 1849",,"CITES,EU"
maxima,Species,54,Genus,17,A,"Sheppard & Salm, 1988",,"CITES,EU"
ANTHEMIPHYLLIIDAE,Family,54,Order,137,A,Vaughan 1907,,"CITES,EU"
DIPROTODONTIA,Order,54,Class,17,A,,,"CITES,EU"
minuta,Species,55,Genus,17,A,"Moll & Best, 1984",,"CITES,EU"
Acropora,Genus,55,Family,15,A,"Oken, 1815",,"CITES,EU"
rotundoflora,Species,56,Genus,17,A,"Chevalier, 1975",,"CITES,EU"
Actenoides,Genus,56,Family,27,A,"Gray, 1848",,EU
ANTILOCAPRIDAE,Family,57,Order,17,A,"Gray, 1866",,"CITES,EU"
ANTIPATHIDAE,Family,58,Order,10,A,,,"CITES,EU"
FALCONIFORMES,Order,59,Class,5,A,,,"CITES,EU,CMS"
Addax,Genus,61,Family,108,A,"Rafinesque, 1815",,"CITES,EU"
APLOCHEILIDAE,Family,61,Order,47,A,,,"CITES,EU"
GALLIFORMES,Order,61,Class,5,A,,,"CITES,EU,CMS"
Adelomyia,Genus,63,Family,828,A,"Bonaparte, 1854",,"CITES,EU"
BURHINIDAE,Family,121,Order,32,A,,,"CITES,EU,CMS,CMS-AEWA"
GAVIIFORMES,Order,63,Class,5,A,,,"EU,CMS"
GORGONACEA,Order,64,Class,3,A,,,"CITES,EU"
Adelopora,Genus,65,Family,778,A,"Cairns, 1982",,"CITES,EU"
GRUIFORMES,Order,65,Class,5,A,,,"CITES,EU,CMS"
CHARADRIIDAE,Family,169,Order,32,A,,,"EU,CMS"
