ComName,LangShort,RecId,Rank,Designation,ReferenceID
Petty Spurge,en,100871,Species,CITES_EU,14010
Desert Rose,en,101285,Species,CITES_EU,21462
Désert Rose,fr,101285,Species,CITES_EU,21462
Abete dei Nebrodi,ITA,10317,Species,CITES_EU,10370
Sicilian Fir,en,10317,Species,CITES_EU,10370
Tue da voi,VIE,10375,Species,CITES_EU,20985
Cicas di Beddome,ITA,10377,Species,CITES_EU,21486
Sago-palm,en,10388,Species,CITES_EU,14010
Chaye sutie,ZHO,10389,Species,CITES_EU,17617
Bichi sutie,ZHO,10392,Species,CITES_EU,17617
Prong khao,THA,10392,Species,CITES_EU,19257
Malayan Fern Palm,en,10394,Species,CITES_EU,20099
Pakis,IND,10394,Species,CITES_EU,15213
Prong tha le,THA,10394,Species,CITES_EU,19257
Prong thai,THA,10395,Species,CITES_EU,19257
Taiwan sutie,ZHO,10396,Species,CITES_EU,17617
"Cycad, Stangeria",en,10398,Species,CITES_EU, 
"Hottentot's Head, Stangeria",en,10398,Species,CITES_EU, 
Fragrant Prickly-apple Cactus,en,104199,Species,CITES_EU,21477
Fragrant Woolly Cactus,en,104199,Species,CITES_EU,21477
Beargrass,en,104888,Species,CITES_EU,21423
Junquillo,es,104888,Species,CITES_EU,21462
Rauhschopf,DEU,104888,Species,CITES_EU, 
Sand Prickly-pear Cactus,en,104933,Species,CITES_EU,19002
Warnock's Butterfly Cactus,en,104945,Species,CITES_EU,19002
Peyote,es,104946,Species,CITES_EU,20067
Granadillo morado,es,105022,Species,CITES_EU, 
Granadillo,es,105022,Species,CITES_EU,14010
Arpón,es,105223,Species,CITES_EU,19883
Lengua de vaca,es,105223,Species,CITES_EU,19883
Devil's Prickly-pear Cactus,en,105227,Species,CITES_EU,14662
Agave della Regina Vittoria,ITA,105303,Species,CITES_EU,21486
kruunuagave,FIN,105303,Species,CITES_EU,21486
Queen Agave,en,105303,Species,CITES_EU, 
Queen Victoria Agave,en,105303,Species,CITES_EU,21429
Jug Orchid,en,105553,Species,CITES_EU,19924
Copper-glint Orchid,en,105555,Species,CITES_EU,19924
Hong Kong Jewel Orchid,en,105555,Species,CITES_EU,19924
Bamboo Orchid,en,105556,Species,CITES_EU,19924
Little Big-lip Orchid,en,105557,Species,CITES_EU,19924
Ambrosia Orchid,en,105559,Species,CITES_EU,19924
Pom-pom Orchid,en,105560,Species,CITES_EU,19924
Slender Calanthe,en,105564,Species,CITES_EU,19924
