Species RecID,Rank,GEO_entity,ISO 2 code,TAGS,,,,,,,,,,,,,,
100871,Species,Country,CL,Introduced,,,,,,,,,,,,,,
102687,Species,Country,SG,Extinct,,,,,,,,,,,,,,
102706,Species,Country,SG,Extinct,,,,,,,,,,,,,,
102715,Species,Country,SG,Extinct,,,,,,,,,,,,,,
103653,Species,Country,BO,Extinct,,,,,,,,,,,,,,
10392,Species,Country,LA,Distribution uncertain,,,,,,,,,,,,,,
10394,Species,Country,SG,Extinct,,,,,,,,,,,,,,
10400,Species,Country,CN,Extinct,,,,,,,,,,,,,,
104241,Species,Country,AG,Introduced,,,,,,,,,,,,,,
104241,Species,Territory,GP,Introduced,,,,,,,,,,,,,,
104241,Species,Territory,MS,Introduced,,,,,,,,,,,,,,
104580,Species,Country,CR,Distribution uncertain,,,,,,,,,,,,,,
105048,Species,Country,PA,Distribution uncertain,,,,,,,,,,,,,,
105630,Species,Country,SG,Extinct,,,,,,,,,,,,,,
105820,Species,Country,SG,Extinct,,,,,,,,,,,,,,
106032,Species,Country,IL,Distribution uncertain,,,,,,,,,,,,,,
106048,Species,Country,KE,Distribution uncertain,,,,,,,,,,,,,,
107179,Species,Country,EC,Extinct,,,,,,,,,,,,,,
107772,Species,Country,US,Extinct,,,,,,,,,,,,,,
107935,Species,Country,HT,Extinct,,,,,,,,,,,,,,
10982,Species,Country,KE,Distribution uncertain,,,,,,,,,,,,,,
109899,Species,Country,SG,Extinct,,,,,,,,,,,,,,
1098,Species,Country,BE,Extinct,,,,,,,,,,,,,,
1098,Species,Country,LU,Extinct,,,,,,,,,,,,,,
109926,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109927,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109928,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109929,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109930,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109932,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109933,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109934,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109935,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109936,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109937,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109938,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109943,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109944,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109946,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109947,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109948,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109949,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109950,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109952,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109953,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109954,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109955,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109958,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109959,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109960,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109961,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109962,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109963,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109964,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109965,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109967,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109968,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109969,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109970,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109971,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109972,Species,Country,SG,Extinct,,,,,,,,,,,,,,
109973,Species,Country,SG,Extinct,,,,,,,,,,,,,,
