SpcRecID,CtyRecID,CtyShort
21539,110,Kenya
21539,207,United Republic of Tanzania
21539,218,Uganda
21540,37,Cameroon
21540,41,Central African Republic
21540,42,Chad
21540,110,Kenya
21540,155,Nigeria
21540,218,Uganda
21540,236,Democratic Republic of the Congo
21541,68,Ethiopia
21541,66,Eritrea
19088,10,Argentina
19088,30,Brazil
19088,165,Paraguay
20942,6,Angola
20942,17,Bahrain
20942,28,Botswana
20942,58,Djibouti
20942,63,Egypt
20942,68,Ethiopia
20942,110,Kenya
20942,121,Libyan Arab Jamahiriya
20942,144,Mozambique
20942,146,Namibia
20942,185,Saudi Arabia
20942,193,Somalia
20942,194,South Africa
20942,201,Swaziland
20942,207,United Republic of Tanzania
20942,213,Tunisia
20942,218,Uganda
20942,233,Western Sahara
20942,237,Zambia
20942,238,Zimbabwe
20942,3,Algeria
20942,34,Burkina Faso
21540,270,South Sudan
21541,270,South Sudan
20942,37,Cameroon
20942,41,Central African Republic
20942,42,Chad
20942,130,Mali
20942,134,Mauritania
20942,143,Morocco
20942,154,Niger
20942,155,Nigeria
20942,186,Senegal
19465,10,Argentina
19465,26,Bolivia
19465,30,Brazil
19465,165,Paraguay
19465,224,Uruguay
19466,10,Argentina
19466,26,Bolivia
19466,43,Chile
19466,166,Peru
21911,10,Argentina
21911,30,Brazil
21911,165,Paraguay
20608,146,Namibia
20608,194,South Africa
20608,6,Angola
20608,144,Mozambique
20608,49,Congo
20608,78,Gabon
20609,43,Chile
20609,166,Peru
20609,47,Colombia
20609,62,Ecuador
17815,89,Guatemala
16487,2,Albania
16487,11,Armenia
16487,15,Azerbaijan
16487,33,Bulgaria
16487,44,China
16487,84,Greece
20942,270,South Sudan
16487,101,Iran (Islamic Republic of)
16487,109,Kazakhstan
16487,141,Mongolia
16487,173,Romania
16487,174,Russian Federation
16487,214,Turkey
16487,215,Turkmenistan
16487,219,Ukraine
16487,225,Uzbekistan
16487,1,Afghanistan
16487,18,Bangladesh
16487,63,Egypt
16487,96,Hong Kong SAR
16487,99,India
16487,102,Iraq
16487,118,Lebanon
16487,161,Pakistan
16487,204,Syrian Arab Republic
16487,3,Algeria
16487,54,Cyprus
16487,97,Hungary
16487,104,Israel
16487,105,Italy
16487,113,Republic of Korea 
16487,114,Kuwait
16487,117,Latvia
16487,205,"Taiwan, Province of China"
16487,206,Tajikistan
16487,220,United Arab Emirates
16487,233,Western Sahara
16487,27,Bosnia and Herzegovina
16487,52,Croatia
16487,239,The former Yugoslav Republic of Macedonia
16487,169,Poland
2074,6,Angola
2074,23,Benin
2074,28,Botswana
2074,34,Burkina Faso
16487,267,Serbia
2074,35,Burundi
2074,37,Cameroon
2074,41,Central African Republic
2074,42,Chad
2074,49,Congo
