SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,
88,II,28/06/1979 00:00,NULL,NULL,,,,,,
89,II,28/06/1979 00:00,NULL,NULL,,,,,,
90,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
90,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,
90,III/r,24/10/1977 00:00,57,NULL,,,,,,
90,III/w,28/06/1979 00:00,57,NULL,,,,,,
91,II,28/06/1979 00:00,NULL,NULL,,,,,,
92,II,28/06/1979 00:00,NULL,NULL,,,,,,
93,II,28/06/1979 00:00,NULL,NULL,,,,,,
94,II,28/06/1979 00:00,NULL,NULL,,,,,,
96,II,28/06/1979 00:00,NULL,NULL,,,,,,
97,II,28/06/1979 00:00,NULL,NULL,,,,,,
98,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,
98,III/r,24/10/1977 00:00,57,NULL,,,,,,
98,III/w,28/06/1979 00:00,57,NULL,,,,,,
98,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
99,II,28/06/1979 00:00,NULL,NULL,,,,,,
101,II,28/06/1979 00:00,NULL,NULL,,,,,,
102,II,28/06/1979 00:00,NULL,NULL,,,,,,
103,II,28/06/1979 00:00,NULL,NULL,,,,,,
104,II,04/02/1977 00:00,NULL,NULL,,,,,,
104,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
105,II,28/06/1979 00:00,NULL,NULL,,,,,,
106,II,28/06/1979 00:00,NULL,NULL,,,,,,
107,II,04/02/1977 00:00,NULL,NULL,,,,,,
107,II,28/06/1979 00:00,NULL,"Included with FALCONIFORMES spp,",,,,,,
108,II,28/06/1979 00:00,NULL,NULL,,,,,,
109,II,28/06/1979 00:00,NULL,NULL,,,,,,
110,II,28/06/1979 00:00,NULL,NULL,,,,,,
111,II,28/06/1979 00:00,NULL,NULL,,,,,,
112,II,28/06/1979 00:00,NULL,NULL,,,,,,
113,II,28/06/1979 00:00,NULL,NULL,,,,,,
114,II,28/06/1979 00:00,NULL,NULL,,,,,,
115,II,28/06/1979 00:00,NULL,NULL,,,,,,
116,II,28/06/1979 00:00,NULL,NULL,,,,,,
117,II,28/06/1979 00:00,NULL,NULL,,,,,,
118,II,28/06/1979 00:00,NULL,NULL,,,,,,
119,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
119,II,04/02/1977 00:00,NULL,NULL,,,,,,
120,II,28/06/1979 00:00,NULL,NULL,,,,,,
121,II,28/06/1979 00:00,NULL,NULL,,,,,,
122,II,28/06/1979 00:00,NULL,NULL,,,,,,
123,II,28/06/1979 00:00,NULL,NULL,,,,,,
124,II,28/06/1979 00:00,NULL,NULL,,,,,,
125,II,28/06/1979 00:00,NULL,NULL,,,,,,
126,II,28/06/1979 00:00,NULL,NULL,,,,,,
127,II,28/06/1979 00:00,NULL,NULL,,,,,,
128,II,28/06/1979 00:00,NULL,NULL,,,,,,
129,III/r,24/10/1977 00:00,57,NULL,,,,,,
129,III/w,28/06/1979 00:00,57,NULL,,,,,,
129,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
129,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,
130,III/w,28/06/1979 00:00,57,NULL,,,,,,
130,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
130,III,28/10/1976 00:00,51,Listed under Accipitridae spp. (Costa Rican species),,,,,,
130,III/r,24/10/1977 00:00,57,NULL,,,,,,
131,II,28/06/1979 00:00,NULL,NULL,,,,,,
132,II,28/06/1979 00:00,NULL,NULL,,,,,,
133,II,28/06/1979 00:00,NULL,NULL,,,,,,
134,II,28/06/1979 00:00,NULL,NULL,,,,,,
136,II,28/06/1979 00:00,NULL,NULL,,,,,,
137,II,18/01/1990 00:00,NULL,NULL,,,,,,
138,II,18/01/1990 00:00,NULL,NULL,,,,,,
139,I,16/02/1995 00:00,NULL,NULL,,,,,,
139,II,18/01/1990 00:00,NULL,NULL,,,,,,
140,II,18/01/1990 00:00,NULL,NULL,,,,,,
142,II,18/01/1990 00:00,NULL,NULL,,,,,,
144,II,11/06/1992 00:00,NULL,NULL,,,,,,
145,II,11/06/1992 00:00,NULL,NULL,,,,,,
146,II,11/06/1992 00:00,NULL,NULL,,,,,,
147,II,11/06/1992 00:00,NULL,NULL,,,,,,
148,II,11/06/1992 00:00,NULL,NULL,,,,,,
149,II,11/06/1992 00:00,NULL,Included with Aceros spp.,,,,,,
149,II,01/07/1975 00:00,NULL,NULL,,,,,,
150,I,11/06/1992 00:00,NULL,NULL,,,,,,
151,II,11/06/1992 00:00,NULL,NULL,,,,,,
152,I,11/06/1992 00:00,NULL,NULL,,,,,,
153,II,11/06/1992 00:00,NULL,NULL,,,,,,
154,II,11/06/1992 00:00,NULL,NULL,,,,,,
156,II,22/10/1987 00:00,NULL,NULL,,,,,,
157,II,22/10/1987 00:00,NULL,NULL,,,,,,
158,II,22/10/1987 00:00,NULL,NULL,,,,,,
159,II,22/10/1987 00:00,NULL,NULL,,,,,,
160,II,22/10/1987 00:00,NULL,NULL,,,,,,
219,I,01/07/1975 00:00,NULL,"Annual export quotas for live specimens and hunting trophies are granted as follows: BW (5), NA (150), ZW (50). The trade in such specimens is subject to the provisions of Article III of the Convention.",,,,,,
219,I/r,18/03/1991 00:00,146,NULL,,,,,,
282,I,04/02/1977 00:00,NULL,NULL,,,,,,
283,I,04/02/1977 00:00,NULL,NULL,,,,,,
512,I/r,29/07/1983 00:00,14,NULL,,,,,,
512,I/w,06/01/1989 00:00,14,NULL,,,,,,
512,I,29/07/1983 00:00,NULL,NULL,,,,,,
512,II,01/07/1975 00:00,NULL,NULL,,,,,,
514,II,22/10/1987 00:00,NULL,NULL,,,,,,
535,II,28/06/1979 00:00,NULL,NULL,,,,,,
536,II,28/06/1979 00:00,NULL,NULL,,,,,,
537,II,28/06/1979 00:00,NULL,NULL,,,,,,
538,II,28/06/1979 00:00,NULL,NULL,,,,,,
544,II,04/02/1977 00:00,NULL,NULL,,,,,,
544,II,28/06/1979 00:00,NULL,Included with FALCONIFORMES spp.,,,,,,
660,II/r,06/06/1981 00:00,122,NULL,,,,,,
660,II,06/06/1981 00:00,NULL,NULL,,,,,,
660,II/r,06/06/1981 00:00,203,NULL,,,,,,
661,II/r,06/06/1981 00:00,203,NULL,,,,,,
661,II,06/06/1981 00:00,NULL,NULL,,,,,,
661,II/r,06/06/1981 00:00,122,NULL,,,,,,
662,II/r,06/06/1981 00:00,203,NULL,,,,,,
662,II,06/06/1981 00:00,NULL,NULL,,,,,,
662,II/r,06/06/1981 00:00,122,NULL,,,,,,
663,II/r,06/06/1981 00:00,122,NULL,,,,,,
663,II/r,06/06/1981 00:00,203,NULL,,,,,,
663,II,06/06/1981 00:00,NULL,NULL,,,,,,
664,II/r,06/06/1981 00:00,122,NULL,,,,,,
664,II/r,06/06/1981 00:00,203,NULL,,,,,,
664,II,06/06/1981 00:00,NULL,NULL,,,,,,
665,II/r,06/06/1981 00:00,122,NULL,,,,,,
665,II/r,06/06/1981 00:00,203,NULL,,,,,,
665,II,06/06/1981 00:00,NULL,NULL,,,,,,
666,II/r,06/06/1981 00:00,203,NULL,,,,,,
666,Deleted,12/01/2005 00:00,NULL,NULL,,,,,,
666,II,06/06/1981 00:00,NULL,NULL,,,,,,
666,II/r,06/06/1981 00:00,122,NULL,,,,,,
667,II,06/06/1981 00:00,NULL,NULL,,,,,,
667,II/r,06/06/1981 00:00,122,NULL,,,,,,
667,II/r,06/06/1981 00:00,203,NULL,,,,,,
668,II,06/06/1981 00:00,NULL,NULL,,,,,,
668,II/r,06/06/1981 00:00,122,NULL,,,,,,
668,II/r,06/06/1981 00:00,203,NULL,,,,,,
679,I,16/02/1995 00:00,NULL,NULL,,,,,,
679,III,14/07/1976 00:00,224,NULL,,,,,,
679,III/r,24/10/1977 00:00,57,NULL,,,,,,
679,III/w,01/01/1984 00:00,57,NULL,,,,,,
681,III/r,24/10/1977 00:00,57,NULL,,,,,,
681,III/w,01/01/1984 00:00,57,NULL,,,,,,
681,Deleted,04/03/2007 00:00,82,NULL,,,,,,
681,III,26/02/1976 00:00,82,NULL,,,,,,
682,III/w,26/09/1990 00:00,14,NULL,,,,,,
682,Deleted,15/12/2002 00:00,NULL,NULL,,,,,,
682,III,13/04/1987 00:00,95,NULL,,,,,,
682,III/r,13/04/1987 00:00,14,NULL,,,,,,
687,II,22/10/1987 00:00,NULL,NULL,,,,,,
688,II,22/10/1987 00:00,NULL,NULL,,,,,,
689,II,22/10/1987 00:00,NULL,NULL,,,,,,
690,II,22/10/1987 00:00,NULL,NULL,,,,,,
691,II,22/10/1987 00:00,NULL,NULL,,,,,,
692,II,22/10/1987 00:00,NULL,NULL,,,,,,
699,III,13/04/1987 00:00,95,NULL,,,,,,
699,III/w,26/09/1990 00:00,14,NULL,,,,,,
699,III/r,13/04/1987 00:00,14,NULL,,,,,,
702,III,23/04/1981 00:00,89,NULL,,,,,,
712,I,14/03/1984 00:00,NULL,NULL,,,,,,
712,III,06/12/1983 00:00,44,NULL,,,,,,
714,I,16/02/1995 00:00,NULL,NULL,,,,,,
714,II,01/07/1975 00:00,NULL,NULL,,,,,,
845,II/r,06/06/1981 00:00,122,NULL,,,,,,
845,II/r,06/06/1981 00:00,203,NULL,,,,,,
845,II/w,20/03/1987 00:00,122,NULL,,,,,,
845,II/w,20/03/1987 00:00,203,NULL,,,,,,
845,II,06/06/1981 00:00,NULL,NULL,,,,,,
846,II/w,20/03/1987 00:00,122,NULL,,,,,,
846,II/w,20/03/1987 00:00,203,NULL,,,,,,
846,II,06/06/1981 00:00,NULL,NULL,,,,,,
846,II/r,06/06/1981 00:00,122,NULL,,,,,,
846,II/r,06/06/1981 00:00,203,NULL,,,,,,
847,II/w,20/03/1987 00:00,122,NULL,,,,,,
847,II,06/06/1981 00:00,NULL,NULL,,,,,,
847,II/r,06/06/1981 00:00,122,NULL,,,,,,
847,II/r,06/06/1981 00:00,203,NULL,,,,,,
848,II/r,06/06/1981 00:00,203,NULL,,,,,,
848,II/r,06/06/1981 00:00,122,NULL,,,,,,
848,II/w,20/03/1987 00:00,122,NULL,,,,,,
848,II/w,20/03/1987 00:00,203,NULL,,,,,,
848,II,06/06/1981 00:00,NULL,NULL,,,,,,
849,II/r,06/06/1981 00:00,203,NULL,,,,,,
849,II/w,20/03/1987 00:00,122,NULL,,,,,,
849,II/w,20/03/1987 00:00,203,NULL,,,,,,
849,II,06/06/1981 00:00,NULL,NULL,,,,,,
849,II/r,06/06/1981 00:00,122,NULL,,,,,,
865,II,04/02/1977 00:00,NULL,NULL,,,,,,
866,I/w,03/07/1978 00:00,221,On behalf of HK ,,,,,,
866,II,28/06/1979 00:00,NULL,Included with CROCODYLIA spp.,,,,,,
866,I,01/07/1975 00:00,NULL,NULL,,,,,,
866,I/r,31/10/1976 00:00,221,On behalf of HK,,,,,,
867,I/w,03/07/1978 00:00,221,On behalf of HK,,,,,,
867,I/r,31/10/1976 00:00,221,On behalf of HK,,,,,,
867,I,01/07/1975 00:00,NULL,NULL,,,,,,
868,I,01/07/1975 00:00,NULL,NULL,,,,,,
901,III/w,01/01/1984 00:00,57,NULL,,,,,,
901,Deleted,04/03/2007 00:00,82,NULL,,,,,,
901,III,26/02/1976 00:00,82,Originally listed as Anatidae spp.,,,,,,
901,III/r,24/10/1977 00:00,57,NULL,,,,,,
909,II,04/02/1977 00:00,NULL,NULL,,,,,,
910,II,04/02/1977 00:00,NULL,NULL,,,,,,
911,I,01/07/1975 00:00,NULL,Mistakenly omitted from Appendix I in CITES Appendices (valid from 16/02/95),,,,,,
912,II,04/02/1977 00:00,NULL,NULL,,,,,,
913,I,01/07/1975 00:00,NULL,NULL,,,,,,
914,I,01/07/1975 00:00,NULL,NULL,,,,,,
915,II,04/02/1977 00:00,NULL,NULL,,,,,,
916,II,04/02/1977 00:00,NULL,NULL,,,,,,
981,III/w,01/01/1984 00:00,57,NULL,,,,,,
981,Deleted,04/03/2007 00:00,82,NULL,,,,,,
981,III,26/02/1976 00:00,82,Originally listed as Ploceidae spp.,,,,,,
981,III/r,24/10/1977 00:00,57,NULL,,,,,,
982,II,18/09/1997 00:00,NULL,NULL,,,,,,
983,III/w,01/01/1984 00:00,57,NULL,,,,,,
983,Deleted,04/03/2007 00:00,82,NULL,,,,,,
983,III,26/02/1976 00:00,82,Originally listed as Ploceidae spp.,,,,,,
983,III/r,24/10/1977 00:00,57,NULL,,,,,,
1011,II,22/10/1987 00:00,NULL,NULL,,,,,,
1012,II,22/10/1987 00:00,NULL,NULL,,,,,,
1013,II,22/10/1987 00:00,NULL,NULL,,,,,,
1014,II,22/10/1987 00:00,NULL,NULL,,,,,,
1015,II,22/10/1987 00:00,NULL,NULL,,,,,,
1016,II,22/10/1987 00:00,NULL,NULL,,,,,,
1017,II,22/10/1987 00:00,NULL,NULL,,,,,,
1018,II,22/10/1987 00:00,NULL,NULL,,,,,,
1019,II,22/10/1987 00:00,NULL,NULL,,,,,,
