Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SynonymSpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Phasis,wallengrenii,"(Trimen, 1887)",NULL,NULL,NULL,73788,S,714
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,woodfordii,"A. Smith, 1834",NULL,NULL,NULL,97155,S,20911
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,hartlaubi,"Giebel, 1872",NULL,NULL,NULL,97085,S,15681
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,podargina,"Hartlaub & Finsch, 1872",NULL,NULL,NULL,97086,S,15700
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,cuculoides,"Vigors, 1831",NULL,NULL,NULL,97122,S,9216
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,melanota,"Tschudi, 1844",NULL,NULL,NULL,97106,S,18866
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,siju,"d'Orbigny, 1839",NULL,NULL,NULL,97110,S,9228
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,brodiei,"Burton, 1836",NULL,NULL,NULL,97118,S,9210
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,capensis,"A. Smith, 1834",NULL,NULL,NULL,97116,S,9212
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,ochracea,"Schlegel, 1865",NULL,NULL,NULL,97144,S,14780
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,NOCTUIDAE,Noctua,punctulata,"Quoy & Gaimard, 1830",NULL,NULL,NULL,97147,S,14783
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,jacquinoti,"Bonaparte, 1850",NULL,NULL,NULL,97148,S,14776
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,albifacies,"G. R. Gray, 1844",NULL,NULL,NULL,97149,S,19952
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,noctua,"Scopoli, 1769",NULL,NULL,NULL,97150,S,2351
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,brama,"Temminck, 1821",NULL,NULL,NULL,97151,S,2350
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,cunicularia,"Molina, 1782",NULL,NULL,NULL,97152,S,20469
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Syrnium,virgatum,"Cassin, 1850",NULL,NULL,NULL,97153,S,20910
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Syrnium,albitarse,"Bonaparte, 1850",NULL,NULL,NULL,97154,S,20894
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,squamipila,"Bonaparte, 1850",NULL,NULL,NULL,97145,S,14787
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Spiloglaux,theomacha,"Bonaparte, 1855",NULL,NULL,NULL,97146,S,14791
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Smithiglaux,capensis,"(A. Smith, 1834)",ssp.,ngamiensis,"Roberts, 1932",97117,S,9212
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,radiata,"Tickell, 1833",NULL,NULL,NULL,97119,S,9226
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Glaucidium,cuculoides,"(Vigors, 1831)",ssp.,castanonotum,"(Blyth, 1846)",97120,S,9214
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,castanonota,"Blyth, 1852",NULL,NULL,NULL,97121,S,9214
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,minutissima,"Wied, 1830",NULL,NULL,NULL,97111,S,9220
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Phalaenopsis,jardinii,"Bonaparte, 1855 ",NULL,NULL,NULL,97112,S,9219
Animalia,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Strix,brasiliana,"Gmelin, 1788",NULL,NULL,NULL,97113,S,9209
