Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,castanilius,"Bonaparte, 1853",NULL,NULL,NULL,94,A
Animalia,CHORDATA,REPTILIA,SERPENTES,BOIDAE,Acrantophis,madagascariensis,"(Duméril & Bibron, 1844)",NULL,NULL,NULL,283,A
Animalia,CHORDATA,REPTILIA,SAURIA,IGUANIDAE,Cyclura,ricordi,"(Duméril & Bibron, 1837)",NULL,NULL,NULL,6032,A
Animalia,CHORDATA,REPTILIA,SAURIA,IGUANIDAE,Cyclura,rileyi,"Stejneger, 1903",NULL,NULL,NULL,6033,A
Animalia,CHORDATA,REPTILIA,SAURIA,IGUANIDAE,Cyclura,cychlura,"(Cuvier, 1829)",NULL,NULL,NULL,6035,A
Animalia,CHORDATA,REPTILIA,SAURIA,IGUANIDAE,Cyclura,lewisi,"Grant, 1941",NULL,NULL,"Grant, 1940",6044,A
Animalia,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,columbianus,"(Ord, 1815)",ssp.,jankowskii,"Alphéraky, 1904",6052,A
Animalia,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,melancoryphus,"(Molina, 1782)",NULL,NULL,NULL,6054,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Cynanthus,latirostris,"Swainson, 1827",NULL,NULL,NULL,6077,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Cynanthus,sordidus,"(Gould, 1859)",NULL,NULL,NULL,6078,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Cynogale,bennettii,"Gray, 1837",NULL,NULL,NULL,6082,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Cynomys,mexicanus,"Merriam, 1892",NULL,NULL,NULL,6089,A
Animalia,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Cyornis,ruckii,"(Oustalet, 1881)",NULL,NULL,NULL,6112,A
Animalia,CHORDATA,REPTILIA,SAURIA,GEKKONIDAE,Cyrtodactylus,serpensinsula,"Loveridge, 1951",NULL,NULL,NULL,6190,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Cyrtonyx,montezumae,"(Vigors, 1830)",ssp.,mearnsi,"Nelson, 1900",6194,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Cyrtonyx,montezumae,"(Vigors, 1830)",ssp.,merriami,"Nelson, 1897",6195,A
Animalia,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Cyrtonyx,montezumae,"(Vigors, 1830)",ssp.,montezumae,"(Vigors, 1830)",6196,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Dama,dama,"(Linnaeus, 1758)",ssp.,mesopotamica,NULL,6231,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,lunatus,"(Burchell, 1824)",NULL,NULL,NULL,6235,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Damaliscus,pygargus,"(Pallas, 1767)",ssp.,pygargus,"(Pallas, 1767)",6236,A
Animalia,CHORDATA,AVES,APODIFORMES,TROCHILIDAE,Damophila,julie,"(Bourcier, 1842)",NULL,NULL,NULL,6246,A
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Ibycter,americanus,"(Boddaert, 1783)",NULL,NULL,NULL,6259,A
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Daptrius,ater,"Vieillot, 1816",NULL,NULL,NULL,6260,A
Animalia,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Dasyornis,broadbenti,"(McCoy, 1867)",ssp.,litoralis,"(Milligan, 1902)",6274,A
Animalia,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Dasyornis,longirostris,"Gould, 1841",NULL,NULL,NULL,6275,A
Animalia,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Dasyornis,broadbenti,"(McCoy, 1867)",NULL,NULL,NULL,6276,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,DASYPROCTIDAE,Dasyprocta,punctata,"Gray, 1842",NULL,NULL,NULL,6277,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,DAUBENTONIIDAE,Daubentonia,madagascariensis,"(Gmelin, 1788)",NULL,NULL,NULL,6302,A
Animalia,CHORDATA,MAMMALIA,CETACEA,MONODONTIDAE,Delphinapterus,leucas,"(Pallas, 1776)",NULL,NULL,NULL,6335,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Delphinus,delphis,"Linnaeus, 1758",NULL,NULL,NULL,6336,A
Animalia,CHORDATA,MAMMALIA,CETACEA,DELPHINIDAE,Delphinus,capensis,"Gray, 1828",NULL,NULL,NULL,6337,A
