Kingdom,ComName,LanDesc,SpcRecID
Plantae,plicate-leaved snowdrop,English,1484
Plantae,cardoncillo de Tenerife,Spanish,3687
Plantae,palo de la vida,Spanish,8235
Plantae,pelma,Spanish,8235
Plantae,palmita de terra fría,Spanish,8240
Plantae,Arizona agave,English,8451
Plantae,New River agave,English,8451
Plantae,artichoke cactus,English,8540
Plantae,cacto alcachofa,Spanish,8540
Plantae,Knowlton's cactus,English,8541
Plantae,Knowlton's minature cactus,English,8541
Plantae,Knowlton's pincushion cactus,English,8541
Plantae,Santa Barbara Island Liveforever,English,8558
Plantae,Dehesa bear-grass,English,8772
Plantae,San Diego bear-grass,English,8772
Plantae,margarita de otoño,Spanish,8916
Plantae,campanillas de nieve,Spanish,8961
Plantae,copo de nieve,Spanish,8961
Plantae,perceneige,French,8961
Plantae,snowdrops,English,8961
Plantae,elephant trunks,English,9007
Plantae,trompa de elefante,Spanish,9007
Plantae,cardoncillos,Spanish,9057
Plantae,living rock cacti,English,9141
Plantae,roca viviente,Spanish,9141
Plantae,discocacti,English,9173
Plantae,discocacto,Spanish,9173
Plantae,hatchet cacti,English,9183
Plantae,peyotillo,Spanish,9183
Plantae,pine cane cactus,English,9183
Plantae,turbinicacto,Spanish,9195
Plantae,turbinicarps,English,9195
Plantae,helechos arborescentes,Spanish,9233
Plantae,tree ferns,English,9233
Plantae,cícadas,Spanish,9235
Plantae,cycades,French,9235
Plantae,cycads,English,9235
Plantae,Mistletoe cactus,English,9399
Plantae,cacti,English,9902
Plantae,cacti,French,9902
Plantae,cactos,Spanish,9902
Plantae,helechos arborescentes,Spanish,10187
Plantae,tree ferns,English,10187
Plantae,sago-palm,English,10388
Plantae,malayan fern palm,English,10394
Plantae,rainbow plant,English,13209
Plantae,southern byblis,English,13209
Plantae,Grahm's Nipple-cactus,English,15679
Plantae,Green-fruit Nipple-cactus,English,15704
Plantae,Clavel del aire,Spanish,20184
Plantae,Xerographic tillandsia,English,20184
Plantae,Clavel del aire,Spanish,20192
Plantae,Maury's tillandsia,English,20192
Plantae,Caribbean apple-cactus,English,22109
Plantae,fragrant prickly-apple cactus,English,22109
Plantae,fragrant woolly cactus,English,22109
Plantae,Puerto Rico Apple-cactus,English,22127
Plantae,pitahaya,Spanish,22134
Plantae,pin-cushion,English,22161
Plantae,suckers,English,22161
Plantae,Nash's prickly-pear,English,22169
Plantae,cardón,Spanish,22182
Plantae,night-blooming cereus,English,22182
Plantae,reina de la noche,Spanish,22182
Plantae,queen of the night,English,22182
Plantae,night blooming cereus,English,22191
Plantae,pope's head,English,22193
Plantae,Pope's head,English,22195
Plantae,red-topped barrel cactus,English,22195
Plantae,prickly pear tree,English,22199
Plantae,Semaphore Cactus,English,22199
Plantae,Big Pine Key Prickly-pear,English,22201
Plantae,tree cactus,English,22362
Plantae,Bunched Cory Cactus,English,25207
Plantae,Recurved Corycactus,English,25208
Plantae,Laguna Beach Liveforever,English,25466
Plantae,Fitch's hedgehog cactus,English,25484
Plantae,Correll's Green Pitaya,English,25488
Plantae,Davis' Green Pitaya,English,25489
Plantae,Button-cactus,English,25510
Plantae,Coast Barrel Cactus,English,25723
Plantae,San Diego Barrel Cactus,English,25723
Plantae,alerce,Spanish,25728
Plantae,Bois d'Alerce,French,25728
Plantae,Chilean false larch,English,25728
Plantae,Ciprés de la Patagonia,Spanish,25728
Plantae,falso alerce chileno,Spanish,25728
Plantae,cyprès de Patagonie,French,25728
Plantae,Lahual,Spanish,25728
Plantae,Patagonian cypress,English,25728
Plantae,Thornber's Fishhook cactus,English,26273
Plantae,Munz cholla,English,26422
Plantae,Wiggins cholla,English,26429
Plantae,Brady's Pincushion Cactus,English,26483
Plantae,Houserock valley cactus,English,26486
Plantae,Kaibab pincushion cactus,English,26486
Plantae,Park Pincushion-cactus,English,26486
Plantae,Fickeisen Hedgehog-cactus,English,26488
Plantae,Siler's Pincushion Cactus,English,26489
Plantae,Vinta Basin hookless cactus,English,26976
Plantae,Mesa-Verde cactus,English,26977
Plantae,Mohave Fishhook Cactus,English,26978
Plantae,Wright's fishhook cactus,English,26983
Plantae,Tamaulipas living-rock cactus,English,27382
Plantae,Nuevo Leon living-rock cactus,English,27383
Plantae,orejas de conejo,Spanish,27383
Plantae,orejitas,Spanish,27383
Plantae,aztec cactus,English,27386
Plantae,cacto azteca,Spanish,27386
Plantae,Chihuahuan Foxtail-cactus,English,27405
Plantae,Cacto de Lindsay,Spanish,27463
Plantae,Lindsay's cactus,English,27463
Plantae,Lindsay's hedgehog cacti,English,27463
Plantae,agave cactus,English,27543
Plantae,hatchet cactus,English,27623
Plantae,woodlouse cactus,English,27623
Plantae,pine cone cactus,English,27624
Plantae,pezuña de venado,Spanish,29420
Plantae,jabali pincushion cactus,English,29487
Plantae,Disc cactus,English,29601
Plantae,lamb's-tail cactus,English,29613
Plantae,lady-finger hedgehog cactus,English,29768
Plantae,elephant's trunk,English,30348
Plantae,ginseng,English,31571
Plantae,red ginseng,English,31571
Plantae,costus root,English,31643
Plantae,West Indian nipple-cactus,English,31650
Plantae,common sternbergia,English,31970
Plantae,ajillo,Spanish,32014
Plantae,ajo,Spanish,32014
Plantae,almendrillo,Spanish,32014
Plantae,almendrón,Spanish,32014
Plantae,costus,English,32014
Plantae,manú,Spanish,32014
Plantae,plomillo,Spanish,32014
Plantae,swari,Spanish,32014
Plantae,Albany pitcherplant,English,32812
Plantae,American pitcherplant,English,32812
Plantae,araucana,Spanish,33332
Plantae,araucaria,Spanish,33332
Plantae,araucaria de Neuquén,Spanish,33332
Plantae,araucaria imbricada,Spanish,33332
Plantae,Chilean pine,English,33332
Plantae,gúillo,Spanish,33332
Plantae,monkey puzzle,English,33332
Plantae,pin du Chili,French,33332
Plantae,pino,Spanish,33332
