Kingdom,SpcRecID,CtyRecID,CtyShort
Plantae,607,44,China
Plantae,607,72,Finland
Plantae,607,107,Japan
Plantae,607,141,Mongolia
Plantae,607,174,Russian Federation
Plantae,607,202,Sweden
Plantae,5114,194,South Africa
Plantae,5115,194,South Africa
Plantae,5174,110,Kenya
Plantae,5174,126,Madagascar
Plantae,5174,127,Malawi
Plantae,5174,194,South Africa
Plantae,5174,207,United Republic of Tanzania
Plantae,5174,144,Mozambique
Plantae,5174,238,Zimbabwe
Plantae,5219,194,South Africa
Plantae,6212,44,China
Plantae,6212,71,Fiji
Plantae,6212,99,India
Plantae,6212,148,Nepal
Plantae,6212,192,Solomon Islands
Plantae,7997,138,Micronesia (Federated States of)
Plantae,7997,162,Palau
Plantae,8451,222,United States
Plantae,8772,137,Mexico
Plantae,8772,222,United States
Plantae,8817,187,Seychelles
Plantae,9695,37,Cameroon
Plantae,9701,37,Cameroon
Plantae,9953,47,Colombia
Plantae,9982,47,Colombia
Plantae,9994,30,Brazil
Plantae,10009,47,Colombia
Plantae,10010,30,Brazil
Plantae,10011,30,Brazil
Plantae,10392,18,Bangladesh
Plantae,10392,36,Cambodia
Plantae,10392,44,China
Plantae,10392,99,India
Plantae,10392,116,Lao People's Democratic Republic
Plantae,10392,128,Malaysia
Plantae,10392,145,Myanmar
Plantae,10392,148,Nepal
Plantae,10392,208,Thailand
Plantae,10392,229,Viet Nam
Plantae,10407,137,Mexico
Plantae,10408,137,Mexico
Plantae,10410,89,Guatemala
Plantae,10410,137,Mexico
Plantae,10411,137,Mexico
Plantae,10412,137,Mexico
Plantae,11077,6,Angola
Plantae,11630,152,New Zealand
Plantae,11630,13,Australia
Plantae,11760,89,Guatemala
Plantae,11760,137,Mexico
Plantae,12125,13,Australia
Plantae,12125,157,Norfolk Island
Plantae,12125,152,New Zealand
Plantae,12125,151,New Caledonia
Plantae,12181,126,Madagascar
Plantae,12181,187,Seychelles
Plantae,12183,187,Seychelles
Plantae,12183,68,Ethiopia
Plantae,12183,237,Zambia
Plantae,12183,188,Sierra Leone
Plantae,12183,6,Angola
Plantae,12183,37,Cameroon
Plantae,12183,155,Nigeria
Plantae,12183,184,São Tomé and Principe
Plantae,12183,110,Kenya
Plantae,12183,78,Gabon
Plantae,12183,65,Equatorial Guinea
Plantae,12183,127,Malawi
Plantae,12183,184,São Tomé and Principe
Plantae,12183,120,Liberia
Plantae,12183,90,Guinea
Plantae,12183,238,Zimbabwe
Plantae,12183,207,United Republic of Tanzania
Plantae,12183,56,Côte d'Ivoire
Plantae,12183,236,Democratic Republic of the Congo
Plantae,12362,30,Brazil
Plantae,12372,30,Brazil
Plantae,12385,62,Ecuador
Plantae,12385,166,Peru
Plantae,12386,92,Guyana
Plantae,12386,228,Venezuela
Plantae,12390,10,Argentina
Plantae,12390,30,Brazil
Plantae,12393,62,Ecuador
Plantae,12393,166,Peru
Plantae,12395,228,Venezuela
Plantae,12399,228,Venezuela
Plantae,12401,166,Peru
Plantae,12405,30,Brazil
Plantae,12406,30,Brazil
Plantae,12406,47,Colombia
Plantae,12406,75,French Guiana
Plantae,12406,92,Guyana
Plantae,12406,166,Peru
Plantae,12406,228,Venezuela
Plantae,12406,62,Ecuador
Plantae,12407,30,Brazil
Plantae,12408,47,Colombia
Plantae,12412,30,Brazil
Plantae,12413,30,Brazil
Plantae,12414,30,Brazil
Plantae,12415,30,Brazil
Plantae,12418,30,Brazil
Plantae,12668,13,Australia
Plantae,12669,13,Australia
Plantae,12870,13,Australia
Plantae,12871,13,Australia
Plantae,12872,13,Australia
Plantae,13116,13,Australia
Plantae,13117,13,Australia
Plantae,13118,13,Australia
Plantae,13120,13,Australia
Plantae,13121,13,Australia
Plantae,13456,13,Australia
Plantae,13461,13,Australia
Plantae,13732,13,Australia
Plantae,13796,13,Australia
Plantae,13797,13,Australia
Plantae,13798,13,Australia
Plantae,13932,13,Australia
Plantae,13933,13,Australia
Plantae,13934,13,Australia
Plantae,13935,13,Australia
Plantae,13936,13,Australia
Plantae,14500,13,Australia
Plantae,14502,13,Australia
Plantae,14503,13,Australia
Plantae,14504,13,Australia
Plantae,14505,13,Australia
Plantae,14506,13,Australia
Plantae,14507,13,Australia
Plantae,14508,13,Australia
Plantae,14509,13,Australia
Plantae,14510,13,Australia
Plantae,14511,13,Australia
Plantae,14512,13,Australia
Plantae,14696,13,Australia
Plantae,14697,13,Australia
Plantae,14698,13,Australia
Plantae,14699,13,Australia
Plantae,16729,51,Costa Rica
Plantae,16729,163,Panama
Plantae,16731,47,Colombia
Plantae,16731,163,Panama
Plantae,16732,163,Panama
Plantae,16733,163,Panama
Plantae,16733,62,Ecuador
Plantae,16733,47,Colombia
Plantae,16858,163,Panama
Plantae,16861,163,Panama
Plantae,17816,51,Costa Rica
Plantae,17817,51,Costa Rica
Plantae,17819,51,Costa Rica
Plantae,17819,163,Panama
Plantae,17820,51,Costa Rica
Plantae,18161,51,Costa Rica
Plantae,18163,51,Costa Rica
Plantae,18165,51,Costa Rica
Plantae,18166,51,Costa Rica
Plantae,18171,51,Costa Rica
Plantae,18172,51,Costa Rica
Plantae,18511,163,Panama
Plantae,18511,51,Costa Rica
Plantae,19674,163,Panama
Plantae,19674,22,Belize
Plantae,19674,51,Costa Rica
Plantae,19674,64,El Salvador
Plantae,19674,89,Guatemala
Plantae,19674,95,Honduras
Plantae,19674,137,Mexico
Plantae,19674,153,Nicaragua
Plantae,19674,47,Colombia
Plantae,19674,228,Venezuela
Plantae,19674,30,Brazil
Plantae,19674,62,Ecuador
Plantae,20830,22,Belize
Plantae,20830,95,Honduras
Plantae,20858,89,Guatemala
Plantae,20858,137,Mexico
Plantae,20858,64,El Salvador
Plantae,20859,137,Mexico
Plantae,20860,137,Mexico
Plantae,20861,137,Mexico
Plantae,20863,137,Mexico
Plantae,20864,137,Mexico
Plantae,20865,137,Mexico
Plantae,20866,137,Mexico
Plantae,20867,89,Guatemala
Plantae,20867,137,Mexico
Plantae,20868,137,Mexico
Plantae,20869,137,Mexico
Plantae,20870,89,Guatemala
Plantae,20870,137,Mexico
Plantae,20872,137,Mexico
Plantae,20874,137,Mexico
Plantae,20876,137,Mexico
Plantae,20878,137,Mexico
Plantae,20879,137,Mexico
Plantae,20880,137,Mexico
Plantae,20880,153,Nicaragua
Plantae,20880,166,Peru
Plantae,20880,26,Bolivia
Plantae,20881,137,Mexico
Plantae,21022,137,Mexico
Plantae,21037,89,Guatemala
Plantae,21037,137,Mexico
Plantae,21041,137,Mexico
Plantae,23348,222,United States
Plantae,24244,197,Sri Lanka
Plantae,24245,197,Sri Lanka
Plantae,24245,99,India
Plantae,24246,197,Sri Lanka
Plantae,24247,197,Sri Lanka
Plantae,24248,197,Sri Lanka
Plantae,24249,197,Sri Lanka
Plantae,24249,99,India
Plantae,24250,197,Sri Lanka
Plantae,24250,145,Myanmar
Plantae,24251,197,Sri Lanka
Plantae,24252,107,Japan
Plantae,24252,197,Sri Lanka
Plantae,24252,99,India
Plantae,24252,229,Viet Nam
Plantae,24252,205,"Taiwan, Province of China"
Plantae,24253,197,Sri Lanka
Plantae,24256,197,Sri Lanka
Plantae,24261,197,Sri Lanka
Plantae,24265,197,Sri Lanka
Plantae,24270,187,Seychelles
Plantae,24270,197,Sri Lanka
Plantae,24277,197,Sri Lanka
Plantae,24277,144,Mozambique
Plantae,24277,110,Kenya
Plantae,24277,207,United Republic of Tanzania
Plantae,24295,197,Sri Lanka
Plantae,24833,53,Cuba
Plantae,24833,60,Dominican Republic
Plantae,24833,171,Puerto Rico
Plantae,24875,171,Puerto Rico
Plantae,24876,26,Bolivia
Plantae,24876,30,Brazil
Plantae,24876,137,Mexico
Plantae,24876,166,Peru
Plantae,24876,222,United States
Plantae,24876,59,Dominica
Plantae,24876,92,Guyana
Plantae,24876,47,Colombia
Plantae,24876,212,Trinidad and Tobago
Plantae,24876,106,Jamaica
Plantae,24876,62,Ecuador
Plantae,24876,89,Guatemala
Plantae,24876,199,Suriname
Plantae,24876,228,Venezuela
Plantae,24876,75,French Guiana
Plantae,24876,163,Panama
Plantae,24876,22,Belize
Plantae,24876,53,Cuba
Plantae,24876,51,Costa Rica
Plantae,24876,153,Nicaragua
Plantae,25728,10,Argentina
Plantae,25728,43,Chile
Plantae,27121,16,Bahamas
Plantae,27121,60,Dominican Republic
Plantae,27121,89,Guatemala
Plantae,27121,137,Mexico
Plantae,27121,171,Puerto Rico
Plantae,27121,222,United States
Plantae,28249,137,Mexico
Plantae,28300,51,Costa Rica
Plantae,28300,153,Nicaragua
Plantae,28300,163,Panama
Plantae,28301,51,Costa Rica
Plantae,28301,60,Dominican Republic
Plantae,29413,163,Panama
Plantae,29414,163,Panama
Plantae,30255,151,New Caledonia
Plantae,30255,164,Papua New Guinea
Plantae,30255,71,Fiji
Plantae,30256,151,New Caledonia
Plantae,30256,226,Vanuatu
Plantae,30257,151,New Caledonia
Plantae,30258,151,New Caledonia
Plantae,30259,151,New Caledonia
Plantae,30260,151,New Caledonia
Plantae,30260,164,Papua New Guinea
Plantae,30260,71,Fiji
Plantae,30261,151,New Caledonia
Plantae,30262,151,New Caledonia
Plantae,30263,4,American Samoa
Plantae,30263,151,New Caledonia
Plantae,30263,226,Vanuatu
Plantae,30264,151,New Caledonia
Plantae,30265,151,New Caledonia
Plantae,30267,151,New Caledonia
Plantae,30268,151,New Caledonia
Plantae,30301,151,New Caledonia
Plantae,30302,151,New Caledonia
Plantae,30303,151,New Caledonia
Plantae,30304,151,New Caledonia
Plantae,30305,151,New Caledonia
Plantae,30306,151,New Caledonia
Plantae,30307,151,New Caledonia
Plantae,30308,151,New Caledonia
Plantae,30309,151,New Caledonia
Plantae,30310,151,New Caledonia
Plantae,30311,151,New Caledonia
Plantae,30312,151,New Caledonia
Plantae,30313,151,New Caledonia
Plantae,30314,151,New Caledonia
Plantae,30315,151,New Caledonia
Plantae,30317,151,New Caledonia
Plantae,30328,151,New Caledonia
Plantae,30351,137,Mexico
Plantae,30370,151,New Caledonia
Plantae,30428,131,Malta
Plantae,30998,99,India
Plantae,30999,99,India
Plantae,31000,99,India
Plantae,31224,99,India
Plantae,31225,99,India
Plantae,31225,148,Nepal
Plantae,31226,99,India
Plantae,31349,18,Bangladesh
Plantae,31349,99,India
Plantae,31350,99,India
Plantae,31351,99,India
Plantae,31351,100,Indonesia
Plantae,31351,128,Malaysia
Plantae,31351,145,Myanmar
Plantae,31351,208,Thailand
Plantae,31351,167,Philippines
Plantae,31351,36,Cambodia
Plantae,31351,18,Bangladesh
Plantae,31352,44,China
Plantae,31352,99,India
Plantae,31353,99,India
Plantae,31353,44,China
Plantae,31353,229,Viet Nam
Plantae,31353,148,Nepal
Plantae,31388,18,Bangladesh
Plantae,31388,25,Bhutan
Plantae,31388,44,China
Plantae,31388,99,India
Plantae,31388,145,Myanmar
Plantae,31388,148,Nepal
Plantae,31392,99,India
Plantae,31393,44,China
Plantae,31393,99,India
Plantae,31393,148,Nepal
Plantae,31394,25,Bhutan
Plantae,31394,99,India
Plantae,31394,208,Thailand
Plantae,31395,145,Myanmar
Plantae,31395,99,India
Plantae,31395,18,Bangladesh
Plantae,31396,99,India
Plantae,31396,148,Nepal
Plantae,31396,208,Thailand
Plantae,31396,229,Viet Nam
Plantae,31396,116,Lao People's Democratic Republic
Plantae,31396,44,China
Plantae,31396,25,Bhutan
Plantae,31396,128,Malaysia
Plantae,31396,145,Myanmar
Plantae,31397,44,China
Plantae,31397,107,Japan
Plantae,31397,25,Bhutan
Plantae,31397,99,India
Plantae,31397,148,Nepal
Plantae,31398,99,India
Plantae,31398,44,China
Plantae,31398,148,Nepal
Plantae,31398,229,Viet Nam
Plantae,31398,25,Bhutan
Plantae,31398,107,Japan
Plantae,31399,44,China
Plantae,31399,25,Bhutan
Plantae,31399,99,India
Plantae,31399,148,Nepal
Plantae,31400,25,Bhutan
Plantae,31400,99,India
Plantae,31400,148,Nepal
Plantae,31400,44,China
Plantae,31400,229,Viet Nam
Plantae,31400,107,Japan
Plantae,31401,25,Bhutan
Plantae,31401,99,India
Plantae,31401,148,Nepal
Plantae,31402,25,Bhutan
Plantae,31402,99,India
Plantae,31402,148,Nepal
Plantae,31402,44,China
Plantae,31403,44,China
Plantae,31403,25,Bhutan
Plantae,31403,99,India
Plantae,31403,145,Myanmar
Plantae,31403,148,Nepal
Plantae,31403,229,Viet Nam
Plantae,31514,99,India
Plantae,31515,99,India
Plantae,31515,44,China
Plantae,31590,107,Japan
Plantae,31590,113,"Korea, Republic of"
Plantae,31590,44,China
Plantae,31591,107,Japan
Plantae,31591,44,China
Plantae,31591,113,"Korea, Republic of"
Plantae,31646,137,Mexico
Plantae,32618,137,Mexico
Plantae,32622,22,Belize
Plantae,32622,89,Guatemala
Plantae,32622,137,Mexico
Plantae,32810,13,Australia
Plantae,32813,44,China
Plantae,32813,107,Japan
Plantae,32813,112,Democratic People's Republic of Korea
Plantae,32813,113,"Korea, Republic of"
Plantae,32813,174,Russian Federation
Plantae,33332,10,Argentina
Plantae,33332,43,Chile
Plantae,33759,196,Spain
Plantae,34350,137,Mexico
Plantae,34412,194,South Africa
Plantae,34412,127,Malawi
Plantae,34412,144,Mozambique
Plantae,34412,237,Zambia
Plantae,34412,238,Zimbabwe
Plantae,34412,201,Swaziland
Plantae,34412,207,United Republic of Tanzania
Plantae,39373,76,French Polynesia
Plantae,39373,236,Democratic Republic of the Congo
Plantae,39373,151,New Caledonia
Plantae,39373,126,Madagascar
Plantae,39373,127,Malawi
Plantae,39373,192,Solomon Islands
Plantae,39373,226,Vanuatu
Plantae,39373,71,Fiji
Plantae,39373,100,Indonesia
Plantae,39373,218,Uganda
Plantae,39373,187,Seychelles
Plantae,39373,176,Réunion
Plantae,39373,229,Viet Nam
Plantae,39373,238,Zimbabwe
Plantae,39373,135,Mauritius
Plantae,39373,164,Papua New Guinea
Plantae,39373,50,Cook Islands
Plantae,39373,182,Samoa
Plantae,39373,167,Philippines
Plantae,39373,207,United Republic of Tanzania
Plantae,39373,13,Australia
Plantae,39373,88,Guam
Plantae,39373,128,Malaysia
Plantae,39373,158,Northern Mariana Islands
Plantae,39629,128,Malaysia
Plantae,39629,100,Indonesia
Plantae,40126,128,Malaysia
Plantae,40127,128,Malaysia
Plantae,40128,128,Malaysia
Plantae,40128,189,Singapore
Plantae,40129,128,Malaysia
Plantae,40130,128,Malaysia
Plantae,40131,128,Malaysia
Plantae,40132,128,Malaysia
Plantae,40133,128,Malaysia
Plantae,40134,128,Malaysia
Plantae,40135,128,Malaysia
Plantae,40135,189,Singapore
Plantae,40136,128,Malaysia
Plantae,40137,128,Malaysia
Plantae,40138,128,Malaysia
Plantae,40139,128,Malaysia
Plantae,40139,208,Thailand
Plantae,40139,229,Viet Nam
Plantae,40142,208,Thailand
Plantae,40142,128,Malaysia
Plantae,40143,128,Malaysia
Plantae,40145,128,Malaysia
Plantae,40146,128,Malaysia
Plantae,40146,151,New Caledonia
Plantae,40146,100,Indonesia
Plantae,40149,167,Philippines
Plantae,40149,100,Indonesia
Plantae,40149,128,Malaysia
Plantae,40150,128,Malaysia
Plantae,40151,128,Malaysia
Plantae,40152,128,Malaysia
Plantae,40152,100,Indonesia
Plantae,40153,100,Indonesia
Plantae,40153,128,Malaysia
Plantae,40154,128,Malaysia
Plantae,40155,128,Malaysia
Plantae,40155,100,Indonesia
