SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes
33332,I/w,01/01/1983 00:00,203,NULL
33332,I/r,28/06/1979 00:00,203,NULL
25728,I/r,22/10/1987 00:00,43,Reservation applicable only to coastal population of Chile.
25728,I/w,01/12/2004 00:00,43,From the Littoral Cordillera of Chile.
7997,III/r,15/07/2004 00:00,162,NULL
10392,III,16/11/1975 00:00,148,NULL
9211,II/w,01/01/1983 00:00,203,NULL
9211,II/r,28/06/1979 00:00,203,NULL
62078,III/r,24/10/1977 00:00,57,NULL
62078,III,23/06/2010 00:00,148,"All parts and derivatives, except: ûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
62078,III/w,01/01/1984 00:00,57,NULL
62078,III,16/11/1975 00:00,148,NULL
62078,III,13/09/2007 00:00,148,"All parts and derivatives, except: ûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
32813,III,14/10/2010 00:00,174,"The only parts and derivatives included are logs, sawn wood and veneer sheets."
6212,III,01/08/1985 00:00,148,"Designates all parts and derivatives except: ûa) seeds, spores and pollen (including pollinia); and ûb) tissue cultures and flasked seedling cultures."
6212,III/r,24/10/1977 00:00,57,NULL
6212,III,16/11/1975 00:00,148,NULL
6212,III,13/09/2007 00:00,148,"All parts and derivatives, except: a) seeds, spores and pollen (including pollinia); b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
6212,III,23/06/2010 00:00,148,"All parts and derivatives, except: ûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_."
6212,III/w,01/01/1984 00:00,57,NULL
58874,II/r,16/02/1995 00:00,122,"Designates all parts and derivatives, except: a) seeds and pollen; b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;  c) cut flowers of artificially propagated plants; and d) chemical derivatives and finished pharmaceutical products)."
58874,II/r,16/02/1995 00:00,203,"Designates all parts and derivatives, except: a) seeds and pollen; b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;  c) cut flowers of artificially propagated plants; and d) chemical derivatives and finished pharmaceutical products)."
49050,I/r,01/08/1985 00:00,14,NULL
49050,I/w,06/01/1989 00:00,14,NULL
33009,I/r,01/08/1985 00:00,14,NULL
33009,I/w,06/01/1989 00:00,14,NULL
34350,I/r,01/08/1985 00:00,14,NULL
34350,I/w,06/01/1989 00:00,14,NULL
32618,I/r,01/08/1985 00:00,14,NULL
32618,I/w,06/01/1989 00:00,14,NULL
32622,I/r,01/08/1985 00:00,14,NULL
32622,I/w,06/01/1989 00:00,14,NULL
31646,I/r,01/08/1985 00:00,14,NULL
31646,I/w,06/01/1989 00:00,14,NULL
30351,I/r,01/08/1985 00:00,14,NULL
30351,I/w,06/01/1989 00:00,14,NULL
105268,I/r,01/08/1985 00:00,14,NULL
