Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID
Plantae,ORCHIDALES,ORCHIDACEAE,Tainia,unguiculata,NULL,NULL,105657,S,105656
Plantae,ORCHIDALES,ORCHIDACEAE,Tainia,penangiana,NULL,NULL,41177,S,75627
Plantae,ORCHIDALES,ORCHIDACEAE,Vanda,multiflora,NULL,NULL,105655,S,105654
Plantae,ORCHIDALES,ORCHIDACEAE,Calanthe,natalensis,NULL,NULL,5227,S,67742
Plantae,ORCHIDALES,ORCHIDACEAE,Himantoglossum,longibracteatum,NULL,NULL,136566,S,80366
Plantae,ORCHIDALES,ORCHIDACEAE,Loroglossum,longibracteatum,NULL,NULL,133048,S,80366
Plantae,ORCHIDALES,ORCHIDACEAE,Epidendrum,armeniacum,NULL,NULL,44897,S,75636
Plantae,ORCHIDALES,ORCHIDACEAE,Esmeralda,clarkei,NULL,NULL,31360,S,52187
Plantae,ORCHIDALES,ORCHIDACEAE,Goodyera,fumata,NULL,NULL,50662,U,59205
Plantae,ORCHIDALES,ORCHIDACEAE,Barlia,longibracteata,NULL,NULL,146264,S,80366
Plantae,ORCHIDALES,ORCHIDACEAE,Basiphyllaea,corallicola,NULL,NULL,87312,U,24833
Plantae,ORCHIDALES,ORCHIDACEAE,Caladenia,atkinsonii,NULL,NULL,12667,S,50485
Plantae,ORCHIDALES,ORCHIDACEAE,Angraecum,hyaloides,NULL,NULL,182893,S,182788
Plantae,ORCHIDALES,ORCHIDACEAE,Angraecum,fournierae,NULL,NULL,182956,S,161488
Plantae,ORCHIDALES,ORCHIDACEAE,Anoectochilus,apiculatus,NULL,NULL,23347,S,23348
Plantae,ORCHIDALES,ORCHIDACEAE,Angraecum,stylosum,NULL,NULL,182957,S,161488
Plantae,ORCHIDALES,ORCHIDACEAE,Angraecum,maheense,NULL,NULL,12182,S,24270
Plantae,ORCHIDALES,ORCHIDACEAE,Angraecum,fastuosum,NULL,NULL,182873,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fastuosa,ssp.,maculata,182869,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Angorchis,fastuosa,NULL,NULL,182872,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Angorchis,hyaloides,NULL,NULL,182892,S,182788
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,pumilio,NULL,NULL,182891,S,182788
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fastuosa,ssp.,francoisii,182867,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fastuosa,ssp.,grandidieri,182868,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fuscata,NULL,NULL,182958,S,161488
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fastuosa,ssp.,rotundifolia,182870,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Aerangis,fastuosa,ssp.,vondrozensis,182871,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Aceras,longibracteatum,NULL,NULL,132839,S,80366
Plantae,ORCHIDALES,ORCHIDACEAE,Acostaea,bicornis,NULL,NULL,163822,S,54884
Plantae,ORCHIDALES,ORCHIDACEAE,Acostaea,unicornis,NULL,NULL,163823,S,54885
Plantae,ORCHIDALES,ORCHIDACEAE,Cattleya,dowiana,var.,aurea,52400,S,9953
Plantae,ORCHIDALES,ORCHIDACEAE,Mastigion,putidum,NULL,NULL,184796,S,184797
Plantae,ORCHIDALES,ORCHIDACEAE,Aceras,pyramidale,NULL,NULL,146189,S,47331
Plantae,ORCHIDALES,ORCHIDACEAE,Orchis,pyramidalis,NULL,NULL,135639,S,47331
Plantae,ORCHIDALES,ORCHIDACEAE,Orchis,longibracteata,NULL,NULL,125326,S,80366
Plantae,ORCHIDALES,ORCHIDACEAE,Calypso,borealis,NULL,NULL,118742,S,607
Plantae,ORCHIDALES,ORCHIDACEAE,Rhaphidorhynchus,fastuosus,NULL,NULL,182923,S,161483
Plantae,ORCHIDALES,ORCHIDACEAE,Rhaphidorhynchus,stylosus,NULL,NULL,182933,S,161488
Plantae,ORCHIDALES,ORCHIDACEAE,Orchis,robertiana,NULL,NULL,138509,S,80366
