Kingdom,OrdName,FamName,GenName,SpcName,SpcAuthor,SpcInfraRank,SpcInfraRank,SpcInfraEpithet,SpcInfraRankAuthor,SpcRecID,SpcStatus
Plantae,Cyatheales,CYATHEACEAE,Alsophila,abbottii,(Maxon 1924) Tryon 1970,NULL,NULL,NULL,NULL,107717,A
Plantae,CARYOPHYLLALES,CACTACEAE,Harrisia,aboriginum,Small ex Britton & Rose,NULL,NULL,NULL,NULL,107100,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,abyssi,Hester,NULL,NULL,NULL,NULL,14722,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,abyssinica,(A. Rich) Decne.,NULL,NULL,NULL,NULL,111231,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,abyssinica,(Ridl.) Garay,var.,var.,abyssinica,NULL,110954,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,abyssinica,Decne.,var.,var.,songeensis,Huber,59726,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,acantha,Sehnem 1978,NULL,NULL,NULL,NULL,173170,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,acanthocarpa,Engelmann & Bigelow,NULL,NULL,NULL,NULL,107339,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,acanthocarpa,Engelmann & Bigelow,ssp.,ssp.,ganderi,Wolf,14759,A
Plantae,Cyatheales,CYATHEACEAE,Alsophila,acanthophora,(Holttum 1962) R.Tryon 1970,NULL,NULL,NULL,NULL,173058,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cleistocactus,acanthurus,(Vaupel) Hunt,NULL,NULL,NULL,NULL,103631,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cleistocactus,acanthurus,(Vaupel) Hunt,ssp.,ssp.,acanthurus,NULL,11409,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cleistocactus,acanthurus,(Vaupel) Hunt,ssp.,ssp.,faustianus,(Backeberg) Ostolaza,11414,A
Plantae,CARYOPHYLLALES,CACTACEAE,Cleistocactus,acanthurus,(Vaupel) Hunt,ssp.,ssp.,pullatus,(Rauh & Backeberg) Ostolaza,11420,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,acaulis,Ekman & Werdermann,NULL,NULL,NULL,NULL,22156,A
Plantae,CARYOPHYLLALES,CACTACEAE,Corryocactus,acervatus,Ritter,NULL,NULL,NULL,NULL,106608,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,achtenii,De Wild.,NULL,NULL,NULL,NULL,111230,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,achtenii,De Wild.,ssp.,ssp.,achtenii,NULL,110955,A
Plantae,GENTIANALES,ASCLEPIADACEAE,Ceropegia,achtenii,De Wild.,ssp.,ssp.,togoensis,H. Huber,48214,A
Plantae,CARYOPHYLLALES,CACTACEAE,Opuntia,aciculata,Griffiths,NULL,NULL,NULL,NULL,14765,A
Plantae,Cyatheales,CYATHEACEAE,Sphaeropteris,aciculosa,(Copel. 1936) R.Tryon 1970,NULL,NULL,NULL,NULL,174508,A
Plantae,CARYOPHYLLALES,CACTACEAE,Eulychnia,acida,Philippi,NULL,NULL,NULL,NULL,106705,A
Plantae,CARYOPHYLLALES,CACTACEAE,Disocactus,ackermannii,(Lindley) Barthlott,NULL,NULL,NULL,NULL,68164,A
