SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,
16,,,,,,,,,,
18,,,,,,,,,,
137,II,18/01/1990 00:00,,,,,,,,
138,II,18/01/1990 00:00,,,,,,,,
139,I,16/02/1995 00:00,,,,,,,,
139,II,18/01/1990 00:00,,,,,,,,
140,II,18/01/1990 00:00,,,,,,,,
142,II,18/01/1990 00:00,,,,,,,,
219,I,01/07/1975 00:00,,"Annual export quotas for live specimens and hunting trophies are granted as follows: BW (5), NA (150), ZW (50). The trade in such specimens is subject to the provisions of Article III of the Convention.",,,,,,
219,I/r,18/03/1991 00:00,146,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
512,I/r,29/07/1983 00:00,14,,,,,,,
512,I/w,06/01/1989 00:00,14,,,,,,,
512,II,01/07/1975 00:00,,,,,,,,
512,I,29/07/1983 00:00,,,,,,,,
547,,,,,,,,,,
548,,,,,,,,,,
549,,,,,,,,,,
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
565,,,,,,,,,,
567,,,,,,,,,,
568,,,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,,,,
699,III,13/04/1987 00:00,95,,,,,,,
699,III/w,26/09/1990 00:00,14,,,,,,,
699,III/r,13/04/1987 00:00,14,,,,,,,
700,,,,,,,,,,
712,I,14/03/1984 00:00,,,,,,,,
712,III,06/12/1983 00:00,44,,,,,,,
713,,,,,,,,,,
714,II,01/07/1975 00:00,,,,,,,,
714,I,16/02/1995 00:00,,,,,,,,
723,,,,,,,,,,
724,,,,,,,,,,
725,,,,,,,,,,
726,,,,,,,,,,
727,,,,,,,,,,
728,,,,,,,,,,
729,,,,,,,,,,
730,,,,,,,,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
736,,,,,,,,,,
737,,,,,,,,,,
738,,,,,,,,,,
739,,,,,,,,,,
740,,,,,,,,,,
741,,,,,,,,,,
742,,,,,,,,,,
743,,,,,,,,,,
745,,,,,,,,,,
746,,,,,,,,,,
747,,,,,,,,,,
748,,,,,,,,,,
749,,,,,,,,,,
750,,,,,,,,,,
751,,,,,,,,,,
752,,,,,,,,,,
754,,,,,,,,,,
755,,,,,,,,,,
756,,,,,,,,,,
757,,,,,,,,,,
758,,,,,,,,,,
759,,,,,,,,,,
760,,,,,,,,,,
761,,,,,,,,,,
762,,,,,,,,,,
763,,,,,,,,,,
764,,,,,,,,,,
765,,,,,,,,,,
766,,,,,,,,,,
809,,,,,,,,,,
810,,,,,,,,,,
813,,,,,,,,,,
815,,,,,,,,,,
816,,,,,,,,,,
817,,,,,,,,,,
818,,,,,,,,,,
850,,,,,,,,,,
851,,,,,,,,,,
852,,,,,,,,,,
853,,,,,,,,,,
854,,,,,,,,,,
855,,,,,,,,,,
856,,,,,,,,,,
857,,,,,,,,,,
858,,,,,,,,,,
859,,,,,,,,,,
860,,,,,,,,,,
861,,,,,,,,,,
865,II,04/02/1977 00:00,,,,,,,,
868,I,01/07/1975 00:00,,,,,,,,
875,,,,,,,,,,
899,,,,,,,,,,
909,II,04/02/1977 00:00,,,,,,,,
910,II,04/02/1977 00:00,,,,,,,,
911,I,01/07/1975 00:00,,Mistakenly omitted from Appendix I in CITES Appendices (valid from 16/02/95),,,,,,
912,II,04/02/1977 00:00,,,,,,,,
913,I,01/07/1975 00:00,,,,,,,,
914,I,01/07/1975 00:00,,,,,,,,
915,II,04/02/1977 00:00,,,,,,,,
916,II,04/02/1977 00:00,,,,,,,,
917,,,,,,,,,,
918,,,,,,,,,,
919,,,,,,,,,,
920,,,,,,,,,,
921,,,,,,,,,,
922,,,,,,,,,,
923,,,,,,,,,,
924,,,,,,,,,,
925,,,,,,,,,,
926,,,,,,,,,,
927,,,,,,,,,,
948,,,,,,,,,,
949,,,,,,,,,,
950,,,,,,,,,,
951,,,,,,,,,,
952,,,,,,,,,,
953,,,,,,,,,,
954,,,,,,,,,,
955,,,,,,,,,,
956,,,,,,,,,,
958,,,,,,,,,,
959,,,,,,,,,,
1077,II,04/02/1977 00:00,,,,,,,,
1085,,,,,,,,,,
1087,,,,,,,,,,
1089,,,,,,,,,,
1090,,,,,,,,,,
1137,,,,,,,,,,
1140,,,,,,,,,,
1149,,,,,,,,,,
1150,,,,,,,,,,
1151,III/r,24/10/1977 00:00,57,,,,,,,
1151,III/w,29/07/1983 00:00,57,,,,,,,
1151,II,29/07/1983 00:00,,,,,,,,
1151,III,22/04/1976 00:00,213,,,,,,,
1151,II/r,29/07/1983 00:00,14,,,,,,,
1151,II/w,06/01/1989 00:00,14,,,,,,,
1152,,,,,,,,,,
1154,,,,,,,,,,
1255,II,04/02/1977 00:00,,,,,,,,
1264,,,,,,,,,,
1265,,,,,,,,,,
1266,,,,,,,,,,
1271,,,,,,,,,,
1307,,,,,,,,,,
1549,III/r,24/10/1977 00:00,57,,,,,,,
1549,III/w,01/01/1984 00:00,57,,,,,,,
1549,Deleted,04/03/2007 00:00,82,,,,,,,
1549,III,26/02/1976 00:00,82,Originally listed under Anomalurus spp.,,,,,,
1550,III,26/02/1976 00:00,82,Originally listed under Anomalurus spp.,,,,,,
1550,Deleted,04/03/2007 00:00,82,,,,,,,
1550,III/r,24/10/1977 00:00,57,,,,,,,
1550,III/w,01/01/1984 00:00,57,,,,,,,
1551,III/r,24/10/1977 00:00,57,,,,,,,
1551,III/w,01/01/1984 00:00,57,,,,,,,
1551,Deleted,04/03/2007 00:00,82,,,,,,,
1551,III,26/02/1976 00:00,82,Originally listed under Anomalurus spp.,,,,,,
1553,,,,,,,,,,
1559,,,,,,,,,,
1564,,,,,,,,,,
1565,,,,,,,,,,
1566,,,,,,,,,,
1567,,,,,,,,,,
1568,,,,,,,,,,
1569,,,,,,,,,,
1583,,,,,,,,,,
1584,,,,,,,,,,
1585,,,,,,,,,,
1587,,,,,,,,,,
1591,,,,,,,,,,
1592,,,,,,,,,,
1593,,,,,,,,,,
1594,,,,,,,,,,
1595,,,,,,,,,,
1596,,,,,,,,,,
1620,,,,,,,,,,
1676,,,,,,,,,,
1677,I,11/06/1992 00:00,,Popn of MX (note that the US popn is now excluded from CITES controls),,,,,,
1678,II,01/07/1975 00:00,,All popns,,,,,,
1678,I,11/06/1992 00:00,,Popn of MX; included with A. americana; no other population is included in the Appendices,,,,,,
1679,I,11/06/1992 00:00,,Popn of MX; included with A. americana; no other population is included in the Appendices,,,,,,
1679,I,01/07/1975 00:00,,All popns,,,,,,
1680,I,01/07/1975 00:00,,,,,,,,
