ComName,LanDesc,SpcRecID
Ruschi's Rat,English,16
Abravaya's Spiny Rat,English,16
Bolivian Chinchilla-rat,English,18
Sulawesi Flying-fox,English,137
Sulawesi Fruit Bat,English,137
Zorro volador de las Célebes,Spanish,137
Renard volant de Suwalesi,French,137
Signal-winged Acerodon,English,137
Talaud Acerodon,English,138
Zorro volador de Talaud,Spanish,138
Roussette de Talaud,French,138
Talaud Flying-fox,English,138
Talaud Fruit Bat,English,138
Golden-capped Fruit Bat,English,139
Roussette à couronne dorée,French,139
Zorro volador filipino,Spanish,139
Zorro volador de Calamian,Spanish,140
Roussette de Palawan,French,140
Palawan Fruit Bat,English,140
Palawan Flying-fox,English,140
Sunda Fruit Bat,English,142
Sunda Flying-fox,English,142
Petite roussette de Sunda,French,142
Zorro volador de Macklot,Spanish,142
Lesser Sunda Flying-fox,English,142
Chita,Spanish,219
Guepardo,Spanish,219
Guépard,French,219
Hunting Leopard,English,219
Cheetah,English,219
Asiatic Cheetah,English,220
Northwest African Cheetah,English,221
Northeast African Spiny Mouse,English,263
Cairo Spiny Mouse,English,263
Asia Minor Spiny Mouse,English,264
Grey Spiny Mouse,English,265
Sahel Spiny Mouse,English,265
East African Spiny Mouse,English,266
Fiery Spiny Mouse,English,266
Kemp's Spiny Mouse,English,267
Somali Spiny Mouse,English,268
Louise's Spiny Mouse,English,268
Ratón espinoso de Creta,Spanish,269
Rat épineux de Crête,French,269
Crete Spiny Mouse,English,269
Mullah Spiny Mouse,English,270
Cyprus Spiny Mouse,English,271
Percival's Spiny Mouse,English,272
Grey Spiny Mouse,English,272
Golden Spiny Mouse,English,273
Red Spiny Mouse,English,274
Spiny Mouse,English,274
Cape Spiny Mouse,English,275
Pygmy Spiny Mouse,English,276
Wilson's Spiny Mouse,English,276
Chilean Rock Rat,English,278
Sage's Rock Rat,English,279
Addax,English,512
Addax,French,512
Addax à nez tacheté,French,512
Antilope blanche,French,512
Addax,Spanish,512
Dusky Montane Mouse,English,547
Olive Montane Mouse,English,548
Black-faced Impala,English,549
North Chinese Flying Squirrel,English,555
Black Flying Squirrel,English,556
Thomas's Flying Squirrel,English,557
Grey Fruit Bat,English,565
Pygmy Fruit Bat,English,565
Selinda Veld Rat,English,567
Silinda Rock Rat,English,567
Bocage's Rock Rat,English,568
Red Rock Rat,English,569
Red Veld Rat,English,569
