SpcRecID,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,
16,NULL,NULL,NULL,NULL,,,,,,
18,NULL,NULL,NULL,NULL,,,,,,
137,II,18/01/1990 00:00,NULL,NULL,,,,,,
138,II,18/01/1990 00:00,NULL,NULL,,,,,,
139,I,16/02/1995 00:00,NULL,NULL,,,,,,
139,II,18/01/1990 00:00,NULL,NULL,,,,,,
140,II,18/01/1990 00:00,NULL,NULL,,,,,,
142,II,18/01/1990 00:00,NULL,NULL,,,,,,
219,I,01/07/1975 00:00,NULL,"Annual export quotas for live specimens and hunting trophies are granted as follows: BW (5), NA (150), ZW (50). The trade in such specimens is subject to the provisions of Article III of the Convention.",,,,,,
219,I/r,18/03/1991 00:00,146,NULL,,,,,,
220,NULL,NULL,NULL,NULL,,,,,,
221,NULL,NULL,NULL,NULL,,,,,,
263,NULL,NULL,NULL,NULL,,,,,,
264,NULL,NULL,NULL,NULL,,,,,,
265,NULL,NULL,NULL,NULL,,,,,,
266,NULL,NULL,NULL,NULL,,,,,,
267,NULL,NULL,NULL,NULL,,,,,,
268,NULL,NULL,NULL,NULL,,,,,,
269,NULL,NULL,NULL,NULL,,,,,,
270,NULL,NULL,NULL,NULL,,,,,,
271,NULL,NULL,NULL,NULL,,,,,,
272,NULL,NULL,NULL,NULL,,,,,,
273,NULL,NULL,NULL,NULL,,,,,,
274,NULL,NULL,NULL,NULL,,,,,,
275,NULL,NULL,NULL,NULL,,,,,,
276,NULL,NULL,NULL,NULL,,,,,,
278,NULL,NULL,NULL,NULL,,,,,,
279,NULL,NULL,NULL,NULL,,,,,,
512,I/r,29/07/1983 00:00,14,NULL,,,,,,
512,I/w,06/01/1989 00:00,14,NULL,,,,,,
512,II,01/07/1975 00:00,NULL,NULL,,,,,,
512,I,29/07/1983 00:00,NULL,NULL,,,,,,
547,NULL,NULL,NULL,NULL,,,,,,
548,NULL,NULL,NULL,NULL,,,,,,
549,NULL,NULL,NULL,NULL,,,,,,
555,NULL,NULL,NULL,NULL,,,,,,
556,NULL,NULL,NULL,NULL,,,,,,
557,NULL,NULL,NULL,NULL,,,,,,
565,NULL,NULL,NULL,NULL,,,,,,
567,NULL,NULL,NULL,NULL,,,,,,
568,NULL,NULL,NULL,NULL,,,,,,
569,NULL,NULL,NULL,NULL,,,,,,
570,NULL,NULL,NULL,NULL,,,,,,
571,NULL,NULL,NULL,NULL,,,,,,
572,NULL,NULL,NULL,NULL,,,,,,
573,NULL,NULL,NULL,NULL,,,,,,
574,NULL,NULL,NULL,NULL,,,,,,
575,NULL,NULL,NULL,NULL,,,,,,
576,NULL,NULL,NULL,NULL,,,,,,
699,III,13/04/1987 00:00,95,NULL,,,,,,
699,III/w,26/09/1990 00:00,14,NULL,,,,,,
699,III/r,13/04/1987 00:00,14,NULL,,,,,,
700,NULL,NULL,NULL,NULL,,,,,,
712,I,14/03/1984 00:00,NULL,NULL,,,,,,
712,III,06/12/1983 00:00,44,NULL,,,,,,
713,NULL,NULL,NULL,NULL,,,,,,
714,II,01/07/1975 00:00,NULL,NULL,,,,,,
714,I,16/02/1995 00:00,NULL,NULL,,,,,,
723,NULL,NULL,NULL,NULL,,,,,,
724,NULL,NULL,NULL,NULL,,,,,,
725,NULL,NULL,NULL,NULL,,,,,,
726,NULL,NULL,NULL,NULL,,,,,,
727,NULL,NULL,NULL,NULL,,,,,,
728,NULL,NULL,NULL,NULL,,,,,,
729,NULL,NULL,NULL,NULL,,,,,,
730,NULL,NULL,NULL,NULL,,,,,,
731,NULL,NULL,NULL,NULL,,,,,,
732,NULL,NULL,NULL,NULL,,,,,,
733,NULL,NULL,NULL,NULL,,,,,,
734,NULL,NULL,NULL,NULL,,,,,,
735,NULL,NULL,NULL,NULL,,,,,,
736,NULL,NULL,NULL,NULL,,,,,,
737,NULL,NULL,NULL,NULL,,,,,,
738,NULL,NULL,NULL,NULL,,,,,,
739,NULL,NULL,NULL,NULL,,,,,,
740,NULL,NULL,NULL,NULL,,,,,,
741,NULL,NULL,NULL,NULL,,,,,,
742,NULL,NULL,NULL,NULL,,,,,,
743,NULL,NULL,NULL,NULL,,,,,,
745,NULL,NULL,NULL,NULL,,,,,,
746,NULL,NULL,NULL,NULL,,,,,,
747,NULL,NULL,NULL,NULL,,,,,,
748,NULL,NULL,NULL,NULL,,,,,,
749,NULL,NULL,NULL,NULL,,,,,,
750,NULL,NULL,NULL,NULL,,,,,,
751,NULL,NULL,NULL,NULL,,,,,,
752,NULL,NULL,NULL,NULL,,,,,,
