Kingdom,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID,,
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Phasis,wallengrenii,NULL,NULL,73788,S,714
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phaulomys,smithii,NULL,NULL,44071,S,16900
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phaulomys,andersoni,NULL,NULL,101300,S,16899
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Philetor,rohui,NULL,NULL,78020,S,16981
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,sibirica,NULL,NULL,101187,S,17019
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,hispida,ssp.,ochotensis,101715,S,101709
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,hispida,ssp.,ladogensis,105131,S,17017
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,hispida,ssp.,saimensis,28591,S,17012
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,fasciata,NULL,NULL,43929,S,17025
Animalia,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,caspica,NULL,NULL,101186,S,17015
Animalia,CHORDATA,MAMMALIA,CETACEA,PHOCOENIDAE,Phocoena,vomerina,NULL,NULL,45972,S,17027
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Phyllops,haitiensis,NULL,NULL,43832,S,17176
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phyllotis,bonaeriensis,NULL,NULL,103281,S,17222
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phyllotis,garleppi,NULL,NULL,44055,S,8827
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phyllotis,micropus,NULL,NULL,44056,S,2396
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Phyllotis,gerbillus,NULL,NULL,101379,S,17226
Animalia,CHORDATA,MAMMALIA,CETACEA,PHYSETERIDAE,Physeter,catodon,NULL,NULL,28509,S,17244
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,rueppelli,NULL,NULL,103248,S,17361
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,lophurus,NULL,NULL,101158,S,17347
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,macrotis,NULL,NULL,101159,S,17349
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,vordermanni,NULL,NULL,101160,S,43596
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,imbricatus,NULL,NULL,101155,S,17342
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,joffrei,NULL,NULL,101156,S,17345
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,kitcheneri,NULL,NULL,101157,S,17346
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,arabicus,NULL,NULL,101152,S,17328
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,bodenheimeri,NULL,NULL,101153,S,17330
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,cadornae,NULL,NULL,101154,S,17331
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,petersi,NULL,NULL,101147,S,17359
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,anchietae,NULL,NULL,101150,S,17325
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,anthonyi,NULL,NULL,101151,S,17327
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,musciculus,NULL,NULL,94783,S,17352
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,affinis,NULL,NULL,101145,S,17324
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,mordax,NULL,NULL,101146,S,17351
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,io,NULL,NULL,77091,S,10755
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,nanus,NULL,NULL,94218,S,17354
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,ariel,NULL,NULL,94781,S,17329
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,tasmaniensis,NULL,NULL,73574,S,17367
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,pulveratus,NULL,NULL,74066,S,17360
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,cuprosus,NULL,NULL,74649,S,17337
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,eisentrauti,NULL,NULL,73055,S,17339
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,crassulus,NULL,NULL,73056,S,17336
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,mackenziei,NULL,NULL,73573,S,17348
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,zuluensis,NULL,NULL,45964,S,43856
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,africanus,NULL,NULL,45966,S,17354
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,camortae,NULL,NULL,69777,S,17344
