Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcInfraRank,SpcInfraEpithet,SpcRecID,SpcStatus
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,stannarius,NULL,NULL,575,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,thomasi,NULL,NULL,576,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Boromys,offella,NULL,NULL,2885,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Boromys,torrei,NULL,NULL,2886,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,sauveli,NULL,NULL,2890,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,taurus,NULL,NULL,30203,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,gaurus,NULL,NULL,2887,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,mutus,NULL,NULL,2889,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Boselaphus,tragocamelus,NULL,NULL,2893,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Brachiones,przewalskii,NULL,NULL,2957,A
Animalia,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Brachylagus,idahoensis,NULL,NULL,2963,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Brachyphylla,nana,NULL,NULL,2983,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arborimus,albipes,NULL,NULL,2017,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arborimus,pomo,NULL,NULL,2018,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arborimus,longicaudus,NULL,NULL,2019,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Archboldomys,luzonensis,NULL,NULL,2045,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Archboldomys,musseri,NULL,NULL,29459,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Arctictis,binturong,NULL,NULL,2051,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Arctictis,binturong,ssp.,whitei,2052,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,LORISIDAE,Arctocebus,aureus,NULL,NULL,2053,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,LORISIDAE,Arctocebus,calabarensis,NULL,NULL,2054,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,australis,ssp.,gracilis,2065,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,pusillus,ssp.,pusillus,2066,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,pusillus,ssp.,doriferus,2067,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,townsendi,NULL,NULL,2061,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,tropicalis,NULL,NULL,2062,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,australis,ssp.,australis,2064,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,gazella,NULL,NULL,2058,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,philippii,NULL,NULL,2059,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,pusillus,NULL,NULL,2060,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,australis,NULL,NULL,2055,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,forsteri,NULL,NULL,2056,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,galapagoensis,NULL,NULL,2057,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Arctogalidia,trivirgata,ssp.,trilineata,2072,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Arctogalidia,trivirgata,NULL,NULL,30168,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ariteus,flavescens,NULL,NULL,2110,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,phaeotis,NULL,NULL,2138,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,toltecus,NULL,NULL,2140,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,watsoni,NULL,NULL,2141,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,jamaicensis,NULL,NULL,2135,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,lituratus,NULL,NULL,2136,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,obscurus,NULL,NULL,2137,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,hirsutus,NULL,NULL,2131,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,inopinatus,NULL,NULL,2132,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,incomitatus,NULL,NULL,2133,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,fraterculus,NULL,NULL,2127,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,glaucus,NULL,NULL,2128,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,gnomus,NULL,NULL,2129,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,cinereus,NULL,NULL,2124,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,concolor,NULL,NULL,2125,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,fimbriatus,NULL,NULL,2126,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,amplus,NULL,NULL,2121,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,anderseni,NULL,NULL,2122,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,aztecus,NULL,NULL,2123,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,ansorgei,NULL,NULL,101424,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,rufinus,NULL,NULL,101425,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,niloticus,NULL,NULL,2147,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,somalicus,NULL,NULL,2148,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,neumanni,NULL,NULL,44284,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,abyssinicus,NULL,NULL,2144,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,blicki,NULL,NULL,2145,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Arvicanthis,nairobae,NULL,NULL,2146,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arvicola,sapidus,NULL,NULL,2150,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Arvicola,scherman,NULL,NULL,101290,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Asellia,patrizii,NULL,NULL,2153,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Asellia,tridens,NULL,NULL,2154,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,stoliczkanus,NULL,NULL,2155,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,tricuspidatus,NULL,NULL,2156,A
Animalia,CHORDATA,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE,Atelerix,algirus,ssp.,vagans,104295,A
Animalia,CHORDATA,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE,Atelerix,frontalis,NULL,NULL,2274,A
Animalia,CHORDATA,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE,Atelerix,sclateri,NULL,NULL,2275,A
Animalia,CHORDATA,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE,Atelerix,albiventris,NULL,NULL,29972,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,vellerosus,101735,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,belzebuth,ssp.,belzebuth,2293,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,hybridus,ssp.,brunneus,2294,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,geoffroyi,101734,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,yucatanensis,2290,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,fusciceps,ssp.,fusciceps,2291,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,fusciceps,ssp.,robustus,2292,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,azuerensis,2286,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,grisescens,2287,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,ornatus,2289,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,marginatus,NULL,NULL,2282,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,paniscus,NULL,NULL,2283,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,hybridus,NULL,NULL,2284,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,NULL,NULL,2279,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,frontatus,2280,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,geoffroyi,ssp.,panamensis,2281,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,belzebuth,NULL,NULL,2276,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,chamek,NULL,NULL,2277,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,fusciceps,NULL,NULL,2278,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,HYSTRICIDAE,Atherurus,macrourus,ssp.,assamensis,41865,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,HYSTRICIDAE,Atherurus,africanus,NULL,NULL,2353,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,HYSTRICIDAE,Atherurus,macrourus,NULL,NULL,2354,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Atlantoxerus,getulus,NULL,NULL,2358,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Nesomys,rufus,NULL,NULL,14671,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Nesomys,audeberti,NULL,NULL,30340,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Nesomys,lambertoni,NULL,NULL,30341,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,major,NULL,NULL,29965,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,submicrus,NULL,NULL,29966,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,superstes,NULL,NULL,101015,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,zamicrus,NULL,NULL,14676,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,edithae,NULL,NULL,29963,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,longirostris,NULL,NULL,29964,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,hypomicrus,NULL,NULL,14672,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,micrus,NULL,NULL,14673,A
Animalia,CHORDATA,MAMMALIA,SORICOMORPHA,NESOPHONTIDAE,Nesophontes,paramicrus,NULL,NULL,14674,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,swarthi,NULL,NULL,14709,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,darwini,NULL,NULL,14706,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,fernandinae,NULL,NULL,14707,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Nesoryzomys,indefessus,NULL,NULL,14708,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,peruviensis,NULL,NULL,14743,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,venezuelae,NULL,NULL,14744,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,ferreirai,NULL,NULL,100174,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,monticolus,NULL,NULL,14740,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,mussoi,NULL,NULL,14741,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neusticomys,oyapocki,NULL,NULL,14742,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,cameroni,NULL,NULL,101446,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,fraternus,NULL,NULL,101447,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,niviventer,NULL,NULL,14824,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,rapit,NULL,NULL,14825,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,tenaster,NULL,NULL,14826,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,hinpoon,NULL,NULL,14821,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,langbianis,NULL,NULL,14822,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,lepturus,NULL,NULL,14823,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,eha,NULL,NULL,14818,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,excelsior,NULL,NULL,14819,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,fulvescens,NULL,NULL,14820,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,coninga,NULL,NULL,14815,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,cremoriventer,NULL,NULL,14816,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,culturatus,NULL,NULL,14817,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,andersoni,NULL,NULL,14812,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,brahma,NULL,NULL,14813,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Niviventer,confucianus,NULL,NULL,14814,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NOCTILIONIDAE,Noctilio,albiventris,NULL,NULL,14829,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NOCTILIONIDAE,Noctilio,leporinus,NULL,NULL,14830,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Notiomys,edwardsii,NULL,NULL,14854,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,alexis,NULL,NULL,14867,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,cervinus,NULL,NULL,14868,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,mitchellii,NULL,NULL,14869,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,longicaudatus,NULL,NULL,14864,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,macrotis,NULL,NULL,14865,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,mordax,NULL,NULL,14866,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,amplus,NULL,NULL,14861,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,aquilo,NULL,NULL,14862,A
Animalia,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Notomys,fuscus,NULL,NULL,14863,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Notopteris,macdonaldi,NULL,NULL,14876,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Notopteris,neocaledonica,NULL,NULL,43540,A
Animalia,CHORDATA,MAMMALIA,NOTORYCTEMORPHA,NOTORYCTIDAE,Notoryctes,caurinus,NULL,NULL,14878,A
Animalia,CHORDATA,MAMMALIA,NOTORYCTEMORPHA,NOTORYCTIDAE,Notoryctes,typhlops,NULL,NULL,14879,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctalus,aviator,NULL,NULL,14921,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctalus,montanus,NULL,NULL,14923,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nyctalus,furvus,NULL,NULL,101170,A
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Nyctereutes,procyonoides,NULL,NULL,14925,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,woodi,NULL,NULL,14939,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,madagascariensis,NULL,NULL,30331,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,parisii,NULL,NULL,43800,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,nana,NULL,NULL,14935,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,tragata,NULL,NULL,14937,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,vinsoni,NULL,NULL,14938,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,javanica,NULL,NULL,14932,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,macrotis,NULL,NULL,14933,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,major,NULL,NULL,14934,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,grandis,NULL,NULL,14929,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,hispida,NULL,NULL,14930,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,intermedia,NULL,NULL,14931,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,arge,NULL,NULL,14926,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,aurita,NULL,NULL,14927,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,NYCTERIDAE,Nycteris,gambiensis,NULL,NULL,14928,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,LORISIDAE,Nycticebus,coucang,NULL,NULL,14940,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,LORISIDAE,Nycticebus,pygmaeus,NULL,NULL,14941,A
Animalia,CHORDATA,MAMMALIA,PRIMATES,LORISIDAE,Nycticebus,bengalensis,NULL,NULL,41839,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nycticeius,humeralis,NULL,NULL,14944,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nycticeius,cubanus,NULL,NULL,70666,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Nycticeius,aenobarbus,NULL,NULL,101172,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,vizcaccia,NULL,NULL,14967,A
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Nyctimene,keasti,NULL,NULL,77843,A
