ComName,LanDesc,SpcRecId
Hunting Leopard,English,219
Cheetah,English,219
Chita,Spanish,219
Guepardo,Spanish,219
Guépard,French,219
Addax,English,512
Addax,Spanish,512
Addax,French,512
Addax à nez tacheté,French,512
Antilope blanche,French,512
Red Cat-bear,English,714
Lesser Panda,English,714
Red Panda,English,714
Panda chico,Spanish,714
Panda rojo,Spanish,714
Petit panda,French,714
Panda éclatant,French,714
Pequeño panda,Spanish,714
Arruí,Spanish,1151
Mouflon à manchettes,French,1151
Uaddan,English,1151
Barbary Sheep,English,1151
Aoudad,English,1151
Aoudad,French,1151
Mouflon à manchettes,French,1151
Muflón del Atlas,Spanish,1151
Antilocapre de Californie,French,1677
Mexican Pronghorn,English,1677
Berrendo,Spanish,1677
Pronghorn,English,1677
Antilope américaine,French,1677
Antilocapre,French,1677
Pronghorn,French,1677
Antilocapre du Nouveau Mexique,French,1678
Baja California Pronghorn,English,1679
Antilocapre de la Basse-Californie,French,1679
Peninsular Pronghorn,English,1679
Sonoran Pronghorn,English,1680
Antilocapre de Sonora,French,1680
Cervicapre,French,1681
Sasin,English,1681
Blackbuck,English,1681
Cervicapra,Spanish,1681
Antilope cervicapre,French,1681
Antílope negro indio,Spanish,1681
Thai Hog Deer,English,2445
Indochinese Hog Deer,English,2445
Ciervo porquerizo de Indochina,Spanish,2445
Cerf-cochon d'Indochine,French,2445
Cerdo tailandés,Spanish,2445
Ganges Hog Deer,English,2445
Cerf-cochon de Thaïlande,French,2445
Calamian Deer,English,2446
Calamian Hog Deer,English,2446
Ciervo porquerizo de los Calamianes,Spanish,2446
Ciervo de los Calamianes,Spanish,2446
Cerf-cochon calamien,French,2446
Bawean Deer,English,2447
Kuhl's Hog Deer,English,2447
Ciervo porquerizo de Kuhl,Spanish,2447
Ciervo de Kuhl,Spanish,2447
Cerf-cochon de Bawean,French,2447
Ciervo de Marjal,Spanish,2447
Cerf-cochon de Kuhl,French,2447
Cerdo de Kuhl,Spanish,2447
Babiroussa,English,2461
Babirusa,English,2461
Deer Hog,English,2461
Babirusa,Spanish,2461
Babiroussa,French,2461
Wood Bison,English,2813
Bisonte americano de bosque,Spanish,2813
Bison des forêts,French,2813
Bisonte selvático de Athabascal,Spanish,2813
American Bison,English,2815
Buffalo,English,2815
Marsh Deer,English,2828
Ciervo de los pantanos,Spanish,2828
Ciervo marismeño,Spanish,2828
Cerf des marais,French,2828
Indian Wild Ox,English,2887
Gaur,English,2887
Saladang,English,2887
Indian Bison,English,2887
Gaur,Spanish,2887
Gaur,French,2887
Gauru,Spanish,2887
Wild Yak,English,2889
Yak salvaje,Spanish,2889
Yack sauvage,French,2889
Yak,Spanish,2889
Kouprey,English,2890
Toro cuprey,Spanish,2890
Kouprey,Spanish,2890
Kouprey,French,2890
Wild Water Buffalo,English,3125
Wild Asiatic Buffalo,English,3125
Búfalo arni,Spanish,3125
Buffle de l'Inde,French,3125
Buffle d'eau,French,3125
Caraboa,Spanish,3125
Búfalo acuático,Spanish,3125
Buffle d'Asie ,French,3125
Arni,French,3125
Anoa,English,3126
Lowland Anoa,English,3126
Anoa de llanura,Spanish,3126
Anoa des plaines,French,3126
Anca de llanura,Spanish,3126
Tamarou,English,3127
Tamaraw,English,3127
Búfalo de Mindoro,Spanish,3127
Tamarau,Spanish,3127
Tamarau,French,3127
Tamarao,Spanish,3127
Mountain Anoa,English,3128
Anoa de montaña,Spanish,3128
Anoa des montagnes,French,3128
Anoa de Quarle,French,3128
Takin,English,3160
Takin,French,3160
Takin,Spanish,3160
Wild Bactrian Camel,English,3707
Camello Bactriano,Spanish,3707
Chameau de Bactriane,French,3707
Chameau domestique,French,3707
Golden Jackal,English,3744
Chacal commun,French,3744
Chacal doré,French,3744
Common Jackal,English,3744
Chacal,Spanish,3744
Chacal doré,French,3744
Timber Wolf,English,3746
Grey Wolf,English,3746
Wolf,English,3746
Common Wolf,English,3746
Lobo común,Spanish,3746
Loup,French,3746
Loup gris,French,3746
Loup vulgaire,French,3746
Lobo,Spanish,3746
Loup,French,3746
Northern Rocky Mountain Wolf,English,3750
Texas Grey Wolf,English,3751
Indian Grey Wolf,English,3752
Loup des Indes,French,3752
Markhor,English,3787
Markhor,Spanish,3787
Markhor,French,3787
Markhor de Suleiman,French,3792
Straight-horned Markhor,English,3793
Markhor de Kaboul,French,3793
Asian Caracal,English,3847
African Caracal,English,3847
Lince africano,Spanish,3847
Caracal,Spanish,3847
Caracal,French,3847
Caracal,English,3847
Desert Lynx,English,3847
Lynx du désert,French,3847
Lince caracal,Spanish,3847
Tagua,English,4015
Chacoan Peccary,English,4015
Chaco argentino,Spanish,4015
Quimilero,Spanish,4015
Pécari du Chaco,French,4015
Bornean Marbled Cat,English,4037
Bay Cat,English,4037
Chat bai,French,4037
Temminck's Cat,English,4038
Asian Golden Cat,English,4038
Gato dorado asiático,Spanish,4038
Chat doré d'Asie,French,4038
Golden Cat,English,4038
Chat de Temminck,French,4038
Bay Duiker,English,4139
Duiquero bayo,Spanish,4139
Céphalophe bai,French,4139
Céphalophe à bande dorsale noire,French,4139
Jentink's Duiker,English,4140
Duiquero de Jentink,Spanish,4140
Céphalophe de Jentink,French,4140
Blue Duiker,English,4143
Duiquero azul,Spanish,4143
Céphalophe bleu,French,4143
Cefalofo azul,Spanish,4143
Ogilby's Duiker,English,4148
Duiquero de Ogilby,Spanish,4148
Céphalophe d'Ogilby,French,4148
Yellow-backed Duiker,English,4150
Duiquero de lomo amarillo,Spanish,4150
Céphalophe à dos jaune,French,4150
Céphalophe géant,French,4150
Cefalofo silvicultor,Spanish,4150
Céphalophe rayé,French,4153
Zebra Duiker,English,4153
Banded Duiker,English,4153
Zebra Antelope,English,4153
Duiquero cebrado,Spanish,4153
Céphalophe zèbré,French,4153
Renard crabier,French,4248
Common Zorro,English,4248
Forest Fox,English,4248
Zorro cangrejero,Spanish,4248
Crab-eating Zorro,English,4248
Zorro de monte,Spanish,4248
Barasingha,English,4257
Swamp Deer,English,4257
Ciervo de Duvaucel,Spanish,4257
Barasinga,Spanish,4257
Barasingha,French,4257
Barasinga,French,4257
Cerf de Duvaucel,French,4257
Bukhara Deer,English,4258
Bactrian Wapiti,English,4258
Bactrian Deer,English,4258
Bokharan Deer,English,4258
Bactrian Red Deer,English,4258
Ciervo bactriano,Spanish,4258
Cerf du Turkestan,French,4258
Cerf de Bactriane,French,4258
Cerf rouge du Turkestan,French,4258
Cerf élaphe du Turkestan,French,4258
Ciervo del Turquestán,Spanish,4258
Barbary Red Deer,English,4259
