Spcrecid,CtyRecID,CtyShort
219,271,Sudan
219,118,Lebanon
23062,169,Poland
23062,159,Norway
23062,161,Pakistan
23062,1,Afghanistan
23062,13,Australia
28567,43,Chile
29583,1,Afghanistan
29583,101,Iran (Islamic Republic of)
29583,109,Kazakhstan
29583,174,Russian Federation
29583,206,Tajikistan
29583,215,Turkmenistan
29583,225,Uzbekistan
29583,160,Oman
29583,161,Pakistan
29583,99,India
29740,268,Montenegro
29740,10,Argentina
29740,43,Chile
29740,13,Australia
29740,152,New Zealand
29740,25,Bhutan
29740,109,Kazakhstan
29740,206,Tajikistan
29740,225,Uzbekistan
29740,161,Pakistan
29740,196,Spain
29740,170,Portugal
29740,203,Switzerland
29740,14,Austria
29740,21,Belgium
29740,149,Netherlands
29740,124,Luxembourg
29740,80,Georgia
29740,55,Czech Republic
29740,190,Slovakia
29740,191,Slovenia
29740,52,Croatia
29740,27,Bosnia and Herzegovina
29740,239,The former Yugoslav Republic of Macedonia
29740,97,Hungary
29740,57,Denmark
29740,169,Poland
29740,33,Bulgaria
29740,173,Romania
29740,159,Norway
29740,202,Sweden
29740,11,Armenia
29740,15,Azerbaijan
29740,67,Estonia
29740,117,Latvia
29740,123,Lithuania
29740,20,Belarus
29740,102,Iraq
29740,139,Republic of Moldova
29740,104,Israel
29740,108,Jordan
29740,118,Lebanon
29740,204,Syrian Arab Republic
29740,115,Kyrgyzstan
29740,137,Mexico
29740,103,Ireland
29740,2,Albania
29740,84,Greece
29740,112,Democratic People's Republic of Korea
29740,267,Serbia
29740,213,Tunisia
29740,3,Algeria
29740,143,Morocco
29740,219,Ukraine
29740,221,United Kingdom of Great Britain and Northern Ireland
29740,214,Turkey
29740,101,Iran (Islamic Republic of)
29740,1,Afghanistan
29740,99,India
29740,215,Turkmenistan
29740,174,Russian Federation
29740,141,Mongolia
29740,44,China
29740,73,France
29740,81,Germany
29740,105,Italy
29740,38,Canada
29740,222,United States of America
29741,267,Serbia
29741,170,Portugal
29741,203,Switzerland
29741,214,Turkey
29741,123,Lithuania
29741,219,Ukraine
29741,202,Sweden
29741,194,South Africa
29741,13,Australia
29741,152,New Zealand
29741,222,United States of America
29741,10,Argentina
29741,43,Chile
29741,166,Peru
29741,224,Uruguay
29741,71,Fiji
29741,38,Canada
29741,221,United Kingdom of Great Britain and Northern Ireland
29741,103,Ireland
29741,73,France
29741,196,Spain
29741,81,Germany
29741,105,Italy
29741,14,Austria
29741,57,Denmark
29741,169,Poland
29741,72,Finland
29741,190,Slovakia
29741,97,Hungary
29741,33,Bulgaria
29741,173,Romania
29741,101,Iran (Islamic Republic of)
29741,102,Iraq
29741,104,Israel
29741,108,Jordan
29741,118,Lebanon
29741,239,The former Yugoslav Republic of Macedonia
29741,21,Belgium
29741,149,Netherlands
29741,159,Norway
29741,55,Czech Republic
29741,191,Slovenia
29741,52,Croatia
29741,27,Bosnia and Herzegovina
29741,84,Greece
29741,124,Luxembourg
30195,25,Bhutan
30195,36,Cambodia
30195,161,Pakistan
30195,99,India
30195,148,Nepal
30195,44,China
30195,229,Viet Nam
30195,197,Sri Lanka
30195,13,Australia
30195,145,Myanmar
30195,116,Lao People's Democratic Republic
30195,208,Thailand
30195,222,United States of America
30195,18,Bangladesh
30202,95,Honduras
30202,38,Canada
30202,222,United States of America
30202,26,Bolivia
30202,30,Brazil
30202,55,Czech Republic
30202,72,Finland
30202,152,New Zealand
30202,53,Cuba
30202,150,Netherlands Antilles
30202,231,United States Virgin Islands
30202,166,Peru
30202,89,Guatemala
30202,137,Mexico
30202,163,Panama
30202,228,Venezuela (Bolivarian Republic of)
30202,212,Trinidad and Tobago
30202,47,Colombia
30202,199,Suriname
30202,92,Guyana
30202,153,Nicaragua
30202,64,El Salvador
30202,22,Belize
30202,51,Costa Rica
30202,75,French Guiana
30202,52,Croatia
30202,33,Bulgaria
30202,174,Russian Federation
30202,267,Serbia
30208,119,Lesotho
30208,194,South Africa
30208,201,Swaziland
30208,28,Botswana
30208,146,Namibia
30208,238,Zimbabwe
32149,222,United States of America
32149,137,Mexico
41607,206,Tajikistan
41607,215,Turkmenistan
41607,225,Uzbekistan
41608,101,Iran (Islamic Republic of)
41608,109,Kazakhstan
41608,215,Turkmenistan
41608,225,Uzbekistan
41609,101,Iran (Islamic Republic of)
41609,1,Afghanistan
41609,161,Pakistan
41609,215,Turkmenistan
41610,161,Pakistan
41611,225,Uzbekistan
45475,188,Sierra Leone
45475,120,Liberia
45475,82,Ghana
45475,56,Côte d'Ivoire
74591,44,China
78891,222,United States of America
87090,99,India
87090,161,Pakistan
87090,1,Afghanistan
87099,148,Nepal
87099,145,Myanmar
87099,99,India
87099,25,Bhutan
87099,18,Bangladesh
101175,30,Brazil
101175,224,Uruguay
101175,165,Paraguay
101179,47,Colombia
101179,10,Argentina
101179,26,Bolivia
101179,43,Chile
101179,62,Ecuador
101179,166,Peru
101195,100,Indonesia
101196,100,Indonesia
101197,100,Indonesia
101204,22,Belize
101204,47,Colombia
101204,51,Costa Rica
101204,64,El Salvador
101204,89,Guatemala
101204,95,Honduras
101204,137,Mexico
101204,153,Nicaragua
101204,163,Panama
101212,145,Myanmar
101212,36,Cambodia
101212,44,China
101212,116,Lao People's Democratic Republic
101212,208,Thailand
101212,229,Viet Nam
101213,145,Myanmar
101222,174,Russian Federation
101222,141,Mongolia
714,25,Bhutan
714,44,China
714,99,India
714,116,Lao People's Democratic Republic
714,145,Myanmar
714,148,Nepal
1151,271,Sudan
1151,3,Algeria
1151,42,Chad
1151,63,Egypt
1151,104,Israel
1151,121,Libyan Arab Jamahiriya
