SpcRecID,ClaName,OrdName,FamName,GenName,SpcName,LegListing,LegDateListed,CtyRecID,LegNotes
1680,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1992-06-11 00:00:00,NULL,Popn of MX; included with A. americana; no other population is included in the Appendices
1679,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1975-07-01 00:00:00,NULL,All popns
1679,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1992-06-11 00:00:00,NULL,Popn of MX; included with A. americana; no other population is included in the Appendices
1680,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1975-07-01 00:00:00,NULL,NULL
1677,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1992-06-11 00:00:00,NULL,Popn of MX (note that the US popn is now excluded from CITES controls)
1678,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,II,1975-07-01 00:00:00,NULL,All popns
1678,MAMMALIA,ARTIODACTYLA,ANTILOCAPRIDAE,Antilocapra,americana,I,1992-06-11 00:00:00,NULL,Popn of MX; included with A. americana; no other population is included in the Appendices
512,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,I/w,1989-01-06 00:00:00,14,NULL
512,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,II,1975-07-01 00:00:00,NULL,NULL
512,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,I,1983-07-29 00:00:00,NULL,NULL
512,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,I/r,1983-07-29 00:00:00,14,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,II,1983-07-29 00:00:00,NULL,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,III/r,1977-10-24 00:00:00,57,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,III/w,1983-07-29 00:00:00,57,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,III,1976-04-22 00:00:00,213,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,II/r,1983-07-29 00:00:00,14,NULL
1151,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammotragus,lervia,II/w,1989-01-06 00:00:00,14,NULL
1681,MAMMALIA,ARTIODACTYLA,BOVIDAE,Antilope,cervicapra,III,1975-11-16 00:00:00,148,NULL
1681,MAMMALIA,ARTIODACTYLA,BOVIDAE,Antilope,cervicapra,III/r,1977-10-24 00:00:00,57,NULL
1681,MAMMALIA,ARTIODACTYLA,BOVIDAE,Antilope,cervicapra,III/w,1984-01-01 00:00:00,57,NULL
2813,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,II,1997-09-18 00:00:00,NULL,NULL
2815,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,I,1975-07-01 00:00:00,NULL,Subspecies _athabascae_ only
2815,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,II,1997-09-18 00:00:00,NULL,Subspecies _athabascae_ only
2813,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,I/r,1975-07-09 00:00:00,38,NULL
2813,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,I/w,1977-04-15 00:00:00,38,NULL
2813,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,I,1975-07-01 00:00:00,NULL,NULL
2887,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,gaurus,I,1975-07-01 00:00:00,NULL,Excludes the domestic form of Bos gaurus referenced as Bos frontalis (see CITES Doc. 11.11.4.2)
2889,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,mutus,I,1975-07-01 00:00:00,NULL,Excludes the domestic form of Bos mutus referenced as Bos grunniens (see CITES Doc. 11.11.4.2)
2890,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,sauveli,I,1975-07-01 00:00:00,NULL,NULL
3125,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,arnee,III,1975-11-16 00:00:00,148,NULL
3125,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,arnee,III/r,1977-10-24 00:00:00,57,NULL
3125,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,arnee,III/w,1984-01-01 00:00:00,57,NULL
3126,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bubalus,depressicornis,I,1975-07-01 00:00:00,NULL,NULL
