Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus,AcceptedSpcRecID
Animalia,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Phasis,wallengrenii,NULL,NULL,73788,S,714
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Pardofelis,nebulosa,NULL,NULL,47574,S,14519
Animalia,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,ochraceus,NULL,NULL,73910,S,714
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Vulpes,vulpes,ssp.,leucopus,28781,S,23057
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Lynx,caracal,NULL,NULL,28326,S,3847
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,libyca,NULL,NULL,45013,S,8543
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Dusicyon,gymnocercus,NULL,NULL,6928,S,18441
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Dusicyon,thous,NULL,NULL,28139,S,4248
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Fennecus,zerda,NULL,NULL,8549,S,23058
Animalia,CHORDATA,MAMMALIA,CARNIVORA,EUPLERIDAE,Eupleres,major,NULL,NULL,28173,S,8327
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Dusicyon,culpaeus,NULL,NULL,6929,S,18439
Animalia,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Dusicyon,griseus,NULL,NULL,29228,S,18440
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Panthera,uncia,NULL,NULL,28453,S,22732
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,bengalensis,ssp.,iriomotensis,28555,S,18151
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,iriomotensis,NULL,NULL,37463,S,18151
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,viverrina,NULL,NULL,28832,S,18150
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,wiedii,NULL,NULL,28818,S,11511
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,yaguarondi,NULL,NULL,28815,S,9948
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,serval,NULL,NULL,28819,S,11638
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,temminckii,NULL,NULL,28813,S,4038
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,tigrina,NULL,NULL,28817,S,11510
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,planiceps,NULL,NULL,28830,S,18148
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,rubiginosa,NULL,NULL,28831,S,18149
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,rufa,NULL,NULL,28823,S,12521
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,marmorata,NULL,NULL,28828,S,16218
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,ornata,NULL,NULL,28814,S,8543
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,pardalis,NULL,NULL,28816,S,11509
Animalia,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,lynx,ssp.,isabellina,29202,S,12522
