Kingdom,PhyName,ClaName,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Pudu,puda,NULL,NULL,18848,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Rupicapra,pyrenaica,ssp.,ornata,19766,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,TAYASSUIDAE,Pecari,tajacu,NULL,NULL,16457,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Pseudoryx,nghetinhensis,NULL,NULL,18597,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Pudu,mephistophiles,NULL,NULL,18847,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,ammon,ssp.,nigrimontana,15745,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Ozotoceros,bezoarticus,NULL,NULL,15803,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Pantholops,hodgsonii,NULL,NULL,15967,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,ssp.,ophion,15737,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,vignei,ssp.,vignei,15738,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,orientalis,NULL,NULL,15739,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,ammon,NULL,NULL,15733,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,ammon,ssp.,hodgsonii,15734,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ovis,canadensis,NULL,NULL,15735,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,ssp.,mayensis,15112,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Oryx,dammah,NULL,NULL,15568,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Oryx,leucoryx,NULL,NULL,15569,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,goral,NULL,NULL,14296,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,NULL,NULL,14297,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,griseus,NULL,NULL,14303,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,CERVIDAE,Muntiacus,crinifrons,NULL,NULL,13924,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,baileyi,NULL,NULL,14294,A
Animalia,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Naemorhedus,caudatus,NULL,NULL,14295,A
