ComName,LanDesc,SpcRecId
Crab Cay Anole,English,1482
Placid Anole,English,1483
Dappled Anole,English,1484
Nicobar Shrew,English,5610
Girard's Robber Frog,English,7428
Esmerejón,Spanish,8451
Faucon émerillon,French,8451
Pigeon Hawk,English,8451
Merlin,English,8451
Halcón migratorio,Spanish,8451
Esmerejón,Spanish,8451
Halcón palomero,Spanish,8451
Faucon émerillon,French,8451
Slender Blackfish,English,8551
Pygmy Killer Whale,English,8551
Orca pigmea,Spanish,8551
Orque pygmée,French,8551
Epaulard pygmée,French,8551
Troglodyte de Zapata,French,8552
Zapata Wren,English,8552
Hood Ancylid,English,8554
Pacific Diver,English,8961
Pacific Loon,English,8961
Plongeon du Pacifique,French,8961
Southern Wood Tortoise,English,9007
Argentine Tortoise,English,9007
Chaco Tortoise,English,9007
Tortuga terrestre argentina,Spanish,9007
Tortue de la pampa,French,9007
Red-and-white Antpitta,English,9440
Grallaire de Cuzco,French,9440
Annulated Water Snake,English,24140
Freetown Long=fingered Frog,English,24141
Nsoung Long-fingered Frog,English,24148
Cordillera Giant Glass Frog,English,24203
Cotopaxi Rocket Frog,English,24432
Parker's Rainforest Frog,English,24485
Murici Spiny-thumbed Frog,English,24530
Roman's Tropical Snake,English,24539
Azuay Marsupial Frog,English,25001
Ouistiti nain,French,30348
Pomatorhin à bec rouge,French,31571
Red-billed Scimitar-Babbler,English,31571
Tinamou de Bonaparte,French,31969
Tinamú serrano,Spanish,31969
Highland Tinamou,English,31969
Tinamou à tête rousse,French,31970
Tinamú cabecirrojo,Spanish,31970
Tawny-breasted Tinamou,English,31970
Cisticole de Woosnam,French,32758
Trilling Cisticola,English,32758
Apalis à gorge noire,French,32808
Black-throated Apalis,English,32808
Coastal Dwarf Burrowing Skink,English,33332
Marbled Leaf-toed Gecko,English,34211
Daudin's Leaf-toed Gecko,English,34211
Spacious Rock Gecko,English,34231
Horst's Tree Frog,English,39600
Broadhead cat shark,English,47094
Broadhead Catshark,English,47094
Holbiche kiwi,French,47095
Holbiche kiwi,French,47095
New Zealand Catshark,English,47095
Dawson's catshark,English,47095
Pejegato neozelandés,Spanish,47095
New Zealand cat shark,English,47095
New Zealand cat shark,English,47095
New Zealand catshark,English,47095
New Zealand catshark,English,47095
Jaqueta,Spanish,47171
Jaqueta,Spanish,47171
Jaquetón,Spanish,47171
Cazón,Spanish,47171
Cazón,Spanish,47171
Bronze,English,47171
Bronze whaler,English,47171
Bronze whaler,English,47171
Bronze whaler,English,47171
Bronze whaler,English,47171
Bronze whaler,English,47171
Bronze whaler,English,47171
Bronze whaler shark,English,47171
Bronze whaler shark,English,47171
Bronzie,English,47171
Bronzie,English,47171
Bronzie,English,47171
Bronzie,English,47171
Tollo mantequero,Spanish,47171
Tollo mantequero,Spanish,47171
Tollo mantequero,Spanish,47171
Tiburón cobrizo,Spanish,47171
Tiburón cobrizo,Spanish,47171
Tiburón cobrizo,Spanish,47171
Copper Shark,English,47171
Shark,English,47171
Requin,French,47171
Requin cuivre,French,47171
Narrowtooth shark,English,47171
Narrow-tooth shark,English,47171
Narrow-tooth shark,English,47171
Cocktail shark,English,47171
Cocktail whaler,English,47171
Copper shark,English,47171
Copper shark,English,47171
Copper shark,English,47171
Bronze shark whaler,English,47171
