SpcRecID,FamName,GenName,SpcName,LegListing,LegDateListed,CtyRecID,LegNotes,,,,,,,,
8451,AGAVACEAE,Agave,arizonica,I/r,1983-07-29 00:00:00,14,NULL,,,,,,,,
8451,AGAVACEAE,Agave,arizonica,I/w,1989-01-06 00:00:00,14,NULL,,,,,,,,
8451,AGAVACEAE,Agave,arizonica,DELI,2007-09-13 00:00:00,NULL,NULL,,,,,,,,
8451,AGAVACEAE,Agave,arizonica,I,1983-07-29 00:00:00,NULL,NULL,,,,,,,,
162304,AGAVACEAE,Agave,parviflora,I,1983-07-29 00:00:00,NULL,NULL,,,,,,,,
162304,AGAVACEAE,Agave,parviflora,I/w,1989-01-06 00:00:00,14,NULL,,,,,,,,
162304,AGAVACEAE,Agave,parviflora,I/r,1983-07-29 00:00:00,14,NULL,,,,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,2010-06-23 00:00:00,NULL,All parts and derivatives, except: ûûa) seeds, (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from _Beccariophoenix madagascariensis_ and _Neodypsis decaryi_ exported from Madagascar;ûb) seedling or tissue cultures obtained _in vitro_, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; ûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_ and of the family Cactaceae; ûe) stems, flowers, and parts and derivatives thereof of naturalized or artificially propagated plants of the genera _Opuntia_ subgenus _Opuntia_ and _Selenicereus_ (Cactaceae); and ûf) finished products of _Euphorbia antisyphilitica_ packaged and ready for retail trade.ûû
105303,AGAVACEAE,Agave,victoriae-reginae,II/w,1989-01-06 00:00:00,14,NULL,,,,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,1995-02-16 00:00:00,NULL,Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers.û,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,2007-09-13 00:00:00,NULL,All parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_.,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,1997-09-18 00:00:00,NULL,Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers; and ûc) cut flowers of artificially propagated plants.û,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,1983-07-29 00:00:00,NULL,NULL,,,,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II/r,1983-07-29 00:00:00,14,NULL,,,,,,,,
105303,AGAVACEAE,Agave,victoriae-reginae,II,1985-08-01 00:00:00,NULL,Designates all parts and derivatives except: ûûa) seeds, spores and pollen (including pollinia); and ûb) tissue cultures and flasked seedling cultures.,,,,,,,
8772,AGAVACEAE,Nolina,interrata,I,1983-07-29 00:00:00,NULL,NULL,,,,,,,,
8772,AGAVACEAE,Nolina,interrata,II,2007-09-13 00:00:00,NULL,NULL,,,,,,,,
8772,AGAVACEAE,Nolina,interrata,I/w,1989-01-06 00:00:00,14,NULL,,,,,,,,
8772,AGAVACEAE,Nolina,interrata,I/r,1983-07-29 00:00:00,14,NULL,,,,,,,,
113154,AMARYLLIDACEAE,Galanthus,allenii,II,1995-02-16 00:00:00,NULL,_Galanthus_ spp.: Designates all parts and derivatives except:ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained _invitro_, in solid or liquid media, transported in sterile containers.,,,,,
113154,AMARYLLIDACEAE,Galanthus,allenii,II,2007-09-13 00:00:00,NULL,_Galanthus_ spp.: All parts and derivatives, except: ûûa) seeds, spores and pollen (including pollinia); ûb) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;ûc) cut flowers of artificially propagated plants; andûd) fruits and parts and derivatives thereof of artificially propagated plants of the genus _Vanilla_.,,,,
