Kingdom,OrdName,FamName,GenName,Spcname,SpcInfraRank,SpcInfraepithet,Spcrecid,SpcStatus
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,allenii,NULL,NULL,113154,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,NULL,NULL,47094,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,var.,alpinus,170747,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,alpinus,var.,bortkewitschianus,170748,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,alstonii,NULL,NULL,161467,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,ambongense,NULL,NULL,8551,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,angustifolius,NULL,NULL,170749,A
Plantae,LILIALES,AGAVACEAE,Agave,arizonica,NULL,NULL,8451,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,baronii,NULL,NULL,9440,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,baronii,var.,baronii,8552,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,baronii,var.,erythreum,24365,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,bispinosum,NULL,NULL,106037,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,brevicaule,NULL,NULL,8554,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,candida,NULL,NULL,32758,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,cilicicus,NULL,NULL,1482,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,clusiana,NULL,NULL,106036,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,colchiciflora,NULL,NULL,47171,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,currorii,NULL,NULL,192460,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,currorii,ssp.,lugardii,7428,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,decaryi,NULL,NULL,8555,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,densiflorum,NULL,NULL,24141,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,densiflorum,var.,densiflorum,8556,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,dregei,NULL,NULL,5610,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,eburneum,NULL,NULL,24432,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,elwesii,NULL,NULL,150609,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,fischeriana,NULL,NULL,31969,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,flava,NULL,NULL,185009,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,foetida,NULL,NULL,185010,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,fosteri,NULL,NULL,106032,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,geayi,NULL,NULL,8602,A
Plantae,APIALES,ARALIACEAE,Panax,ginseng,NULL,NULL,31571,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,gordonii,NULL,NULL,161447,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,gracilis,NULL,NULL,106105,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,grandiflorus,NULL,NULL,34211,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,greuteriana,NULL,NULL,113119,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,hojnyi,NULL,NULL,24485,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,horombense,NULL,NULL,8603,A
Plantae,SAPINDALES,ANACARDIACEAE,Operculicarya,hyphaenoides,NULL,NULL,192415,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,ikariae,NULL,NULL,1483,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,inopinatum,NULL,NULL,24140,A
Plantae,LILIALES,AGAVACEAE,Nolina,interrata,NULL,NULL,8772,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,juttae,NULL,NULL,158619,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,koenenianus,NULL,NULL,170750,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,krasnovii,NULL,NULL,106106,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,lagodechianus,NULL,NULL,47095,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lamerei,NULL,NULL,24148,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lealii,NULL,NULL,106038,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lealii,ssp.,lealii,24530,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lealii,ssp.,saundersii,24539,A
Plantae,CELASTRALES,AQUIFOLIACEAE,Ilex,lonicerifolia,var.,matsudai,161848,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,lutea,NULL,NULL,31970,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,menabeum,NULL,NULL,24553,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,namaquanum,NULL,NULL,30348,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,NULL,NULL,76435,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis "flore pleno",NULL,NULL,34231,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,officinalis,NULL,NULL,192461,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,officinalis,NULL,NULL,185011,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,officinalis,ssp.,delaetiana,160439,A
Plantae,SAPINDALES,ANACARDIACEAE,Operculicarya,pachypus,NULL,NULL,192416,A
Plantae,LILIALES,AGAVACEAE,Agave,parviflora,NULL,NULL,162304,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pedicellata,NULL,NULL,185012,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,peshmenii,NULL,NULL,170751,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pilifera,NULL,NULL,185013,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pilifera,ssp.,annulata,160440,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pilifera,ssp.,pilifera,160441,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pilifera,ssp.,pillansii,160442,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,platyphyllus,NULL,NULL,80781,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,plicatus,NULL,NULL,120271,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,plicatus,ssp.,byzantinus,62326,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,plicatus,ssp.,plicatus,1484,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,pulchella,NULL,NULL,170754,A
Plantae,APIALES,ARALIACEAE,Panax,quinquefolius,NULL,NULL,70152,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rauhii,NULL,NULL,24680,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,reginae-olgae,NULL,NULL,1485,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,reginae-olgae,ssp.,reginae-olgae,170752,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,reginae-olgae,ssp.,vernalis,170753,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,rizehensis,NULL,NULL,106033,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,NULL,NULL,24200,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,var.,rosulatum,8607,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,var.:forma,rosulatum:bicolor,24736,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,ruschii,NULL,NULL,159698,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,rustica,NULL,NULL,185014,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rutenbergianum,NULL,NULL,24203,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rutenbergianum,var.,rutenbergianum,8610,A
Plantae,ARALES,ARACEAE,Alocasia,sanderiana,NULL,NULL,39600,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,schubertii,NULL,NULL,62327,A
Plantae,GENTIANALES,APOCYNACEAE,Rauvolfia,serpentina,NULL,NULL,49806,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,sicula,NULL,NULL,106035,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,sofiense,NULL,NULL,8611,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,spp.,NULL,NULL,9007,A
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,spp.,NULL,NULL,8916,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,spp.,NULL,NULL,185492,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,spp.,NULL,NULL,8961,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,succulentum,NULL,NULL,106039,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,transcaucasicus,NULL,NULL,106107,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,triebneri,NULL,NULL,158451,A
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,triebneri,NULL,NULL,185042,A
Plantae,LILIALES,AGAVACEAE,Agave,victoriae-reginae,NULL,NULL,105303,A
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,windsorii,NULL,NULL,25001,A
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,woronowii,NULL,NULL,80782,A
Plantae,ARALES,ARACEAE,Alocasia,zebrina,NULL,NULL,32808,A
