Event,Symbol,For display,Text
Pre-CoP1,#1,Pre-CoP1 #1,Designates roots
Pre-CoP1,#2,Pre-CoP1 #2,Designates timber
Pre-CoP1,#3,Pre-CoP1 #3,Designates trunks
CoP1,>1,CoP1 >1,Designates roots
CoP1,>2,CoP1 >2,Designates timber
CoP1,>3,CoP1 >3,Designates trunks
CoP2,>1,CoP2 >1,Designates roots
CoP2,>2,CoP2 >2,Designates timber
CoP2,>3,CoP2 >3,Designates trunks
CoP3,#1,CoP3 #1,Designates roots
CoP3,#2,CoP3 #2,Designates timber
CoP3,#3,CoP3 #3,Designates trunks
CoP4,#1,CoP4 #1,Designates roots
CoP4,#2,CoP4 #2,Designates timber
CoP4,#3,CoP4 #3,Designates trunks
CoP5,#1,CoP5 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures"
CoP5,#2,CoP5 #2,Designates roots and readily recognizable parts thereof
CoP5,#3,CoP5 #3,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) tissue cultures and flasked seedling cultures;
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated Opuntia subgenus Opuntia spp."
CoP5,#4,CoP5 #4,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) tissue cultures and flasked seedling cultures; and
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants"
CoP5,#5,CoP5 #5,"Designates all parts and derivatives, except:
a) spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures"
CoP5,#6,CoP5 #6,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia);
b) tissue cultures and flasked seedling cultures; and
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated Aloe vera"
CoP5,#7,CoP5 #7,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives of artificially propagated Vanilla spp."
CoP6,#1,CoP6 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures"
CoP6,#2,CoP6 #2,Designates roots and readily recognizable parts thereof
CoP6,#3,CoP6 #3,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures;
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated Opuntia subgenus Opuntia spp."
CoP6,#4,CoP6 #4,"Designates all parts and derivatives, except:
a) pollen; and
b) tissue cultures and flasked seedling cultures"
CoP6,#5,CoP6 #5,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures; and
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated Aloe vera"
CoP6,#6,CoP6 #6,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives of artificially propagated Vanilla spp."
CoP7,#1,CoP7 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures"
CoP7,#2,CoP7 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures; and
c) chemical derivatives"
CoP7,#3,CoP7 #3,Designates roots and readily recognizable parts thereof
CoP7,#4,CoP7 #4,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures;
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated Opuntia subgenus Opuntia spp."
CoP7,#5,CoP7 #5,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures; and
c) separate leaves and parts and derivatives thereof of naturalized or artificially propagated Aloe vera"
CoP7,#6,CoP7 #6,"Designates all parts and derivatives, except:
a) seeds and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures;
c) cut flowers of artificially propagated plants; and
d) fruits and parts and derivatives thereof of artificially propagated Vanilla spp."
CoP8,#1,CoP8 #1,"Designates all parts and derivatives, except:
a) seeds, spores and pollen (including pollinia); and
b) tissue cultures and flasked seedling cultures"
CoP8,#2,CoP8 #2,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures; and
c) chemical derivatives"
CoP8,#3,CoP8 #3,Designates roots and readily recognizable parts thereof
CoP8,#4,CoP8 #4,"Designates all parts and derivatives, except:
a) seeds and pollen;
b) tissue cultures and flasked seedling cultures;
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated Opuntia subgenus Opuntia spp."
CoP8,#5,CoP8 #5,"Designates saw-logs, sawn wood and veneers"
