LnmShortDesc,Date valid,LnmLongDesc,LnmURL
EC Annex (1991 draft),,EC Annex (1991 draft),NULL
EC Annex (1994 draft),,EC Annex (1994 draft),NULL
EC Annex (1995 draft),,EC Annex (1995 draft),NULL
CMS,,Convention on Migratory Species,http://www.cms.int/index.html
CMS - ACAP,,Agreement on the Conservation of Albatrosses and Petrels,http://www.cms.int/species/acap/acap_bkrd.htm
CMS - ACCOBAMS,,"Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and Contiguous Atlantic Area ",http://www.cms.int/species/accobams/acc_bkrd.htm
CMS - AEWA,,African-Eurasian Waterbird Agreement,http://www.cms.int/species/aewa/aew_bkrd.htm
CMS - Aquatic Warbler,,Memorandum of Understanding Concerning Conservation Measures for the Aquatic Warbler,http://www.cms.int/species/aquatic_warbler/aquatic_warbler_bkrd.htm
CMS - ASCOBANS,,Agreement on the Conservation of Small Cetaceans of the Baltic and North Seas,http://www.cms.int/species/ascobans/asc_bkrd.htm
CMS - Bukhara Deer,,Memorandum of Understanding concerning Conservation and Restoration of the Bukhara Deer,http://www.cms.int/species/bukhara_deer/bukhara_deer_intro.htm
CMS - Dugong,,Memorandum of Understanding on the Conservation and Management of Dugongs (Dugong dugon) and their Habitats throughout their Range,http://www.cms.int/species/dugong/index.htm
CMS - EUROBATS,,Agreement on the Conservation of Populations of European Bats,http://www.cms.int/species/eurobats/bat_bkrd.htm
CMS - Gorillas,,CMS Agreement on the Conservation of Gorillas and Their Habitats,http://www.cms.int/species/gorillas/index.htm
CMS - Grassland Birds and their Habitats,,Memorandum of Understanding on the Conservation of Southern South American Migratory Grassland Bird Species and Their Habitats,http://www.cms.int/species/Grassland_birds/grassland_birds_bkrd.htm  
CMS - Great Bustard,,Memorandum of Understanding on the Conservation and Management of the Middle-European Population of the Great Bustard,http://www.cms.int/species/otis_tarda/otis_tarda_bkrd.htm
CMS - High Andean Flamingos,,Memorandum of Understanding on the Conservation of High Andean Flamingos and their Habitats,http://www.cms.int/species/flamingos/flamingos_bkrd.htm
CMS - Marine Turtles - IOSEA,,Memorandum of Understanding on the Conservation and Management of Marine Turtles and their Habitats of the Indian Ocean and South-East Asia,http://www.cms.int/species/iosea/IOSEAturtle_bkgd.htm 
CMS - Marine Turtles Africa,,Memorandum of Understanding concerning Conservation Measures for Marine Turtles of the Atlantic Coast of Africa,http://www.cms.int/species/africa_turtle/AFRICAturtle_bkgd.htm 
CMS - Mediterranean Monk Seal,,Memorandum of Understanding concerning Conservation Measures for the Eastern Atlantic Populations of the Mediterranean Monk Seal (Monachus monachus),http://www.cms.int/species/monk_seal/monk_seal_bkrd.htm
CMS - Pacific Islands Cetaceans,,Memorandum of Understanding for the Conservation of Cetaceans and Their Habitats in the Pacific Islands Region,http://www.cms.int/species/pacific_cet/pacific_cet_bkrd.htm
CMS - Raptors,,Memorandum of Understanding on the Conservation of Migratory Birds of Prey in Africa and Eurasia,http://www.cms.int/species/raptors/index.htm 
CMS - Ruddy-headed Goose,,Memorandum of Understanding on the Conservation of the Ruddy-headed Goose (Chloephaga rubidiceps),http://www.cms.int/species/ruddy_goose/ruddy_goose_bkrd.htm
CMS - Saiga Antelope,,"Memorandum of Understanding concerning Conservation, Restoration and Sustainable Use of the Saiga Antelope (Saiga spp.)",http://www.cms.int/species/saiga/saiga_bkrd.htm
CMS - Siberian Crane,,Memorandum of Understanding concerning Conservation Measures for the Siberian Crane,http://www.cms.int/species/siberian_crane/sib_bkrd.htm
CMS - Slender-billed Curlew,,Memorandum of Understanding concerning Conservation Measures for the Slender-billed Curlew,http://www.cms.int/species/sb_curlew/sbc_bkrd.htm
CMS - Wadden Sea Seals,,Agreement on the Conservation of Seals in the Wadden Sea,http://www.cms.int/species/wadden_seals/sea_bkrd.htm
CMS - West African Elephants,,Memorandum of Understanding concerning Conservation Measures for the West African Populations of the African Elephant (Loxodonta africana),http://www.cms.int/species/elephants/index.htm
Council Regulation (EEC) No 3626/82 of 3 December 1982,,Council Regulation (EEC) No 3626/82 of 3 December 1982 on the implementation in the Community of the Convention on international trade in endangered species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:31982R3626:EN:HTML
CITES,,Convention on International Trade in Endangered Species of Wild Fauna and Flora,www.cites.org
Commission Reg. (EC) No 101/2012 of 6 February 2012,14-Feb-12,Commission Reg. (EC) No 101/2012 of 6 February 2012 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:039:0133:0200:EN:PDF
Commission Reg. (EC) No 1158/2012 of 27 November 2012,15-Dec-12,Commission Reg. (EC) No 1158/2012 of 27 November 2012 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:339:FULL:EN:PDF
Commission Reg. (EC) No 1332/2005 of 9 August 2005,22-Aug-05,Commission Reg. (EC) No 1332/2005 of 9 August 2005 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:215:0001:0060:EN:PDF
Commission Reg. (EC) No 1497/2003 of 18 August 2003,30-Aug-03,Commission Reg. (EC) No 1497/2003 of 18 August 2003 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:215:0003:0084:EN:PDF
Commission Reg. (EC) No 1579/2001 of 1 August 2001,05-Aug-01,Commission Reg. (EC) No 1579/2001 of 1 August 2001 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:209:0014:0015:EN:PDF
Commission Reg. (EC) No 1808/2001 of 30 August 2001,22-Sep-01,Commission Reg. (EC) No 1808/2001 of 30 August 2001 laying down detailed rules concerning the implementation of Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:250:0001:0043:EN:PDF
Commission Reg. (EC) No 191/2001 of 30 January 2001,02-Feb-01,Commission Reg. (EC) No 191/2001 of 30 January 2001 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:029:0012:0026:EN:PDF
Commission Reg. (EC) No 1968/1999 of 10 September 1999,19-Sep-99,Commission Reg. (EC) No 1968/1999 of 10 September 1999 suspending the introduction into the Community of specimens of certain species of wild fauna and flora ,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:244:0022:0037:EN:PDF
Commission Reg. (EC) No 1988/2000 of 20 September 2001,24-Sep-00,Commission Reg. (EC) No 1988/2000 of 20 September 2001 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:237:0025:0038:EN:PDF
Commission Reg. (EC) No 2087/2001 of 24 October 2001,29-Oct-01,Commission Reg. (EC) No 2087/2001 of 24 October 2001 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:282:0023:0038:EN:PDF
Commission Reg. (EC) No 2307/97 of 18 November 1997,27-Nov-97,Commission Reg. (EC) No 2307/97 of 18 November 1997 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:325:0001:0052:EN:PDF
Commission Reg. (EC) No 2473/1998 of 16 November 1998,21-Nov-98,Commission Reg. (EC) No 2473/98 of 16 November 1998 suspending the introduction into the Community of specimens of certain species of wild fauna and flora ,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1998:308:0018:0032:EN:PDF
Commission Reg. (EC) No 2476/2001 of 17 December 2001,21-Dec-01,Commission Reg. (EC) No 2476/2001 of 17 December 2001 amending Council Regulation (EC) No. 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:334:0003:0004:EN:PDF
Commission Reg. (EC) No 250/1999 of 2 February 1999,06-Feb-99,Commission Reg. (EC) No 250/1999 of 2 February 1999 amending Regulation (EC) No 2473/98 suspending the introduction into the Community of specimens of certain species of wild fauna and flora ,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:029:0005:0008:EN:PDF
Commission Reg. (EC) No 252/2005 of 14 February 2005,18-Feb-05,Commission Reg. (EC) No 252/2005 of 14 February 2005 amending Regulation (EC) No. 349/2003 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:043:0003:0021:EN:PDF
Commission Reg. (EC) No 2551/97 of 15 December 1997,22-Dec-97,Commission Reg. (EC) No 2551/97 of 15 December 1997 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:349:0004:0017:EN:PDF
Commission Reg. (EC) No 2724/2000 of 30 November 2000,18-Dec-00,"Commission Reg. (EC) No 2724/2000 of 30 November 2000 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein


",eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:320:0001:0060:EN:PDF
Commission Reg. (EC) No 318/2008 of 31 March 2008,11-Apr-08,Commission Reg. (EC) No 318/2008 of 31 March 2008 amending Council Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:095:0003:0062:EN:PDF
Commission Reg. (EC) No 349/2003 of 25 February 2003,01-Mar-03,Commission Reg. (EC) No 349/2003 of 25 February 2003 suspending the introduction into the Community of specimens of certain species of wild fauna and flora,eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:051:0003:0018:EN:PDF
