Species RecID,Rank,GEO_entity_type,ISO Code 2,Tags,Designation
100871,Species,Country,CL,Introduced,CITES_EU
102687,Species,Country,SG,Extinct,CITES_EU
102706,Species,Country,SG,Extinct,CITES_EU
102715,Species,Country,SG,Extinct,CITES_EU
103653,Species,Country,BO,Extinct,CITES_EU
10392,Species,Country,LA,Distribution uncertain,CITES_EU
10394,Species,Country,SG,Extinct,CITES_EU
10400,Species,Country,CN,Extinct,CITES_EU
104241,Species,Country,AG,Introduced,CITES_EU
104241,Species,Territory,GP,Introduced,CITES_EU
104241,Species,Territory,MS,Introduced,CITES_EU
104580,Species,Country,CR,Distribution uncertain,CITES_EU
105048,Species,Country,PA,Distribution uncertain,CITES_EU
105630,Species,Country,SG,Extinct,CITES_EU
105820,Species,Country,SG,Extinct,CITES_EU
106032,Species,Country,IL,Distribution uncertain,CITES_EU
106048,Species,Country,KE,Distribution uncertain,CITES_EU
107179,Species,Country,EC,Extinct,CITES_EU
107772,Species,Country,US,Extinct,CITES_EU
107935,Species,Country,HT,Extinct,CITES_EU
10982,Species,Country,KE,Distribution uncertain,CITES_EU
109899,Species,Country,SG,Extinct,CITES_EU
1098,Species,Country,BE,Extinct,CITES_EU
1098,Species,Country,LU,Extinct,CITES_EU
109926,Species,Country,SG,Extinct,CITES_EU
109927,Species,Country,SG,Extinct,CITES_EU
109928,Species,Country,SG,Extinct,CITES_EU
109929,Species,Country,SG,Extinct,CITES_EU
109930,Species,Country,SG,Extinct,CITES_EU
109932,Species,Country,SG,Extinct,CITES_EU
109933,Species,Country,SG,Extinct,CITES_EU
109934,Species,Country,SG,Extinct,CITES_EU
109935,Species,Country,SG,Extinct,CITES_EU
109936,Species,Country,SG,Extinct,CITES_EU
109937,Species,Country,SG,Extinct,CITES_EU
109938,Species,Country,SG,Extinct,CITES_EU
109943,Species,Country,SG,Extinct,CITES_EU
109944,Species,Country,SG,Extinct,CITES_EU
109946,Species,Country,SG,Extinct,CITES_EU
109947,Species,Country,SG,Extinct,CITES_EU
109948,Species,Country,SG,Extinct,CITES_EU
109949,Species,Country,SG,Extinct,CITES_EU
109950,Species,Country,SG,Extinct,CITES_EU
109952,Species,Country,SG,Extinct,CITES_EU
109953,Species,Country,SG,Extinct,CITES_EU
109954,Species,Country,SG,Extinct,CITES_EU
109955,Species,Country,SG,Extinct,CITES_EU
109958,Species,Country,SG,Extinct,CITES_EU
109959,Species,Country,SG,Extinct,CITES_EU
109960,Species,Country,SG,Extinct,CITES_EU
109961,Species,Country,SG,Extinct,CITES_EU
109962,Species,Country,SG,Extinct,CITES_EU
109963,Species,Country,SG,Extinct,CITES_EU
109964,Species,Country,SG,Extinct,CITES_EU
109965,Species,Country,SG,Extinct,CITES_EU
109967,Species,Country,SG,Extinct,CITES_EU
109968,Species,Country,SG,Extinct,CITES_EU
109969,Species,Country,SG,Extinct,CITES_EU
109970,Species,Country,SG,Extinct,CITES_EU
109971,Species,Country,SG,Extinct,CITES_EU
109972,Species,Country,SG,Extinct,CITES_EU
109973,Species,Country,SG,Extinct,CITES_EU
109974,Species,Country,SG,Extinct,CITES_EU
109976,Species,Country,SG,Extinct,CITES_EU
110023,Species,Country,SG,Extinct,CITES_EU
111052,Species,Country,ZA,Extinct,CITES_EU
111301,Species,Country,S1,Distribution uncertain,CITES_EU
11302,Species,Country,MX,Extinct,CITES_EU
11760,Species,Country,GT,Distribution uncertain,CITES_EU
11888,Species,Country,VN,Extinct (?),CITES_EU
11952,Species,Country,MM,Distribution uncertain,CITES_EU
11952,Species,Country,TH,Distribution uncertain,CITES_EU
12007,Species,Country,KH,Distribution uncertain,CITES_EU
12007,Species,Country,LA,Distribution uncertain,CITES_EU
12008,Species,Country,CN,Distribution uncertain,CITES_EU
12016,Species,Country,LA,Distribution uncertain,CITES_EU
12016,Species,Country,TH,Distribution uncertain,CITES_EU
12181,Species,Country,MG,Extinct (?),CITES_EU
12476,Species,Country,LA,Distribution uncertain,CITES_EU
12495,Species,Country,KH,Distribution uncertain,CITES_EU
12495,Species,Country,LA,Distribution uncertain,CITES_EU
12520,Species,Country,KH,Distribution uncertain,CITES_EU
12520,Species,Country,LA,Distribution uncertain,CITES_EU
12536,Species,Country,LA,Distribution uncertain,CITES_EU
12563,Species,Country,SC,Extinct (?),CITES_EU
12870,Species,Country,AU,Extinct,CITES_EU
13144,Species,Country,AU,Extinct,CITES_EU
136534,Species,Country,GB,Extinct,CITES_EU
13797,Species,Country,AU,Extinct,CITES_EU
13800,Species,Country,AU,Extinct,CITES_EU
139936,Species,Country,NL,Extinct,CITES_EU
150240,Species,Country,RO,Introduced,CITES_EU
150240,Species,Country,RU,Introduced,CITES_EU
150609,Species,Country,NL,Introduced,CITES_EU
154226,Species,Country,AU,Extinct,CITES_EU
155675,Species,Country,AU,Extinct,CITES_EU
156770,Species,Country,AU,Extinct,CITES_EU
157604,Species,Country,AU,Extinct,CITES_EU
161365,Species,Country,MU,Extinct,CITES_EU
161366,Species,Country,MU,Extinct,CITES_EU
161368,Species,Country,MU,Extinct,CITES_EU
161368,Species,Territory,RE,Extinct,CITES_EU
161371,Species,Country,MU,Extinct,CITES_EU
161381,Species,Country,MU,Extinct,CITES_EU
161381,Species,Territory,RE,Extinct,CITES_EU
161386,Species,Country,MU,Extinct,CITES_EU
161388,Species,Country,MU,Extinct (?),CITES_EU
1626,Species,Country,SI,Extinct,CITES_EU
172778,Species,Country,LA,Distribution uncertain,CITES_EU
172778,Species,Country,VN,Distribution uncertain,CITES_EU
172866,Species,Country,GY,Distribution uncertain,CITES_EU
172872,Species,Country,CO,Distribution uncertain,CITES_EU
174780,Species,Territory,GF,Distribution uncertain,CITES_EU
174780,Species,Country,SR,Distribution uncertain,CITES_EU
175000,Species,Country,CR,Distribution uncertain,CITES_EU
175000,Species,Country,PA,Distribution uncertain,CITES_EU
175025,Species,Country,GY,Distribution uncertain,CITES_EU
175025,Species,Country,SR,Distribution uncertain,CITES_EU
175367,Species,Country,GY,Distribution uncertain,CITES_EU
175367,Species,Country,SR,Distribution uncertain,CITES_EU
175373,Species,Country,PA,Distribution uncertain,CITES_EU
175374,Species,Country,CR,Distribution uncertain,CITES_EU
17937,Species,Territory,NI,Distribution uncertain,CITES_EU
192568,Species,Country,MG,Distribution uncertain,CITES_EU
192578,Species,Country,MG,Distribution uncertain,CITES_EU
1991,Species,Country,BA,Extinct,CITES_EU
1991,Species,Country,BG,Extinct,CITES_EU
1991,Species,Country,FI,Introduced,CITES_EU
1991,Species,Country,NO,Extinct,CITES_EU
1991,Species,Country,US,Extinct,CITES_EU
20709,Species,Country,TG,Distribution uncertain,CITES_EU
20880,Species,Country,PE,Distribution uncertain,CITES_EU
20883,Species,Country,SV,Distribution uncertain,CITES_EU
21173,Species,Country,KE,Distribution uncertain,CITES_EU
21428,Species,Country,AF,Distribution uncertain,CITES_EU
22134,Species,Country,CU,Extinct,CITES_EU
2220,Species,Country,GR,Distribution uncertain,CITES_EU
23863,Species,Country,GE,Introduced,CITES_EU
24876,Species,Country,US,Extinct,CITES_EU
25710,Species,Country,US,Extinct,CITES_EU
26411,Species,Country,US,Extinct (?),CITES_EU
26747,Species,Country,US,Extinct,CITES_EU
26748,Species,Country,US,Extinct,CITES_EU
28226,Species,Country,ET,Introduced,CITES_EU
28226,Species,Country,ID,Introduced,CITES_EU
28226,Species,Country,IN,Introduced,CITES_EU
28226,Species,Country,KE,Introduced,CITES_EU
28226,Species,Country,PK,Introduced,CITES_EU
28226,Species,Country,SA,Introduced,CITES_EU
28352,Species,Country,ZA,Extinct,CITES_EU
28368,Species,Country,ZA,Extinct,CITES_EU
29135,Species,Country,SC,Distribution uncertain,CITES_EU
30347,Species,Country,US,Extinct,CITES_EU
30425,Species,Country,IT,Extinct,CITES_EU
30425,Species,Country,MT,Extinct,CITES_EU
31371,Species,Country,IN,Extinct,CITES_EU
31406,Species,Country,DK,Extinct,CITES_EU
31412,Species,Country,BY,Distribution uncertain,CITES_EU
31412,Species,Country,FR,Extinct (?),CITES_EU
31412,Species,Country,LV,Extinct,CITES_EU
31460,Species,Country,SG,Extinct,CITES_EU
31515,Species,Country,IN,Extinct,CITES_EU
31571,Species,Country,KR,Extinct,CITES_EU
31970,Species,Country,SI,Extinct,CITES_EU
31986,Species,Country,PL,Distribution uncertain,CITES_EU
31986,Species,Country,SU,Distribution uncertain,CITES_EU
33066,Species,Country,FR,Extinct,CITES_EU
33067,Species,Country,AL,Distribution uncertain,CITES_EU
39378,Species,Country,SG,Extinct,CITES_EU
39389,Species,Country,ID,Distribution uncertain,CITES_EU
39394,Species,Country,JP,Distribution uncertain,CITES_EU
40128,Species,Country,SG,Extinct,CITES_EU
40869,Species,Country,SG,Extinct,CITES_EU
40879,Species,Country,SG,Extinct,CITES_EU
41178,Species,Country,ID,Distribution uncertain,CITES_EU
41192,Species,Country,SG,Extinct,CITES_EU
41633,Species,Country,SG,Extinct,CITES_EU
41636,Species,Country,SG,Extinct,CITES_EU
41638,Species,Country,SG,Extinct,CITES_EU
41669,Species,Country,SG,Extinct,CITES_EU
41714,Species,Country,SG,Extinct,CITES_EU
41718,Species,Country,SG,Extinct,CITES_EU
41719,Species,Country,SG,Extinct,CITES_EU
41723,Species,Country,SG,Extinct,CITES_EU
41727,Species,Country,SG,Extinct,CITES_EU
41728,Species,Country,SG,Extinct,CITES_EU
41729,Species,Country,SG,Extinct,CITES_EU
41731,Species,Country,SG,Extinct,CITES_EU
41732,Species,Country,SG,Extinct,CITES_EU
41733,Species,Country,SG,Extinct,CITES_EU
41737,Species,Country,SG,Extinct,CITES_EU
41738,Species,Country,SG,Extinct,CITES_EU
41780,Species,Country,ID,Distribution uncertain,CITES_EU
41780,Species,Country,SG,Extinct,CITES_EU
42997,Species,Country,SG,Extinct,CITES_EU
43000,Species,Country,SG,Extinct,CITES_EU
43001,Species,Country,SG,Extinct,CITES_EU
43002,Species,Country,SG,Extinct,CITES_EU
43028,Species,Country,SG,Extinct,CITES_EU
43031,Species,Country,SG,Extinct,CITES_EU
43100,Species,Country,SG,Extinct,CITES_EU
43197,Species,Country,ID,Distribution uncertain,CITES_EU
43229,Species,Country,MY,Extinct (?),CITES_EU
43592,Species,Country,CR,Introduced,CITES_EU
43592,Species,Country,DO,Introduced,CITES_EU
43592,Species,Country,HN,Introduced,CITES_EU
43617,Species,Country,AU,Distribution uncertain,CITES_EU
43658,Species,Country,NZ,Extinct,CITES_EU
43660,Species,Country,NZ,Extinct,CITES_EU
44359,Species,Country,JP,Extinct,CITES_EU
44384,Species,Country,JP,Extinct,CITES_EU
4442,Species,Country,DZ,Distribution uncertain,CITES_EU
4442,Species,Country,IT,Distribution uncertain,CITES_EU
4442,Species,Country,MT,Distribution uncertain,CITES_EU
44745,Species,Country,EC,Extinct,CITES_EU
46009,Species,Country,LK,Introduced,CITES_EU
46125,Species,Country,PT,Extinct,CITES_EU
47314,Species,Country,LT,Extinct,CITES_EU
47331,Species,Country,AZ,Introduced (?),CITES_EU
47331,Species,Country,GE,Introduced (?),CITES_EU
47331,Species,Country,PL,Extinct,CITES_EU
47331,Species,Country,RU,Introduced (?),CITES_EU
47332,Species,Country,LT,Extinct,CITES_EU
47333,Species,Country,LV,Extinct,CITES_EU
47334,Species,Country,RU,Introduced (?),CITES_EU
47337,Species,Country,FI,Introduced,CITES_EU
47338,Species,Country,ES,Distribution uncertain,CITES_EU
