SpcRecID, Appendix
2220, II
5114, II
8039, II
8277, II
8359, II
8843, II
9200, II
9258, II
9314, II
10365, II
10723, II
10958, II
11667, II
11913, II
11976, II
12320, II
12379, II
12445, I
12445, II
12509, II
12946, II
13728, II
14505, II
14559, II
15071, II
15637, II
15692, II
15751, II
16280, II
16337, II
16759, II
16823, II
17178, II
17781, II
17845, II
17906, II
17906, III
17967, II
18038, II
18173, II
19362, II
20903, II
20961, II
21018, II
21191, II
22181, II
24285, II
24473, II
26422, II
27596, II
27650, II
27767, II
49776, II
49842, II
49904, II
49960, II
50021, II
50463, II
50530, II
50597, II
50728, II
50796, II
51461, II
51809, II
52006, II
52068, II
52130, II
52399, II
53486, II
53969, II
54406, II
54889, II
56014, II
58390, II
58673, II
58735, II
84809, II
87333, II
88022, II
88101, II
88419, II
88637, II
100018, II
100452, II
100604, II
100759, II
101652, II
102460, II
104810, II
104952, II
105235, II
28387, II
28445, II
28616, II
29390, II
29500, II
29559, II
29614, II
30065, II
30246, II
30306, II
30423, II
30490, II
30558, I
31399, II
31597, II
32554, II
35862, II
36458, II
40234, II
40909, II
41149, II
41675, II
43085, II
43219, II
43612, II
43829, II
44309, II
44568, II
44759, II
45194, II
132028, II
60818, II
61193, II
61193, III
61711, II
62284, II
62600, II
63003, II
67745, II
68437, II
69017, II
69097, II
70711, I
72497, II
73495, II
75709, II
75836, II
76481, II
77401, II
169947, II
170184, I
170184, II
170752, II
170810, II
170865, II
172795, II
173215, II
173353, II
173441, II
173717, II
174055, II
174618, II
174952, II
175279, II
175413, II
175680, II
175750, II
175891, II
176315, II
176386, II
176585, II
176652, II
177577, II
177649, II
177721, II
177789, II
179048, II
179280, II
105431, II
105969, II
106108, II
106243, II
106312, II
106502, II
106557, II
106615, II
106737, II
106802, II
106965, II
107368, II
107575, II
107643, II
107769, II
107832, II
107892, II
109940, II
111115, II
119238, II
154270, II
155976, II
156271, II
156686, II
157400, II
158200, II
158883, II
159997, II
160571, III
161383, II
161443, II
