Spcrecid, CtyRecID, CtyShort
2220, 84, Greece
2220, 214, Turkey
5114, 194, South Africa
8039, 228, Venezuela
8039, 26, Bolivia
8039, 47, Colombia
8039, 62, Ecuador
8277, 47, Colombia
8277, 30, Brazil
8277, 26, Bolivia
8359, 100, Indonesia
8359, 128, Malaysia
8843, 13, Australia
9200, 126, Madagascar
9258, 126, Madagascar
9314, 126, Madagascar
10365, 127, Malawi
10365, 144, Mozambique
10723, 194, South Africa
10958, 137, Mexico
11667, 100, Indonesia
11667, 128, Malaysia
11913, 137, Mexico
11976, 13, Australia
12320, 30, Brazil
12379, 47, Colombia
12379, 228, Venezuela
12445, 26, Bolivia
12445, 166, Peru
12509, 116, Lao People's Democratic Republic
12509, 208, Thailand
12509, 25, Bhutan
12509, 44, China
12509, 99, India
12509, 128, Malaysia
12509, 145, Myanmar
12946, 137, Mexico
13728, 10, Argentina
14505, 13, Australia
14559, 137, Mexico
15071, 13, Australia
15637, 137, Mexico
15692, 137, Mexico
15751, 224, Uruguay
16280, 30, Brazil
16337, 10, Argentina
16759, 51, Costa Rica
16759, 163, Panama
16823, 26, Bolivia
17178, 26, Bolivia
17781, 51, Costa Rica
17781, 89, Guatemala
17781, 95, Honduras
17845, 51, Costa Rica
17906, 128, Malaysia
17967, 51, Costa Rica
18038, 51, Costa Rica
18173, 51, Costa Rica
19362, 22, Belize
19362, 89, Guatemala
20903, 89, Guatemala
20903, 137, Mexico
20961, 137, Mexico
21018, 137, Mexico
21191, 193, Somalia
22181, 93, Haiti
22181, 137, Mexico
24285, 197, Sri Lanka
24473, 68, Ethiopia
26422, 222, United States
27596, 137, Mexico
27650, 137, Mexico
27767, 193, Somalia
28387, 194, South Africa
28445, 194, South Africa
28616, 194, South Africa
29390, 51, Costa Rica
29500, 137, Mexico
29559, 137, Mexico
29614, 153, Nicaragua
29614, 64, El Salvador
29614, 95, Honduras
29614, 137, Mexico
30065, 194, South Africa
30246, 151, New Caledonia
30306, 151, New Caledonia
30490, 6, Angola
30558, 194, South Africa
30558, 201, Swaziland
31399, 44, China
31399, 25, Bhutan
31399, 99, India
31399, 148, Nepal
31597, 148, Nepal
31597, 174, Russian Federation
31597, 205, "Taiwan, Province of China"
31597, 107, Japan
31597, 112, Democratic People's Republic of Korea
31597, 113, "Korea, Republic of"
31597, 25, Bhutan
31597, 44, China
31597, 99, India
32554, 146, Namibia
32554, 194, South Africa
35862, 167, Philippines
36458, 222, United States
36458, 222, United States
36458, 222, United States
40234, 128, Malaysia
40909, 128, Malaysia
41149, 128, Malaysia
41675, 128, Malaysia
43085, 51, Costa Rica
43219, 100, Indonesia
43612, 151, New Caledonia
43612, 164, Papua New Guinea
43612, 192, Solomon Islands
43829, 4, American Samoa
43829, 71, Fiji
44309, 138, Micronesia (Federated States of)
44568, 99, India
44759, 62, Ecuador
45194, 78, Gabon
49776, 100, Indonesia
49776, 128, Malaysia
49842, 100, Indonesia
49904, 100, Indonesia
49960, 100, Indonesia
50021, 100, Indonesia
50463, 167, Philippines
50463, 100, Indonesia
50463, 128, Malaysia
50463, 208, Thailand
50530, 128, Malaysia
50530, 208, Thailand
50530, 100, Indonesia
50530, 189, Singapore
50530, 145, Myanmar
50597, 100, Indonesia
50728, 100, Indonesia
50728, 128, Malaysia
50728, 189, Singapore
50796, 100, Indonesia
51461, 137, Mexico
51809, 13, Australia
52006, 128, Malaysia
52068, 100, Indonesia
52068, 164, Papua New Guinea
52130, 99, India
52399, 62, Ecuador
53486, 99, India
53969, 51, Costa Rica
53969, 163, Panama
54406, 137, Mexico
54889, 163, Panama
54889, 228, Venezuela
56014, 163, Panama
58390, 184, Sao Tome and Principe
58673, 51, Costa Rica
58735, 137, Mexico
60818, 39, Cape Verde
61193, 32, Brunei Darussalam
61193, 100, Indonesia
61193, 128, Malaysia
61711, 64, El Salvador
61711, 89, Guatemala
61711, 137, Mexico
62284, 107, Japan
62600, 107, Japan
62600, 205, "Taiwan, Province of China"
62600, 44, China
63003, 107, Japan
63003, 205, "Taiwan, Province of China"
67745, 128, Malaysia
68437, 137, Mexico
68437, 222, United States
69017, 164, Papua New Guinea
69017, 192, Solomon Islands
69097, 95, Honduras
70711, 137, Mexico
73495, 189, Singapore
73495, 100, Indonesia
73495, 128, Malaysia
73495, 167, Philippines
75709, 137, Mexico
75709, 222, United States
75836, 230, British Virgin Islands
75836, 231, United States Virgin Islands
75836, 222, United States
75836, 224, Uruguay
75836, 228, Venezuela
75836, 181, Saint Vincent and the Grenadines
75836, 199, Suriname
75836, 212, Trinidad and Tobago
75836, 166, Peru
75836, 171, Puerto Rico
75836, 178, Saint Kitts and Nevis
75836, 142, Montserrat
75836, 163, Panama
75836, 165, Paraguay
75836, 93, Haiti
75836, 133, Martinique
75836, 137, Mexico
75836, 75, French Guiana
75836, 87, Guadeloupe
75836, 92, Guyana
75836, 59, Dominica
75836, 60, Dominican Republic
75836, 62, Ecuador
75836, 30, Brazil
75836, 47, Colombia
75836, 53, Cuba
75836, 9, Antigua and Barbuda
75836, 10, Argentina
75836, 19, Barbados
76481, 236, Democratic Republic of the Congo
77401, 221, United Kingdom
77401, 235, Yugoslavia
77401, 267, Serbia
77401, 196, Spain
77401, 203, Switzerland
77401, 214, Turkey
77401, 149, Netherlands
77401, 173, Romania
77401, 174, Russian Federation
77401, 84, Greece
77401, 97, Hungary
77401, 105, Italy
77401, 55, Czech Republic
77401, 73, France
77401, 81, Germany
77401, 14, Austria
77401, 21, Belgium
77401, 33, Bulgaria
84809, 137, Mexico
84809, 222, United States
87333, 222, United States
88022, 47, Colombia
88022, 62, Ecuador
88101, 62, Ecuador
88419, 62, Ecuador
88637, 62, Ecuador
100018, 62, Ecuador
100018, 47, Colombia
100452, 62, Ecuador
100604, 62, Ecuador
100759, 47, Colombia
100759, 163, Panama
100759, 26, Bolivia
100759, 62, Ecuador
100759, 166, Peru
100759, 51, Costa Rica
101652, 167, Philippines
102460, 208, Thailand
104810, 137, Mexico
104952, 137, Mexico
105235, 137, Mexico
105235, 222, United States
105431, 118, Lebanon
105431, 204, Syrian Arab Republic
105431, 214, Turkey
105431, 84, Greece
105431, 104, Israel
105431, 108, Jordan
105431, 54, Cyprus
105969, 106, Jamaica
106108, 194, South Africa
106243, 193, Somalia
106312, 30, Brazil
106312, 165, Paraguay
106502, 10, Argentina
106557, 10, Argentina
106557, 26, Bolivia
106615, 166, Peru
106737, 185, Saudi Arabia
106737, 234, Yemen
106802, 146, Namibia
106965, 10, Argentina
107368, 165, Paraguay
107368, 166, Peru
107368, 10, Argentina
107368, 26, Bolivia
107368, 30, Brazil
107575, 53, Cuba
107575, 222, United States
107643, 26, Bolivia
107769, 163, Panama
107832, 222, United States
107892, 30, Brazil
109940, 208, Thailand
109940, 100, Indonesia
109940, 189, Singapore
109940, 229, Viet Nam
109940, 128, Malaysia
111115, 126, Madagascar
155976, 13, Australia
156271, 13, Australia
156686, 13, Australia
157400, 13, Australia
158200, 194, South Africa
158883, 194, South Africa
159997, 194, South Africa
160571, 126, Madagascar
161383, 135, Mauritius
161383, 176, Reunion
161443, 194, South Africa
169947, 137, Mexico
170184, 30, Brazil
170752, 267, Serbia
170752, 84, Greece
170752, 105, Italy
170752, 235, Yugoslavia
170810, 126, Madagascar
170865, 188, Sierra Leone
172795, 44, China
173215, 171, Puerto Rico
173353, 30, Brazil
173441, 126, Madagascar
173441, 48, Comoros
173717, 164, Papua New Guinea
174055, 76, French Polynesia
174618, 164, Papua New Guinea
174618, 100, Indonesia
174952, 164, Papua New Guinea
175279, 126, Madagascar
175413, 53, Cuba
175680, 62, Ecuador
175680, 47, Colombia
175750, 137, Mexico
175750, 89, Guatemala
175750, 163, Panama
175750, 22, Belize
175750, 51, Costa Rica
175750, 153, Nicaragua
175891, 47, Colombia
176315, 47, Colombia
176386, 47, Colombia
176585, 100, Indonesia
176585, 128, Malaysia
176652, 100, Indonesia
179048, 119, Lesotho
179048, 194, South Africa
179280, 194, South Africa
