Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, stokoei, NULL, 5164, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, izardi, NULL, 5165, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, westwoodi, NULL, 5161, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, neli, NULL, 5162, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, cameroni, NULL, 5163, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, haughtoni, NULL, 5158, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, barnardi, NULL, 5159, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, eastmani, NULL, 5160, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, berrisfordi, NULL, 5155, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, thunbergi, NULL, 5156, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, whitei, NULL, 5157, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, primosi, NULL, 5152, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, cassoni, NULL, 5153, A
Animalia, ARTHROPODA, INSECTA, COLEOPTERA, LUCANIDAE, Colophon, montisatris, NULL, 5154, A
Animalia, ARTHROPODA, INSECTA, LEPIDOPTERA, PAPILIONIDAE, Bhutanitis, thaidina, NULL, 2798, A
Animalia, ARTHROPODA, INSECTA, LEPIDOPTERA, PAPILIONIDAE, Bhutanitis, lidderdalii, NULL, 2795, A
Animalia, ARTHROPODA, INSECTA, LEPIDOPTERA, PAPILIONIDAE, Bhutanitis, ludlowi, NULL, 2796, A
Animalia, ARTHROPODA, INSECTA, LEPIDOPTERA, PAPILIONIDAE, Bhutanitis, mansfieldi, NULL, 2797, A
Animalia, ARTHROPODA, ARACHNIDA, ARANEAE, THERAPHOSIDAE, Brachypelma, embrithes, NULL, 2980, A
Animalia, ARTHROPODA, ARACHNIDA, ARANEAE, THERAPHOSIDAE, Brachypelma, sabulosum, NULL, 2976, A
