Kingdom,ComName,LanDesc,SpcRecID
Animalia,Fleshy Artichoke Coral,English,54
Animalia,Pied Sparrowhawk,English,88
Animalia,Pied Goshawk,English,88
Animalia,Gavilán pío,Spanish,88
Animalia,Autour pie,French,88
Animalia,Little Banded Sparrowhawk,English,89
Animalia,Shikra,English,89
Animalia,Gavilán chikra,Spanish,89
Animalia,Épervier shikra,French,89
Animalia,Bicolored Sparrowhawk,English,90
Animalia,Bicolored Hawk,English,90
Animalia,Gavilán bicolor,Spanish,90
Animalia,Esparvero bicolor,Spanish,90
Animalia,Azor bicolor,Spanish,90
Animalia,Gavilán pantalón,Spanish,90
Animalia,Épervier bicolore,French,90
Animalia,New Britain Sparrowhawk,English,91
Animalia,Gavilancito de Nueva Bretaña,Spanish,91
Animalia,Épervier de Nouvelle-Bretagne,French,91
Animalia,Red-collared Sparrowhawk,English,91
Animalia,Levant Sparrowhawk,English,92
Animalia,Gavilán griego,Spanish,92
Animalia,Épervier à pieds courts,French,92
Animalia,Épervier à pieds courts,French,92
Animalia,Gavilán Griego,Spanish,92
Animalia,Nicobar Shikra,English,93
Animalia,Nicobar Sparrowhawk,English,93
Animalia,Gavilán de Nicobar,Spanish,93
Animalia,Épervier des Nicobar,French,93
Animalia,Chestnut-bellied Sparrowhawk,English,94
Animalia,Chestnut-flanked Sparrowhawk,English,94
Animalia,Gavilán pechirrojo,Spanish,94
Animalia,Gavilán flanquirrojo,Spanish,94
Animalia,Autour à flancs roux,French,94
Animalia,Collared Sparrowhawk,English,96
Animalia,Gavilán acollarado,Spanish,96
Animalia,Épervier à collier roux,French,96
Animalia,Semi-collared Sparrowhawk,English,97
Animalia,Semi-collared Hawk,English,97
Animalia,Azer semicollarejo,Spanish,97
Animalia,Gavilán acollarado,Spanish,97
Animalia,Gavilancito torcaz,Spanish,97
Animalia,Épervier à collier interrompu,French,97
Animalia,Cooper's Hawk,English,98
Animalia,Gavilán de Cooper,Spanish,98
Animalia,Épervier de Cooper,French,98
Animalia,Moluccan Sparrowhawk,English,99
Animalia,Rufous-necked Sparrowhawk,English,99
Animalia,Gavilancito moluqueño,Spanish,99
Animalia,Épervier à gorge grise,French,99
Animalia,Red-thighed Sparrowhawk,English,101
Animalia,Gavilancito de Hartlaub,Spanish,101
Animalia,Gavilancito muslirrojo,Spanish,101
