Kingdom,SpcRecID, CtyRecID, CtyShort
Animalia,2795,44, China
Animalia,2796,25, Bhutan
Animalia,2797,44, China
Animalia,2795,25, Bhutan
Animalia,2795,99, India
Animalia,2795,145, Myanmar
Animalia,2376,197, Sri Lanka
Animalia,2795,208, Thailand
Animalia,2798,44, China
Animalia,2975,51, Costa Rica
Animalia,2970,222, United States of America
Animalia,2967,51, Costa Rica
Animalia,2968,51, Costa Rica
Animalia,2973,137, Mexico
Animalia,2980,163, Panama
Animalia,2976,89, Guatemala
Animalia,2978,137, Mexico
Animalia,2969,137, Mexico
Animalia,2972,137, Mexico
Animalia,2977,137, Mexico
Animalia,2978,22, Belize
Animalia,2978,89, Guatemala
Animalia,2978,95, Honduras
Animalia,2971,137, Mexico
Animalia,2974,137, Mexico
Animalia,2967,95, Honduras
Animalia,2978,222, United States of America
Animalia,2978,64, El Salvador
Animalia,2967,153, Nicaragua
Animalia,2978,51, Costa Rica
Animalia,2967,89, Guatemala
Animalia,5152,194, South Africa
Animalia,5153,194, South Africa
Animalia,5155,194, South Africa
Animalia,5156,194, South Africa
Animalia,5160,194, South Africa
Animalia,5158,194, South Africa
Animalia,5159,194, South Africa
Animalia,5154,194, South Africa
Animalia,5162,194, South Africa
Animalia,5163,194, South Africa
Animalia,5157,194, South Africa
Animalia,5164,194, South Africa
Animalia,5165,194, South Africa
Animalia,5161,194, South Africa
Animalia,2897,23, Benin
Animalia,2897,28, Botswana
Animalia,2897,35, Burundi
Animalia,2897,37, Cameroon
Animalia,2897,6, Angola
Animalia,2897,42, Chad
Animalia,2897,49, Congo
Animalia,2897,34, Burkina Faso
Animalia,2897,65, Equatorial Guinea
Animalia,2897,68, Ethiopia
Animalia,2897,41, Central African Republic
Animalia,2897,79, Gambia
Animalia,2897,82, Ghana
Animalia,2897,56, Côte d'Ivoire
Animalia,2897,91, Guinea Bissau
Animalia,2897,110, Kenya
Animalia,2897,78, Gabon
Animalia,2897,120, Liberia
Animalia,2897,127, Malawi
Animalia,2897,90, Guinea
Animalia,2897,134, Mauritania
Animalia,2897,144, Mozambique
Animalia,2897,119, Lesotho
Animalia,2897,154, Niger
Animalia,2897,155, Nigeria
Animalia,2897,130, Mali
Animalia,2897,186, Senegal
Animalia,2897,188, Sierra Leone
Animalia,2897,146, Namibia
Animalia,2897,201, Swaziland
Animalia,2897,207, United Republic of Tanzania
Animalia,2897,175, Rwanda
Animalia,2897,218, Uganda
Animalia,2897,236, Democratic Republic of the Congo
Animalia,2897,194, South Africa
Animalia,2897,238, Zimbabwe
Animalia,2897,193, Somalia
Animalia,2897,209, Togo
Animalia,2899,6, Angola
Animalia,2899,41, Central African Republic
Animalia,2897,237, Zambia
Animalia,2899,56, Côte d'Ivoire
Animalia,2899,65, Equatorial Guinea
Animalia,2897,66, Eritrea
Animalia,2899,82, Ghana
Animalia,2899,120, Liberia
Animalia,2899,49, Congo
Animalia,2899,37, Cameroon
Animalia,2899,155, Nigeria
Animalia,2899,78, Gabon
Animalia,2899,236, Democratic Republic of the Congo
Animalia,2897,270, South Sudan
Animalia,2899,188, Sierra Leone
Animalia,2899,90, Guinea
Animalia,2897,271, Sudan
Animalia,2899,218, Uganda
Animalia,1181,116, Lao People's Democratic Republic
Animalia,1181,145, Myanmar
Animalia,1181,36, Cambodia
Animalia,1181,189, Singapore
Animalia,1181,100, Indonesia
Animalia,1181,229, Viet Nam
Animalia,1181,208, Thailand
Animalia,1181,99, India
Animalia,1181,32, Brunei Darussalam
Animalia,1181,128, Malaysia
Animalia,1820,137, Mexico
Animalia,2173,18, Bangladesh
Animalia,2173,99, India
Animalia,2385,47, Colombia
Animalia,2385,62, Ecuador
Animalia,2385,166, Peru
Animalia,2385,228, Venezuela (Bolivarian Republic of)
Animalia,2385,26, Bolivia
Animalia,2848,228, Venezuela (Bolivarian Republic of)
Animalia,2849,47, Colombia
Animalia,2848,47, Colombia
Animalia,2850,47, Colombia
Animalia,2850,62, Ecuador
Animalia,2848,62, Ecuador
Animalia,1275,163, Panama
Animalia,2850,166, Peru
Animalia,2849,62, Ecuador
Animalia,1014,51, Costa Rica
Animalia,1275,47, Colombia
Animalia,1275,62, Ecuador
Animalia,1037,166, Peru
Animalia,1036,89, Guatemala
Animalia,1031,222, United States of America
Animalia,1018,228, Venezuela (Bolivarian Republic of)
Animalia,1016,47, Colombia
Animalia,1029,95, Honduras
Animalia,1039,92, Guyana
Animalia,1035,166, Peru
Animalia,1034,92, Guyana
Animalia,1038,89, Guatemala
Animalia,1018,92, Guyana
Animalia,1035,92, Guyana
Animalia,1011,62, Ecuador
Animalia,1027,62, Ecuador
Animalia,1015,64, El Salvador
Animalia,1012,62, Ecuador
Animalia,1011,47, Colombia
Animalia,1011,51, Costa Rica
Animalia,1013,89, Guatemala
Animalia,1011,153, Nicaragua
Animalia,1011,163, Panama
Animalia,1013,222, United States of America
Animalia,1012,166, Peru
Animalia,1013,64, El Salvador
Animalia,1015,95, Honduras
Animalia,1013,95, Honduras
Animalia,1013,137, Mexico
Animalia,1015,51, Costa Rica
Animalia,1015,22, Belize
Animalia,1015,89, Guatemala
Animalia,1017,30, Brazil
Animalia,1015,137, Mexico
Animalia,1015,153, Nicaragua
Animalia,1018,75, French Guiana
Animalia,1017,10, Argentina
Animalia,1017,26, Bolivia
Animalia,1018,212, Trinidad and Tobago
Animalia,1017,166, Peru
Animalia,1018,30, Brazil
Animalia,1020,22, Belize
Animalia,1018,86, Grenada
Animalia,1018,199, Suriname
Animalia,1020,95, Honduras
Animalia,1019,47, Colombia
Animalia,1019,51, Costa Rica
