Kingdom,SpcRecID, LegListing, LegDateListed, CountryRecID, LegNotes
Animalia,90, III/r, 1977-10-24,57, NULL
Animalia,90, III/w, 1979-06-28,57, NULL
Animalia,90, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
Animalia,98, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
Animalia,98, III/r, 1977-10-24,57, NULL
Animalia,98, III/w, 1979-06-28,57, NULL
Animalia,129, III/r, 1977-10-24,57, NULL
Animalia,129, III/w, 1979-06-28,57, NULL
Animalia,129, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
Animalia,130, III, 1976-10-28,51, Listed under Accipitridae spp. (Costa Rican species)
Animalia,130, III/r, 1977-10-24,57, NULL
Animalia,130, III/w, 1979-06-28,57, NULL
Animalia,219, I/r, 1991-03-18,146, NULL
Animalia,222, I/r, 1975-07-09,38, NULL
Animalia,222, I/w, 1977-04-15,38, NULL
Animalia,223, II/r, 1975-07-09,38, NULL
Animalia,223, II/w, 1982-10-29,38, NULL
Animalia,226, I/r, 1975-07-09,38, NULL
Animalia,226, I/w, 1979-06-28,38, Reservation withdrawn as species transferred from I to II
Animalia,230, I/r, 1983-07-29,14, NULL
Animalia,230, I/w, 1989-01-06,14, NULL
Animalia,512, I/r, 1983-07-29,14, NULL
Animalia,512, I/w, 1989-01-06,14, NULL
Animalia,660, II/r, 1981-06-06,203, NULL
Animalia,660, II/r, 1981-06-06,122, NULL
Animalia,661, II/r, 1981-06-06,122, NULL
Animalia,661, II/r, 1981-06-06,203, NULL
Animalia,662, II/r, 1981-06-06,122, NULL
Animalia,662, II/r, 1981-06-06,203, NULL
Animalia,663, II/r, 1981-06-06,122, NULL
Animalia,663, II/r, 1981-06-06,203, NULL
Animalia,664, II/r, 1981-06-06,122, NULL
Animalia,664, II/r, 1981-06-06,203, NULL
Animalia,665, II/r, 1981-06-06,122, NULL
Animalia,665, II/r, 1981-06-06,203, NULL
Animalia,666, II/r, 1981-06-06,122, NULL
Animalia,666, II/r, 1981-06-06,203, NULL
Animalia,667, II/r, 1981-06-06,122, NULL
Animalia,667, II/r, 1981-06-06,203, NULL
Animalia,668, II/r, 1981-06-06,122, NULL
Animalia,668, II/r, 1981-06-06,203, NULL
Animalia,679, III/r, 1977-10-24,57, NULL
Animalia,679, III/w, 1984-01-01,57, NULL
Animalia,679, III, 1976-07-14,224, NULL
Animalia,681, III/r, 1977-10-24,57, NULL
Animalia,681, III/w, 1984-01-01,57, NULL
Animalia,681, III, 1976-02-26,82, NULL
Animalia,681, Deleted, 2007-03-04,82, NULL
Animalia,682, III, 1987-04-13,95, NULL
Animalia,682, III/r, 1987-04-13,14, NULL
Animalia,682, III/w, 1990-09-26,14, NULL
Animalia,699, III/w, 1990-09-26,14, NULL
