Kingdom,PhyName,ClaName,OrdName,FamName,GenName,SpcName,SpcInfraEpithet,SpcRecID,SpcStatus,AcceptedSpcRecID
Animalia,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Micromussa,minuta,NULL,42324,S,55
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,badius,NULL,95202,S,89
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,chilensis,NULL,42715,S,90
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Sparvius,bicolor,NULL,95224,S,90
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,brachyurus,NULL,95220,S,91
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,brevipes,NULL,95203,S,92
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,butleri,NULL,95204,S,93
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Sparvius,cirrhocephalus,NULL,95218,S,96
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,cirrhocephalus,NULL,95219,S,96
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,cooperii,NULL,95225,S,98
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Nisus,erythropus,NULL,95213,S,101
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,fasciatus,NULL,95206,S,102
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,francesiae,NULL,102907,S,103
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,gentilis,NULL,95227,S,104
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,griseiceps,NULL,95199,S,105
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,gularis,NULL,95215,S,106
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,virgatus,gularis,28867,S,106
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,henicogrammus,NULL,95210,S,109
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,henstii,NULL,95226,S,110
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,eichhorni,imitator,95211,S,111
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Urospizias,melanochlamys,NULL,95208,S,114
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,meyerianus,NULL,95228,S,116
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,minullus,NULL,95214,S,117
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Erythrospizias,trinotatus,nanus,95217,S,118
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,nisus,NULL,95222,S,119
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,hiogaster,NULL,42714,S,120
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,novaehollandiae,NULL,95207,S,120
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,griseogularis,NULL,28869,S,120
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,poliogaster,NULL,95197,S,123
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Nisus,virgatus,rhodogaster,95221,S,125
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Astur,rufitorques,NULL,95209,S,126
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,soloensis,NULL,95205,S,128
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,chionogaster,NULL,95,S,129
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,erythronemius,NULL,100,S,129
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,ventralis,NULL,135,S,129
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,superciliosus,NULL,95212,S,130
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,tachiro,NULL,95200,S,131
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter,tachiro,toussenelii,28870,S,132
Animalia,CHORDATA,AVES,FALCONIFORMES,ACCIPITRIDAE,Nisus,toussenelii,NULL,95201,S,132
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,trivirgatus,NULL,95198,S,134
Animalia,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,virgatus,NULL,95216,S,136
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,arquatus,NULL,28587,S,137
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Acerodon,lucifer,NULL,141,S,139
Animalia,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Pteropus,leucotis,NULL,28545,S,140
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,cassidix,NULL,98032,S,144
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Rhyticeros,cassidix,NULL,28620,S,144
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,comatus,NULL,27944,S,145
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,comatus,NULL,98020,S,145
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,corrugatus,NULL,98029,S,146
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Rhyticeros,corrugatus,NULL,28995,S,146
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,everetti,NULL,28996,S,147
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Rhytidoceros,everetti,NULL,98036,S,147
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Rhyticeros,leucocephalus,NULL,28997,S,148
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,leucocephalus,NULL,98031,S,148
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,narcondami,NULL,28998,S,149
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,nipalensis,NULL,98028,S,150
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,plicatus,NULL,98035,S,151
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,plicatus,NULL,28999,S,151
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,subruficollis,NULL,29000,S,152
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Aceros,plicatus,subruficollis,27859,S,152
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,subruficollis,NULL,98034,S,152
Animalia,CHORDATA,AVES,CORACIIFORMES,BUCEROTIDAE,Buceros,undulatus,NULL,98033,S,153
