Kingdom, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Plantae, BROMELIALES, BROMELIACEAE, Tillandsia, kammii, NULL, 69097, A
Plantae, CARYOPHYLLALES, CACTACEAE, Selenicereus, atropilosus, NULL, 27650, A
Plantae, CARYOPHYLLALES, CACTACEAE, Cereus, phatnospermus, NULL, 106312, A
Plantae, CARYOPHYLLALES, CACTACEAE, Pterocactus, tuberosus, NULL, 16337, A
Plantae, CARYOPHYLLALES, CACTACEAE, Rhipsalis, goebeliana, NULL, 16823, A
Plantae, CARYOPHYLLALES, CACTACEAE, Selenicereus, coniflorus, NULL, 22181, A
Plantae, CARYOPHYLLALES, CACTACEAE, Pilosocereus, pachycladus, NULL, 107892, A
Plantae, CARYOPHYLLALES, CACTACEAE, Pilosocereus, azulensis, NULL, 16280, A
Plantae, CARYOPHYLLALES, CACTACEAE, Pilosocereus, chrysacanthus, NULL, 104810, A
Plantae, CARYOPHYLLALES, CACTACEAE, Parodia, hausteiniana, NULL, 107643, A
Plantae, CARYOPHYLLALES, CACTACEAE, Peniocereus, greggii, NULL, 75709, A
Plantae, CARYOPHYLLALES, CACTACEAE, Pereskia, aculeata, NULL, 75836, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, rastrera, NULL, 27596, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, leptocaulis, NULL, 105235, A
Plantae, CARYOPHYLLALES, CACTACEAE, Parodia, erubescens, NULL, 15751, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, atrispina, NULL, 68437, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, brasiliensis, NULL, 107368, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, munzii, NULL, 26422, A
Plantae, CARYOPHYLLALES, CACTACEAE, Neolloydia, conoidea, NULL, 84809, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, sphaerocarpa, NULL, 107832, A
Plantae, CARYOPHYLLALES, CACTACEAE, Opuntia, invicta, NULL, 29559, A
Plantae, CARYOPHYLLALES, CACTACEAE, Mammillaria, compressa, centralifera, 14559, A
Plantae, CARYOPHYLLALES, CACTACEAE, Mammillaria, beneckei, NULL, 15637, A
Plantae, CARYOPHYLLALES, CACTACEAE, Mammillaria, hutchisoniana, NULL, 15692, A
Plantae, CARYOPHYLLALES, CACTACEAE, Gymnocalycium, rosae, NULL, 13728, A
Plantae, CARYOPHYLLALES, CACTACEAE, Gymnocalycium, gibbosum, NULL, 106965, A
Plantae, CARYOPHYLLALES, CACTACEAE, Mammillaria, tepexicensis, NULL, 104952, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinopsis, pugionacantha, pugionacantha, 30423, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinopsis, bruchii, NULL, 106502, A
Plantae, CARYOPHYLLALES, CACTACEAE, Ferocactus, macrodiscus, septentrionalis, 12946, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinocereus, sciurus, sciurus, 29500, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinopsis, mamillosa, NULL, 106557, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinopsis, obrepanda, calorubra, 17178, A
Plantae, CARYOPHYLLALES, CACTACEAE, Uebelmannia, pectinifera, flavispina, 170184, A
Plantae, CARYOPHYLLALES, CACTACEAE, Corryocactus, brevispinus, NULL, 106615, A
Plantae, CARYOPHYLLALES, CACTACEAE, Echinocereus, parkeri, mazapilensis, 11913, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, ramispina, NULL, 8359, A
Plantae, Cyatheales, CYATHEACEAE, Sphaeropteris, pilulifera, NULL, 174618, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, bahiensis, NULL, 173353, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, caracasana, boliviensis, 8039, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, rufa, NULL, 8277, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, societarum, NULL, 174055, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, bipinnata, NULL, 52399, A
Plantae, Cyatheales, CYATHEACEAE, Cyathea, salvinii, NULL, 29614, S
