Kingdom,SpcRecID, CtyRecID, CtyShort
Plantae,2220,84, Greece
Plantae,2220,214, Turkey
Plantae,5114,194, South Africa
Plantae,8039,228, Venezuela
Plantae,8039,26, Bolivia
Plantae,8039,47, Colombia
Plantae,8039,62, Ecuador
Plantae,8277,47, Colombia
Plantae,8277,30, Brazil
Plantae,8277,26, Bolivia
Plantae,8359,100, Indonesia
Plantae,8359,128, Malaysia
Plantae,8843,13, Australia
Plantae,9200,126, Madagascar
Plantae,9258,126, Madagascar
Plantae,9314,126, Madagascar
Plantae,10365,127, Malawi
Plantae,10365,144, Mozambique
Plantae,10723,194, South Africa
Plantae,10958,137, Mexico
Plantae,11667,100, Indonesia
Plantae,11667,128, Malaysia
Plantae,11913,137, Mexico
Plantae,11976,13, Australia
Plantae,12320,30, Brazil
Plantae,12379,47, Colombia
Plantae,12379,228, Venezuela
Plantae,12445,26, Bolivia
Plantae,12445,166, Peru
Plantae,12509,116, Lao People's Democratic Republic
Plantae,12509,208, Thailand
Plantae,12509,25, Bhutan
Plantae,12509,44, China
Plantae,12509,99, India
Plantae,12509,128, Malaysia
Plantae,12509,145, Myanmar
Plantae,12946,137, Mexico
Plantae,13728,10, Argentina
Plantae,14505,13, Australia
Plantae,14559,137, Mexico
Plantae,15071,13, Australia
Plantae,15637,137, Mexico
Plantae,15692,137, Mexico
Plantae,15751,224, Uruguay
Plantae,16280,30, Brazil
Plantae,16337,10, Argentina
Plantae,16759,51, Costa Rica
Plantae,16759,163, Panama
Plantae,16823,26, Bolivia
Plantae,17178,26, Bolivia
Plantae,17781,51, Costa Rica
Plantae,17781,89, Guatemala
Plantae,17781,95, Honduras
Plantae,17845,51, Costa Rica
Plantae,17906,128, Malaysia
Plantae,17967,51, Costa Rica
Plantae,18038,51, Costa Rica
Plantae,18173,51, Costa Rica
Plantae,19362,22, Belize
Plantae,19362,89, Guatemala
Plantae,20903,89, Guatemala
Plantae,20903,137, Mexico
Plantae,20961,137, Mexico
Plantae,21018,137, Mexico
Plantae,21191,193, Somalia
Plantae,22181,93, Haiti
Plantae,22181,137, Mexico
Plantae,24285,197, Sri Lanka
Plantae,24473,68, Ethiopia
Plantae,26422,222, United States
Plantae,27596,137, Mexico
Plantae,27650,137, Mexico
Plantae,27767,193, Somalia
Plantae,28387,194, South Africa
Plantae,28445,194, South Africa
Plantae,28616,194, South Africa
Plantae,29390,51, Costa Rica
Plantae,29500,137, Mexico
Plantae,29559,137, Mexico
Plantae,29614,153, Nicaragua
Plantae,29614,64, El Salvador
Plantae,29614,95, Honduras
Plantae,29614,137, Mexico
Plantae,30065,194, South Africa
Plantae,30246,151, New Caledonia
Plantae,30306,151, New Caledonia
Plantae,30490,6, Angola
Plantae,30558,194, South Africa
Plantae,30558,201, Swaziland
Plantae,31399,44, China
Plantae,31399,25, Bhutan
Plantae,31399,99, India
Plantae,31399,148, Nepal
Plantae,31597,148, Nepal
Plantae,31597,174, Russian Federation
Plantae,31597,205,"Taiwan, Province of China"
Plantae,31597,107, Japan
Plantae,31597,112, Democratic People's Republic of Korea
Plantae,31597,113,"Korea, Republic of"
Plantae,31597,25, Bhutan
Plantae,31597,44, China
Plantae,31597,99, India
