Kingdom, PhyName, ClaName, OrdName, FamName, GenName, Spcname, SpcInfraepithet, Spcrecid, SpcStatus
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, nipponia, NULL, 98792, A
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, troctina, NULL, 98793, A
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, verbana, NULL, 98794, A
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, officinalis, NULL, 99178, S
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, orientalis, NULL, 105372, A
Animalia, ANNELIDA, HIRUDINOIDEA, ARHYNCHOBDELLIDA, HIRUDINIDAE, Hirudo, medicinalis, NULL, 10190, A
Animalia, ANNELIDA, OLIGOCHAETA, HAPLOTAXIDA, TUBIFICIDAE, Phallodrilus, macmasterae, NULL, 16869, A
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, LUTODRILIDAE, Lutodrilus, multivesiculatus, NULL, 12418, A
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, MEGASCOLECIDAE, Driloleirus, americanus, NULL, 6828, A
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, MEGASCOLECIDAE, Driloleirus, macelfreshi, NULL, 6829, A
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, MEGASCOLECIDAE, Megascolides, americanus, NULL, 13007, S
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, MEGASCOLECIDAE, Megascolides, australis, NULL, 13008, A
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, MEGASCOLECIDAE, Megascolides, macelfreshi, NULL, 13009, S
Animalia, ANNELIDA, OLIGOCHAETA, TUBICIFIDA, LUMBRICIDAE, Allolobophora, chlorocephala, NULL, 79346, A
Animalia, BRYOZOA, STENOLAEMATA, CYCLOSTOMATIDA, HORNERIDAE, Hornera, eburnea, NULL, 88901, S
Animalia, BRYOZOA, STENOLAEMATA, CYCLOSTOMATIDA, HORNERIDAE, Hornera, gravieri, NULL, 89194, S
Animalia, BRYOZOA, STENOLAEMATA, CYCLOSTOMATIDA, HORNERIDAE, Hornera, verrucosa, NULL, 90722, S
Animalia, BRYOZOA, STENOLAEMATA, CYCLOSTOMATIDA, HORNERIDAE, Hornera, lichenoides, NULL, 30670, A
Animalia, BRYOZOA, STENOLAEMATA, CYCLOSTOMATIDA, HORNERIDAE, Hornera, frondiculata , NULL, 30671, A
Animalia, BRYOZOA, GYMNOLAEMATA, CTENOSTOMATIDA, VICTORELLIDAE, Victorella, pavida, NULL, 73542, A
Animalia, BRYOZOA, GYMNOLAEMATA, CHEILOSTOMATIDA, BRYOCRYPTELLIDAE, Porella, antarctica, NULL, 88332, S
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Pseudoscaphirhynchus, kaufmanni, NULL, 76981, K
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Pseudoscaphirhynchus, fedtschenkoi, NULL, 76982, K
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Pseudoscaphirhynchus, hermanni, NULL, 76985, K
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, brevirostrum, NULL, 222, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, fulvescens, NULL, 223, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, naccarii, NULL, 224, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, nudiventris, NULL, 225, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, oxyrinchus, NULL, 226, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, ruthenus, NULL, 227, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, schrenckii, NULL, 228, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, stellatus, NULL, 229, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, sturio, NULL, 230, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, dabryanus, NULL, 231, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, gueldenstaedtii, NULL, 232, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, medirostris, NULL, 233, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, transmontanus, NULL, 234, A
Animalia, CHORDATA, ACTINOPTERYGII, ACIPENSERIFORMES, ACIPENSERIDAE, Acipenser, persicus, NULL, 235, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Centrostephanus, longispinus, NULL, 4132, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Centrostephanus, rodgersii, NULL, 92131, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Centrostephanus, tenuispinus, NULL, 92132, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, antillarum, NULL, 74764, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, savignyi, NULL, 74765, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, setosum, NULL, 74766, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, palmeri, NULL, 92047, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, mexicanum, NULL, 92048, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Diadema, paucispinum, NULL, 92049, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Echinothrix, calamaris, NULL, 74773, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Echinothrix, diadema, NULL, 92136, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Astropyga, radiata, NULL, 77060, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Chaetodiadema, granulatum, NULL, 92133, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Chaetodiadema, keiense, NULL, 92134, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Chaetodiadema, tuberculatum, NULL, 92135, A
Animalia, ECHINODERMATA, ECHINOIDEA, DIADEMATIOIDA, DIADEMATIDAE, Eremopyga, denudata, NULL, 92137, A
Animalia, ECHINODERMATA, ECHINOIDEA, ECHINIOIDA, ECHINIDAE, Paracentrotus, lividus, NULL, 16035, A
Animalia, ECHINODERMATA, ECHINOIDEA, ECHINIOIDA, ECHINIDAE, Echinus, esculentus, NULL, 7011, A
Animalia, ECHINODERMATA, ECHINOIDEA, ECHINIOIDA, ECHINOMETRIDAE, Echinometra, mathaei, NULL, 74772, A
Animalia, ECHINODERMATA, ECHINOIDEA, ECHINIOIDA, ECHINOMETRIDAE, Heterocentrotus, mammillatus, NULL, 74789, A
