Spcrecid, CtyRecID, CtyShort
98793, 3, Algeria
98793, 143, Morocco
98793, 213, Tunisia
98794, 2, Albania
98794, 11, Armenia
98794, 14, Austria
98794, 27, Bosnia and Herzegovina
98794, 33, Bulgaria
98794, 203, Switzerland
98794, 80, Georgia
98794, 84, Greece
98794, 97, Hungary
98794, 139, Republic of Moldova
98794, 268, Montenegro
98794, 173, Romania
98794, 174, Russian Federation
98794, 214, Turkey
98794, 219, Ukraine
98794, 225, Uzbekistan
98794, 267, Serbia
73542, 221, United Kingdom of Great Britain and Northern Ireland
18599, 206, Tajikistan
18599, 225, Uzbekistan
18599, 109, Kazakhstan
18600, 215, Turkmenistan
18600, 225, Uzbekistan
18600, 1, Afghanistan
18601, 215, Turkmenistan
18601, 225, Uzbekistan
18601, 206, Tajikistan
18601, 1, Afghanistan
222, 38, Canada
222, 222, United States of America
223, 38, Canada
223, 222, United States of America
224, 105, Italy
224, 268, Montenegro
224, 191, Slovenia
224, 84, Greece
224, 2, Albania
224, 52, Croatia
4132, 131, Malta
4132, 105, Italy
92131, 13, Australia
92131, 152, New Zealand
92131, 157, Norfolk Island
92132, 13, Australia
74764, 22, Belize
74764, 177, Saint Helena
74764, 30, Brazil
74764, 137, Mexico
74765, 194, South Africa
74765, 176, R้union
74765, 107, Japan
74765, 182, Samoa
74765, 88, Guam
74765, 205, "Taiwan, Province of China"
74765, 207, United Republic of Tanzania
74765, 50, Cook Islands
74765, 71, Fiji
74765, 223, United States Minor Outlying Islands
