Taxon ID,Manual ID
68470,Commercial species of freshwater stingrays in Brazil_EN.pdf
31,CITES Identification Guide Amphibians_EN.pdf
31,CITES Identification Guide Amphibians_FR.pdf
31,CITES Identification Guide Amphibians_ES.pdf
32,CITES Identification Guide Birds_EN.pdf
32,CITES Identification Guide Birds_FR.pdf
32,CITES Identification Guide Birds_ES.pdf
32,CITES Identification Guide Birds_TR.pdf
88,CITES Identification Guide Butterflies_EN.pdf
88,CITES Identification Guide Butterflies_FR.pdf
88,CITES Identification Guide Butterflies_ES.pdf
"1416,1528,1628,1557,1389,2406,351",CITES Identification Guide Sturgeons and Paddlefish_EN.pdf
"1416,1528,1628,1557,1389,2406,351",CITES Identification Guide Sturgeons and Paddlefish_FR.pdf
"1416,1528,1628,1557,1389,2406,351",CITES Identification Guide Sturgeons and Paddlefish_ES.pdf
"1416,1528,1628,1557,1389,2406,351",CITES Identification Guide Sturgeons and Paddlefish_TR.pdf
109,CITES Identification Guide Turtles and Tortoises_EN.pdf
109,CITES Identification Guide Turtles and Tortoises_FR.pdf
109,CITES Identification Guide Turtles and Tortoises_ES.pdf
109,CITES Identification Guide Turtles and Tortoises_TR.pdf
"12812,13257,12872,13622,13009,12737,13230,13598,13581,29641,13522,12931,13636,13460,13286,13202,13162,12721,12857",CITES Identification Guide Tropical Woods_EN.pdf
"12812,13257,12872,13622,13009,12737,13230,13598,13581,29641,13522,12931,13636,13460,13286,13202,13162,12721,12857",CITES Identification Guide Tropical Woods_FR.pdf
"12812,13257,12872,13622,13009,12737,13230,13598,13581,29641,13522,12931,13636,13460,13286,13202,13162,12721,12857",CITES Identification Guide Tropical Woods_ES.pdf
"12812,13257,12872,13622,13009,12737,13230,13598,13581,29641,13522,12931,13636,13460,13286,13202,13162,12721,12857",CITES Identification Guide Tropical Woods_TR.pdf
120,CITES Identification Guide Crocodilians_EN.pdf
120,CITES Identification Guide Crocodilians_FR.pdf
120,CITES Identification Guide Crocodilians_ES.pdf
120,CITES Identification Guide Crocodilians_TR.pdf
"101,90,116,132,134,109",CITES Identification Guide Hunting Trophies_EN.pdf
"101,90,116,132,134,109",CITES Identification Guide Hunting Trophies_FR.pdf
"101,90,116,132,134,109",CITES Identification Guide Hunting Trophies_ES.pdf
"101,90,116,132,134,109",CITES Identification Guide Hunting Trophies_TR.pdf
"90,101,116,141,132,134,143,84,140,138,128,107,147,65,120,144,91,109,12515,12426",Guide d'identification Des espèces du Tchad CITES_FR.pdf
109,Identification Manual for the Conservation of Turtles in China_EN.pdf
33,"Guía para la identificación de especies de tiburones, rayas y quimeras de Colombia_ES.pdf"
"90,136,101,141,132,134,143,84,140,138,128,111,107,147,69,113,120,144,91,109,83,67964,60,80,71,63,55,78,12463,12515,12469,12509",Guide d'identification Des espèces du Gabon CITES_FR.pdf
1507,Identification guide for Latin American tree frogs_EN.pdf
8117,Çiru Yasadisi Ticaret ve Sahtus Yünü ile Tanimlamak Için Teknikleri_TR.pdf
12491,CITES ve Kaktüsler_TR.pdf
33,Köpekbaligi Yüzgeçlerinin Teshisi_TR.pdf
"5769,9229,8084,1518,6391,9179,134,437",Fildisi ve fildisi türevleri için tanimlama kilavuzu_TR.pdf
