Date,Manual ID,Title,Lang,Master Document,Volume,Type,General/ Part,PDF Filename trimmed
1992,A-112.007.003.001,CITES ID Manual - Acinonyx jubatus,EN,,1,CITES ID Manual,General,A-112.007.003.001 Acinonyx jubatus_E.pdf
1992,A-112.007.003.001,Manual de identificación de la CITES - Acinonyx jubatus,ES,A-112.007.003.001,1,CITES ID Manual,General,A-112.007.003.001 Acinonyx jubatus_S.pdf
1984,A-112.002.001.001,CITES ID Manual - Ailuropoda melanoleuca,EN,,1,CITES ID Manual,General,A-112.002.001.001 Ailuropoda melanoleuca_E.pdf
1984,A-112.002.001.001,Manual de identificación de la CITES - Ailuropoda melanoleuca,ES,A-112.002.001.001,1,CITES ID Manual,General,A-112.002.001.001 Ailuropoda melanoleuca_S.pdf
1984,A-112.003.001.001,CITES ID Manual - Ailurus fulgens,EN,,1,CITES ID Manual,General,A-112.003.001.001 Ailurus fulgens_E.pdf
1984,A-112.003.001.001,Manual de identificación de la CITES - Ailurus fulgens,ES,A-112.003.001.001,1,CITES ID Manual,General,A-112.003.001.001 Ailurus fulgens_S.pdf
1984,A-106.001.004.004,CITES ID Manual - Allocebus trichotis,EN,,1,CITES ID Manual,General,A-106.001.004.004 Allocebus trichotis_E.pdf
1984,A-106.001.004.004,Manual de identificación de la CITES - Allocebus trichotis,ES,A-106.001.004.004,1,CITES ID Manual,General,A-106.001.004.004 Allocebus trichotis_S.pdf
1994,A-119.009.033.001,CITES ID Manual - Ammotragus lervia,EN,,1,CITES ID Manual,General,A-119.009.033.001 Ammotragus lervia_E.pdf
1994,A-119.009.033.001,Manuel d'identification de la CITES - Ammotragus lervia,FR,A-119.009.033.001,1,CITES ID Manual,General,A-119.009.033.001 Ammotragus lervia_F.pdf
1994,A-119.009.033.001,Manual de identificación de la CITES - Ammotragus lervia,ES,A-119.009.033.001,1,CITES ID Manual,General,A-119.009.033.001 Ammotragus lervia_S.pdf
1984,A-106.000.901.001,CITES ID Manual - Anathana ellioti,EN,,1,CITES ID Manual,General,A-106.000.901.001 Anathana ellioti_E.pdf
1984,A-106.008.901.001,Manual de identificación de la CITES - Anathana ellioti,ES,A-106.008.901.001,1,CITES ID Manual,General,A-106.008.901.001 Anathana ellioti_S.pdf
1985,A-119.008.001.001,CITES ID Manual - Antilocapra americana,EN,,1,CITES ID Manual,General,A-119.008.001.001 Antilocapra americana_E.pdf
1985,A-119.008.001.001,Manual de identificación de la CITES - Antilocapra americana,ES,A-119.008.001.001,1,CITES ID Manual,General,A-119.008.001.001 Antilocapra americana_S.pdf
1985,A-119.008.000.001,CITES ID Manual - Antilocapridae,EN,,1,CITES ID Manual,General,A-119.008.000.001 Antilocapridae general notes_E.pdf
1985,A-119.008.000.001,Manual de identificación de la CITES - Antilocapridae,ES,A-119.008.000.001,1,CITES ID Manual,General,A-119.008.000.001 Antilocapridae general notes_S.pdf
1987,A-119.009.023.001,CITES ID Manual - Antilope cervicapra,EN,,1,CITES ID Manual,General,A-119.009.023.001 Antilope cervicapra_E.pdf
