Date,Manual ID,Title,Lang,Master Document ID,Volume,Type,General/ Part,PDF Filename trimmed
1982,A-301.000.000.001,CITES ID Manual - Testudines - General notes,EN,,3,CITES ID Manual,General,A-301.000.000.001 Testudinata General Notes_E.pdf
1982,A-301.000.000.001,Manual de identificación de la CITES - Testudines - Notas generales,ES,A-301.000.000.001,3,CITES ID Manual,General,A-301.000.000.001 Testudinata general notes_S.pdf
1985,A-301.000.000.003,CITES ID Manual - Testudines,EN,,3,CITES ID Manual,General,A-301.000.000.003 Testudinata identification aid_E.pdf
1985,A-301.000.000.003,Manual de identificación de la CITES - Testudines,ES,A-301.000.000.003,3,CITES ID Manual,General,A-301.000.000.003 Testudinata identification aid_S.pdf
2005,A-301.001.020.001,CITES ID Manual - Notochelys platynota,EN,,3,CITES ID Manual,General,A-301.001.020.001 Notochelys platynota_E.pdf
2005,A-301.001.020.010,CITES ID Manual - Malayemys subtrijuga,EN,,3,CITES ID Manual,General,A-301.001.020.010 Malayemys subtrijuga.pdf
1985,A-301.002.000.001,CITES ID Manual - Chelidae,EN,,3,CITES ID Manual,General,A-301.002.000.001 Chelidae General Notes Ident Aid_E.pdf
1985,A-301.002.000.001,Manual de identificación de la CITES - Chelidae,ES,A-301.002.000.001,3,CITES ID Manual,General,A-301.002.000.001 Chelidae general notes_S.pdf
2005,A-301.002.002.001,CITES ID Manual - Chelodina mccordi,EN,,3,CITES ID Manual,General,A-301.002.002.001 Chelodina mccordi_E.pdf
1982,A-301.002.008.001,CITES ID Manual - Pseudemydura umbrina,EN,,3,CITES ID Manual,General,A-301.002.008.001 Pseudomydura umbrina_E.pdf
1982,A-301.002.008.001,Manual de identificación de la CITES - Pseudemydura umbrina,ES,A-301.002.008.001,3,CITES ID Manual,General,A-301.002.008.001 Pseudemydura umbrina_S.pdf
1985,A-301.003.000.001,CITES ID Manual - Cheloniidae,EN,,3,CITES ID Manual,General,A-301.003.000.001 Cheloniidae General Notes Ident Aid_E.pdf
1985,A-301.003.000.001,Manual de identificación de la CITES - Cheloniidae,ES,A-301.003.000.001,3,CITES ID Manual,General,A-301.003.000.001 Cheloniidae general notes_S.pdf
1982,A-301.003.001.001,CITES ID Manual - Caretta caretta,EN,,3,CITES ID Manual,General,A-301.003.001.001 Caretta caretta_E.pdf
1982,A-301.003.001.001,Manual de identificación de la CITES - Caretta caretta,ES,A-301.003.001.001,3,CITES ID Manual,General,A-301.003.001.001 Caretta caretta_S.pdf
1982,A-301.003.002.001,CITES ID Manual - Natator depressus,EN,,3,CITES ID Manual,General,A-301.003.002.001 Natator depressus_E.pdf
1982,A-301.003.002.001,Manual de identificación de la CITES - Natator depressus,ES,A-301.003.002.001,3,CITES ID Manual,General,A-301.003.002.001 Chelonia depressa_S.pdf
1982,A-301.003.002.002,CITES ID Manual - Chelonia mydas,EN,,3,CITES ID Manual,General,A-301.003.002.002 Chelonia mydas_E.pdf
1982,A-301.003.002.002,Manual de identificación de la CITES - Chelonia mydas,ES,A-301.003.002.002,3,CITES ID Manual,General,A-301.003.002.002 Chelonia mydas_S.pdf
1982,A-301.003.003.001,CITES ID Manual - Eretmochelys imbricata,EN,,3,CITES ID Manual,General,A-301.003.003.001 Eretmochelys imbricata_E.pdf
1982,A-301.003.003.001,Manual de identificación de la CITES - Eretmochelys imbricata,ES,A-301.003.003.001,3,CITES ID Manual,General,A-301.003.003.001 Eretmochelys imbricata_S.pdf
1982,A-301.003.004.001,CITES ID Manual - Lepidochelys kempii,EN,,3,CITES ID Manual,General,A-301.003.004.001 Lepidochelys kempii_E.pdf
1982,A-301.003.004.001,Manual de identificación de la CITES - Lepidochelys kempii,ES,A-301.003.004.001,3,CITES ID Manual,General,A-301.003.004.001 Lepidochelys kempii_S.pdf
1982,A-301.003.004.002,CITES ID Manual - Lepidochelys olivacea,EN,,3,CITES ID Manual,General,A-301.003.004.002 Lepidochelys olivacea_E.pdf
