Taxon ID,Manual ID
"437,9179,136,10761,6391,8084,9229,183,5769",C-100.000.000.001
"437,9179,136,10761,6391,8084,9229,183,5769",C-100.000.000.001
"437,9179,136,10761,6391,8084,9229,183,5769",C-100.000.000.001
136,C-111.000.000.001
136,C-111.000.000.001
136,C-111.000.000.002
136,C-111.000.000.002
34,F-100.000.000.002
34,F-100.000.000.002
132,F-106.000.000.001
132,F-106.000.000.001
132,F-106.000.000.001
746,F-106.000.000.002
746,F-106.000.000.002
10615,F-106.008.002.006
9017,F-106.008.002.009
9017,F-106.008.002.009
9150,F-106.008.002.011
9150,F-106.008.002.011
3758,F-106.008.006.002
3758,F-106.008.006.002
4790,F-106.008.006.004
4790,F-106.008.006.004
101,F-112.000.000.001
101,F-112.000.000.001
101,F-112.000.000.001
101,F-112.000.000.003
101,F-112.000.000.003
346,F-112.001.000.001
346,F-112.001.000.001
346,F-112.001.000.001
346,F-112.001.000.003
346,F-112.001.000.003
9412,F-112.001.003.002
9412,F-112.001.003.002
4442,F-112.001.003.003
4442,F-112.001.003.003
4442,F-112.001.003.005
4442,F-112.001.003.005
5656,F-112.001.004.001
8023,F-112.001.007.001
8023,F-112.001.007.001
8142,F-112.001.007.002a
8142,F-112.001.007.002a
8201,F-112.001.007.003a
8201,F-112.001.007.003a
8201,F-112.001.007.003b
8201,F-112.001.007.003b
9199,F-112.001.015.002
9199,F-112.001.015.002
5115,F-112.001.015.010
5115,F-112.001.015.010
665,F-112.004.000.002
665,F-112.004.000.002
665,F-112.004.000.002
5285,F-112.004.021.001
5285,F-112.004.021.001
7275,F-112.004.022.001
7275,F-112.004.022.001
4227,F-112.004.023.001
4227,F-112.004.023.001
7817,F-112.004.023.002
7817,F-112.004.023.002
4391,F-112.004.023.003
4391,F-112.004.023.003
10941,F-112.004.023.004
9899,F-112.004.023.005
9899,F-112.004.023.005
7181,F-112.004.023.006
7181,F-112.004.023.006
5716,F-112.004.023.007
5716,F-112.004.023.007
6787,F-112.004.025.000
6787,F-112.004.025.001
548,F-112.005.000.001
548,F-112.005.000.001
548,F-112.005.000.001
2582,F-112.005.001.000
7442,F-112.005.004.002
7442,F-112.005.004.002
10223,F-112.005.005.001
10223,F-112.005.005.001
11288,F-112.005.005.004
11288,F-112.005.005.004
473,F-112.007.000.001
473,F-112.007.000.001
473,F-112.007.000.001
473,F-112.007.000.003
473,F-112.007.000.003
66086,F-112.007.001.001
66086,F-112.007.001.001
10598,F-112.007.001.003
10598,F-112.007.001.003
4645,F-112.007.001.005
4645,F-112.007.001.005
7300,F-112.007.001.006
7300,F-112.007.001.006
9395,F-112.007.001.007
9395,F-112.007.001.007
98332,F-112.007.001.008
98332,F-112.007.001.008
6330,F-112.007.001.009
6330,F-112.007.001.009
3167,F-112.007.001.010
3167,F-112.007.001.010
98335,F-112.007.001.013
98335,F-112.007.001.013
7414,F-112.007.001.014
98338,F-112.007.001.015
98338,F-112.007.001.016
9009,F-112.007.001.017
10120,F-112.007.001.020
9151,F-112.007.001.023
9151,F-112.007.001.023
4992,F-112.007.001.024
4992,F-112.007.001.024
9160,F-112.007.001.025
9160,F-112.007.001.025
7300,F-112.007.001.026
7300,F-112.007.001.026
35359,F-112.007.001.027
35359,F-112.007.001.027
3399,F-112.007.001.028
3399,F-112.007.001.028
4427,F-112.007.001.030
4427,F-112.007.001.030
98337,F-112.007.001.031
98337,F-112.007.001.031
6353,F-112.007.002.001
6353,F-112.007.002.001
10199,F-112.007.002.002
10199,F-112.007.002.002
6385,F-112.007.002.003
6385,F-112.007.002.003
8619,F-112.007.002.004
8619,F-112.007.002.004
6047,F-112.007.002.005
6047,F-112.007.002.005
32743,F-112.007.002.006
32743,F-112.007.002.006
8935,F-112.007.003.001
8935,F-112.007.003.001
"352,425,519",F-113.000.000.001
"352,425,519",F-113.000.000.001
"352,425,519",F-113.000.000.001
9396,F-113.001.001.001
9396,F-113.001.001.001
5620,F-113.001.001.006
5620,F-113.001.001.006
282,F-119.004.000.001
282,F-119.004.000.001
282,F-119.004.000.001
10716,F-119.004.002.001
10716,F-119.004.002.001
3436,F-119.004.002.002
3436,F-119.004.002.002
8117,F-119.009.042.001
346,F-112.001.001.001
346,F-112.001.001.001
346,F-112.001.003.001
346,F-112.001.003.001
346,F-112.001.003.004
346,F-112.001.003.004
346,F-112.001.014.001
346,F-112.001.015.004
346,F-112.001.015.004
548,F-112.005.003.001
548,F-112.005.003.001
