Date,Manual ID,Title 3,Language,Master Document ID,Volume,Type,General/Parts,PDF Filename
1987,C-301.000.000.001,CITES ID Manual - Testudines - Parts and Derivatives - Tortoise products,EN,,5,CITES ID Manual,Parts and Derivatives,C-301.003.000.001 Tortoiseshell_E.pdf
1987,C-301.000.000.001,Manual de identificación de la CITES - Testudines - Partes y Derivados - Productos de tortuga,ES,C-301.000.000.001,5,CITES ID Manual,Parts and Derivatives,C-301.000.000.001 Productos de Tortuga_S.pdf
1987,C-301.003.000.001,CITES ID Manual - Testudines - Parts and Derivatives - Tortoiseshell,EN,,5,CITES ID Manual,Parts and Derivatives,C-301.000.000.001 Tortoise products_E.pdf
1987,C-301.003.000.001,Manual de identificación de la CITES - Testudines - Partes y Derivados - Conchas de tortuga ,ES,C-301.003.000.001,5,CITES ID Manual,Parts and Derivatives,C-301.003.000.001 Conchas de Tortuga_S.pdf
1987,C-301.003.000.001,Manuel d'identification de la CITES - Testudines - Parties et Produits - Ecailles de tortue ,FR,C-301.003.000.001,5,CITES ID Manual,Parts and Derivatives,C-301.003.000.001 Ecailles de tortue_F.pdf
2000,C-500g.005.001.001,CITES ID Manual - Cetorhinus maximus - Parts and Derivatives - Fins,EN,,5,CITES ID Manual,Parts and Derivatives,C-500g.005.001.001 Shark fins - Cetorhinus maximus_EN.pdf
2000,C-500g.005.001.001,Manuel d'identification de la CITES - Cetorhinus maximus - Parties et Produits - Nageoires,FR,C-500g.005.001.001,5,CITES ID Manual,Parts and Derivatives,C-500g.005.001.001 Nageoires - Cetorhinus maximus_F.pdf
2000,C-500g.005.001.001,Manual de identificación de la CITES - Cetorhinus maximus - Partes y Derivados - Aletas,ES,C-500g.005.001.001,5,CITES ID Manual,Parts and Derivatives,C-500g.005.001.001 Aletas de tiburón - Cetorhinus maximus_S.pdf
2003,C-500.707.001.001,CITES ID Manual - Rhincodon typus - Parts and Derivatives- Fins,EN,,5,CITES ID Manual,Parts and Derivatives,C-500.707.001.001 Shark fins - Rhincodon typus_EN.pdf
2003,C-500.707.001.001,Manual de identificación de la CITES - Rhincodon typus - Partes y Derivados - Aletas,ES,C-500.707.001.001,5,CITES ID Manual,Parts and Derivatives,C-500.707.001.001 Aletas de tiburón - Rhincodon typus_S.pdf
1985,L-301.003.000.003,CITES ID Manual - Testudines - Parts and Derivatives - Turtle skins,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.000.001 Turtle skins - Identification key_E.pdf
1985,L-301.003.000.003,Manual de identificación de la CITES - Testudines - Partes y Derivados - Pieles de tortuga,ES,L-301.003.000.003,5,CITES ID Manual,Parts and Derivatives,L-301.003.000.001 Pieles de tortuga - Identification key_S.pdf
1985,L-301.003.001.001,CITES ID Manual - Caretta caretta  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.001.001 Caretta caretta_EN.pdf
1985,L-301.003.001.001,Manual de identificación de la CITES - Caretta caretta  - Partes y Derivados,ES,L-301.003.001.001,5,CITES ID Manual,Parts and Derivatives,L-301.003.001.001 Caretta caretta_S.pdf
1985,L-301.003.002.001,CITES ID Manual - Natator depressus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.002.001 Chelonia depressa_EN.pdf
1985,L-301.003.002.001,Manual de identificación de la CITES - Natator depressus  - Partes y Derivados,ES,L-301.003.002.001,5,CITES ID Manual,Parts and Derivatives,L-301.003.002.001 Chelonia depressa_S.pdf
1985,L-301.003.002.002,CITES ID Manual - Chelonia mydas  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.002.002 Chelonia mydas_EN.pdf
1985,L-301.003.002.002,Manual de identificación de la CITES - Chelonia mydas  - Partes y Derivados,ES,L-301.003.002.002,5,CITES ID Manual,Parts and Derivatives,L-301.003.002.002 Chelonia mydas_S.pdf
1985,L-301.003.003.003,CITES ID Manual - Eretmochelys imbricata  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.003.003 Eretmochelys imbricata_EN.pdf
1985,L-301.003.003.003,Manual de identificación de la CITES - Eretmochelys imbricata  - Partes y Derivados,ES,L-301.003.003.003,5,CITES ID Manual,Parts and Derivatives,L-301.003.003.003 Eretmochelys imbricata_S.pdf
1985,L-301.003.004.001,CITES ID Manual - Lepidochelys kempii  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.004.001 Lepidochelys kempii_EN.pdf
1985,L-301.003.004.001,Manual de identificación de la CITES - Lepidochelys kempii  - Partes y Derivados,ES,L-301.003.004.001,5,CITES ID Manual,Parts and Derivatives,L-301.003.004.001 Lepidochelys kempii_S.pdf
1985,L-301.003.004.002,CITES ID Manual - Lepidochelys olivacea  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.003.004.002 Lepidochelys olivacea_EN.pdf
1985,L-301.003.004.002,Manual de identificación de la CITES - Lepidochelys olivacea  - Partes y Derivados,ES,L-301.003.004.002,5,CITES ID Manual,Parts and Derivatives,L-301.003.004.002 Lepidochelys olivacea_S.pdf
1985,L-301.006.001.001,CITES ID Manual - Dermochelys coriacea  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-301.006.001.001 Dermochelys coriacea_EN.pdf
1985,L-301.006.001.001,Manual de identificación de la CITES - Dermochelys coriacea  - Partes y Derivados,ES,L-301.006.001.001,5,CITES ID Manual,Parts and Derivatives,L-301.006.001.001 Dermochelys coriacea_S.pdf
1981,L-305.000.000.001,CITES ID Manual - Serpentes - Parts and Derivatives - Snake skins  ,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.001 Snake skins_EN.pdf
1981,L-305.000.000.001,Manual de identificación de la CITES - Serpentes - Parts and Derivatives - Pieles de Serpiente ,ES,L-305.000.000.001,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.001 Pieles de serpentes_S.pdf
1981,L-305.000.000.003,CITES ID Manual - Serpentes - Snake skins  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.003 Snake skins - Identification key_EN.pdf
1981,L-305.000.000.003,Manual de identificación de la CITES - Serpentes - Pieles de Serpiente  - Partes y Derivados,ES,L-305.000.000.003,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.003 Pieles de serpentes - Clave de identificacion_S.pdf
1981,L-305.000.000.004,CITES ID Manual - Serpentes - Snake skins  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.004 Snake skins - List_EN.pdf
1981,L-305.000.000.004,Manual de identificación de la CITES - Serpentes - Pieles de Serpiente  - Partes y Derivados,ES,L-305.000.000.004,5,CITES ID Manual,Parts and Derivatives,L-305.000.000.004 Pieles de serpentes - List_S.pdf
1981,L-305.001.001.001,CITES ID Manual - Acrochordus javanicus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.001.001.001 Acrochordus javanicus_EN.pdf
1981,L-305.004.003.001,CITES ID Manual - Boa constrictor  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.003.001 Boa constrictor_EN.pdf
1981,L-305.004.003.001,Manual de identificación de la CITES - Boa constrictor  - Partes y Derivados,ES,L-305.004.003.001,5,CITES ID Manual,Parts and Derivatives,L-305.004.003.001 Boa constrictor_S.pdf
1981,L-305.004.013.003,CITES ID Manual - Eunectes murinus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.013.003 Eunectes murinus_EN.pdf
1981,L-305.004.013.003,Manual de identificación de la CITES - Eunectes murinus  - Partes y Derivados,ES,L-305.004.013.003,5,CITES ID Manual,Parts and Derivatives,L-305.004.013.003 Eunectes murinus_S.pdf
1981,L-305.004.013.004,CITES ID Manual - Eunectes notaeus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.013.004 Eunectes notaeus_EN.pdf
1981,L-305.004.013.004,Manual de identificación de la CITES - Eunectes notaeus  - Partes y Derivados,ES,L-305.004.013.004,5,CITES ID Manual,Parts and Derivatives,L-305.004.013.004 Eunectes notaeus_S.pdf
1981,L-305.004.019.005,CITES ID Manual - Python curtus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.005 Python curtus_EN.pdf
1981,L-305.004.019.005,Manual de identificación de la CITES - Python curtus  - Partes y Derivados,ES,L-305.004.019.005,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.005 Python curtus_S.pdf
1981,L-305.004.019.006,CITES ID Manual - Python molurus bivittatus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.006 Python molurus bivittatus_EN.pdf
1981,L-305.004.019.006,Manual de identificación de la CITES - Python molurus bivittatus  - Partes y Derivados,ES,L-305.004.019.006,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.006 Python molurus bivittatus_S.pdf
1981,L-305.004.019.008,CITES ID Manual - Python reticulatus  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.008 Python reticulatus_EN.pdf
1981,L-305.004.019.008,Manual de identificación de la CITES - Python reticulatus  - Partes y Derivados,ES,L-305.004.019.008,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.008 Python reticulatus_S.pdf
1981,L-305.004.019.009,CITES ID Manual - Python sebae  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.009 Python sebae_EN.pdf
1981,L-305.004.019.009,Manual de identificación de la CITES - Python sebae  - Partes y Derivados,ES,L-305.004.019.009,5,CITES ID Manual,Parts and Derivatives,L-305.004.019.009 Python sebae_S.pdf
1981,L-305.004.042.003,CITES ID Manual - Cerberus rynchops  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.042.003 Cerberus rhynchops_EN.pdf
1981,L-305.004.042.003,Manual de identificación de la CITES - Cerberus rynchops  - Partes y Derivados,ES,L-305.004.042.003,5,CITES ID Manual,Parts and Derivatives,L-305.004.042.003 Cerberus rhynchops_S.pdf
1981,L-305.004.096.004,CITES ID Manual - Enhydris bocourti  - Parts and Derivatives,EN,,5,CITES ID Manual,Parts and Derivatives,L-305.004.096.004 Enhydris bocourti_EN.pdf
1981,L-305.004.096.004,Manual de identificación de la CITES - Enhydris bocourti  - Partes y Derivados,ES,L-305.004.096.004,5,CITES ID Manual,Parts and Derivatives,L-305.004.096.004 Enhydris bocourti_S.pdf
