Date,Manual ID,Title,Language,Master document,Volume,Type,General/Parts,PDF filename
1999,A-guatemalensis-E.pdf,CITES ID Manual - Abies guatemalensis - Timber,EN,,6,CITES ID Manual,Parts and Derivatives,A-guatemalensis-E.pdf
1999,Abies guatemalensis_F.pdf,Manuel d'identification de la CITES - Abies guatemalensis - Bois,FR,A-guatemalensis-E.pdf,6,CITES ID Manual,Parts and Derivatives,Abies guatemalensis_F.pdf
1999,Abies guatemalensis_S.pdf,Manual de identificación de la CITES - Abies guatemalensis - Madera,ES,A-guatemalensis-E.pdf,6,CITES ID Manual,Parts and Derivatives,Abies guatemalensis_S.pdf
2001,Adonis vernalis_E.pdf,CITES ID Manual - Adonis vernalis - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Adonis vernalis_E.pdf
2001,Adonis vernalis_S.pdf,Manual de identificación de la CITES - Adonis vernalis - Plantas medicinales,ES,Adonis vernalis_E.pdf,6,CITES ID Manual,Parts and Derivatives,Adonis vernalis_S.pdf
2003,Agave arizonica_E.pdf,CITES ID Manual - Agave arizonica,EN,,6,CITES ID Manual,General,Agave arizonica_E.pdf
2003,Agave arizonica_S.pdf,Manual de identificación de la CITES - Agave arizonica,ES,Agave arizonica_E.pdf,6,CITES ID Manual,General,Agave arizonica_S.pdf
2003,Agave parviflora_E.pdf,CITES ID Manual - Agave parviflora,EN,,6,CITES ID Manual,General,Agave parviflora_E.pdf
2003,Agave parviflora_S.pdf,Manual de identificación de la CITES - Agave parviflora,ES,Agave parviflora_E.pdf,6,CITES ID Manual,General,Agave parviflora_S.pdf
2003,Agave victoriae-regina_E.pdf,CITES ID Manual - Agave victoriae-reginae,EN,,6,CITES ID Manual,General,Agave victoriae-regina_E.pdf
2003,Agave victoriae-regina_S.pdf,Manual de identificación de la CITES - Agave victoriae-reginae,ES,Agave victoriae-regina_E.pdf,6,CITES ID Manual,General,Agave victoriae-regina_S.pdf
2001,Aloe ferox_E.pdf,CITES ID Manual - Aloe ferox - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Aloe ferox_E.pdf
2001,Aloe ferox_S.pdf,Manual de identificación de la CITES - Aloe ferox - Plantas medicinales,ES,Aloe ferox_E.pdf,6,CITES ID Manual,Parts and Derivatives,Aloe ferox_S.pdf
2001,Aquilaria malaccensi_E.pdf,CITES ID Manual - Aquilaria malaccensis - Medicinal plants,EN,,6,CITES ID Manual,Parts and Derivatives,Aquilaria malaccensi_E.pdf
2001,Aquilaria malaccensi_S.pdf,Manual de identificación de la CITES - Aquilaria malaccensis - Plantas medicinales,ES,Aquilaria malaccensi_E.pdf,6,CITES ID Manual,Parts and Derivatives,Aquilaria malaccensi_S.pdf
1999,Aquilaria malaccensi_Timber_S.pdf,Manual de identificación de la CITES - Aquilaria malaccensis - Madera,ES,,6,CITES ID Manual,Parts and Derivatives,Aquilaria malaccensi_Timber_S.pdf
1999,A-araucana-E.pdf,CITES ID Manual - Araucaria araucana - Timber,EN,,6,CITES ID Manual,Parts and Derivatives,A-araucana-E.pdf
1999,Araucaria araucana_S.pdf,Manual de identificación de la CITES - Araucaria araucana - Madera,ES,A-araucana-E.pdf,6,CITES ID Manual,Parts and Derivatives,Araucaria araucana_S.pdf
2001,Ario-agavoides-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus agavoides,ES,Ariocarpus agavoides_E.pdf,6,CITES ID Manual,General,Ario-agavoides-jl-text.pdf
2001,Ariocarpus agavoides_E.pdf,CITES ID Manual - Ariocarpus agavoides,EN,,6,CITES ID Manual,General,Ariocarpus agavoides_E.pdf
2001,Ario-fissuratus-bravoanus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus fissuratus - ssp. bravoanus,ES,Ariocarpus fissuratus ssp bravoanus_E.pdf,6,CITES ID Manual,General,Ario-fissuratus-bravoanus-jl-text.pdf
2001,Ario-fissuratus-fissuratus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus fissuratus - ssp. fissuratus,ES,Ariocarpus fissuratus ssp fissuratus_E.pdf,6,CITES ID Manual,General,Ario-fissuratus-fissuratus-jl-text.pdf
2001,Ario-fissuratus-hintonii-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus fissuratus - ssp. hintonii,ES,Ariocarpus fissuratus ssp hintonii_E.pdf,6,CITES ID Manual,General,Ario-fissuratus-hintonii-jl-text.pdf
2001,Ario-fissuratus-lloydii-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus fissuratus - ssp. fissuratus var. lloydii,ES,Ariocarpus fissuratus ssp fissuratus „var. lloydii“_E.pdf,6,CITES ID Manual,General,Ario-fissuratus-lloydii-jl-text.pdf
2001,Ariocarpus fissuratus ssp bravoanus_E.pdf,CITES ID Manual - Ariocarpus fissuratus - ssp. bravoanus,EN,,6,CITES ID Manual,General,Ariocarpus fissuratus ssp bravoanus_E.pdf
2001,Ariocarpus fissuratus ssp fissuratus „var. lloydii“_E.pdf,CITES ID Manual - Ariocarpus fissuratus - ssp. fissuratus var. lloydii,EN,,6,CITES ID Manual,General,Ariocarpus fissuratus ssp fissuratus „var. lloydii“_E.pdf
2001,Ariocarpus fissuratus ssp fissuratus_E.pdf,CITES ID Manual - Ariocarpus fissuratus - ssp. fissuratus,EN,,6,CITES ID Manual,General,Ariocarpus fissuratus ssp fissuratus_E.pdf
2001,Ariocarpus fissuratus ssp hintonii_E.pdf,CITES ID Manual - Ariocarpus fissuratus - ssp. hintonii,EN,,6,CITES ID Manual,General,Ariocarpus fissuratus ssp hintonii_E.pdf
2001,Ario-kotschoubeyanus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus kotschoubeyanus,ES,Ariocarpus kotschoubeyanus_E.pdf,6,CITES ID Manual,General,Ario-kotschoubeyanus-jl-text.pdf
2001,Ariocarpus kotschoubeyanus_E.pdf,CITES ID Manual - Ariocarpus kotschoubeyanus,EN,,6,CITES ID Manual,General,Ariocarpus kotschoubeyanus_E.pdf
2001,Ario-retusus-retusus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus retusus - ssp. retusus/ssp. confusus,ES,Ariocarpus retusus ssp.retusus_E.pdf,6,CITES ID Manual,General,Ario-retusus-retusus-jl-text.pdf
2001,Ariocarpus retusus ssp.retusus_E.pdf,CITES ID Manual - Ariocarpus retusus ssp. retusus/ssp. confusus,EN,,6,CITES ID Manual,General,Ariocarpus retusus ssp.retusus_E.pdf
2001,Ario-scaphirostris-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus scaphirostris,ES,Ariocarpus scaphirostris_E.pdf,6,CITES ID Manual,General,Ario-scaphirostris-jl-text.pdf
2001,Ariocarpus scaphirostris_E.pdf,CITES ID Manual - Ariocarpus scaphirostris,EN,,6,CITES ID Manual,General,Ariocarpus scaphirostris_E.pdf
2001,Ario-retusus-trigonus-jl-text.pdf,Manual de identificación de la CITES - Ariocarpus trigonus,ES,Ariocarpus retusus ssp trigonus_E.pdf,6,CITES ID Manual,General,Ario-retusus-trigonus-jl-text.pdf
2001,Ariocarpus retusus ssp trigonus_E.pdf,CITES ID Manual - Ariocarpus trigonus,EN,,6,CITES ID Manual,General,Ariocarpus retusus ssp trigonus_E.pdf
2001,Astro-asterias-jl-text.pdf,Manual de identificación de la CITES - Astrophytum asterias,ES,Astrophytum asterias_E.pdf,6,CITES ID Manual,General,Astro-asterias-jl-text.pdf
2001,Astrophytum asterias_E.pdf,CITES ID Manual - Astrophytum asterias,EN,,6,CITES ID Manual,General,Astrophytum asterias_E.pdf
2001,Aztekium-ritteri-jl-text.pdf,Manual de identificación de la CITES - Aztekium ritteri,ES,Aztekium ritteri_E.pdf,6,CITES ID Manual,General,Aztekium-ritteri-jl-text.pdf
