Scientific name,ID,Parent name,ParentID
Tarentola chazaliae,100253,Tarentola,100252
Chelus fimbriata,100255,Chelus,100254
Claudius angustatus,100260,Claudius,100259
Staurotypus salvinii,100263,Staurotypus,100262
Staurotypus triporcatus,100264,Staurotypus,100262
Rhinoclemmys annulata,100286,Rhinoclemmys,100257
Rhinoclemmys areolata,100287,Rhinoclemmys,100257
Rhinoclemmys diademata,100288,Rhinoclemmys,100257
Rhinoclemmys funerea,100289,Rhinoclemmys,100257
Rhinoclemmys melanosterna,100290,Rhinoclemmys,100257
Rhinoclemmys nasuta,100291,Rhinoclemmys,100257
Rhinoclemmys pulcherrima,100292,Rhinoclemmys,100257
Rhinoclemmys punctularia,100293,Rhinoclemmys,100257
Rhinoclemmys rubida,100294,Rhinoclemmys,100257
Afzelia africana,100295,Afzelia,100266
Afzelia bella,100296,Afzelia,100266
Afzelia bipindensis,100297,Afzelia,100266
Afzelia pachyloba,100298,Afzelia,100266
Afzelia parviflora,100299,Afzelia,100266
Afzelia peturei,100300,Afzelia,100266
Afzelia quanzensis,100301,Afzelia,100266
Phrynosoma platyrhinos,100302,Phrynosoma,700
Phrynosoma asio,100303,Phrynosoma,700
Phrynosoma bauri,100304,Phrynosoma,700
Phrynosoma braconnieri,100305,Phrynosoma,700
Phrynosoma brevirostris,100306,Phrynosoma,700
Phrynosoma cornutum,100307,Phrynosoma,700
Phrynosoma diminutum,100308,Phrynosoma,700
Phrynosoma ditmarsi,100309,Phrynosoma,700
Phrynosoma douglasii,100310,Phrynosoma,700
Phrynosoma goodei,100311,Phrynosoma,700
Phrynosoma hernandesi,100312,Phrynosoma,700
Phrynosoma mcallii,100313,Phrynosoma,700
Phrynosoma modestum,100314,Phrynosoma,700
Phrynosoma orbiculare,100315,Phrynosoma,700
Phrynosoma ornatissimum,100316,Phrynosoma,700
Phrynosoma sherbrookei,100317,Phrynosoma,700
Phrynosoma solare,100318,Phrynosoma,700
Phrynosoma taurus,100319,Phrynosoma,700
Pterocarpus angolensis,100320,Pterocarpus,13162
Pterocarpus brenanii,100321,Pterocarpus,13162
Pterocarpus lucens,100322,Pterocarpus,13162
Pterocarpus mildbraedii,100323,Pterocarpus,13162
Pterocarpus officinalis,100324,Pterocarpus,13162
Pterocarpus osun,100325,Pterocarpus,13162
Pterocarpus rotundifolius,100326,Pterocarpus,13162
Pterocarpus santalinoides,100327,Pterocarpus,13162
Pterocarpus soyauxii,100328,Pterocarpus,13162
Pterocarpus tessmannii,100329,Pterocarpus,13162
Carcharhinus acronotus,100341,Carcharhinus,2636
Carcharhinus altimus,100342,Carcharhinus,2636
Carcharhinus albimarginatus,100343,Carcharhinus,2636
Carcharhinus amblyrhynchos,100344,Carcharhinus,2636
Carcharhinus amblyrhynchoides,100345,Carcharhinus,2636
Carcharhinus amboinensis,100346,Carcharhinus,2636
Carcharhinus borneensis,100347,Carcharhinus,2636
Carcharhinus cautus,100348,Carcharhinus,2636
Carcharhinus brachyurus,100349,Carcharhinus,2636
Carcharhinus brevipinna,100350,Carcharhinus,2636
Carcharhinus cerdale,100351,Carcharhinus,2636
Carcharhinus coatesi,100352,Carcharhinus,2636
Carcharhinus dussumieri,100353,Carcharhinus,2636
Carcharhinus fitzroyensis,100354,Carcharhinus,2636
Carcharhinus galapagensis,100355,Carcharhinus,2636
Carcharhinus hemiodon,100356,Carcharhinus,2636
Carcharhinus humani,100357,Carcharhinus,2636
Carcharhinus isodon,100358,Carcharhinus,2636
Carcharhinus leiodon,100359,Carcharhinus,2636
Carcharhinus leucas,100360,Carcharhinus,2636
Carcharhinus limbatus,100361,Carcharhinus,2636
Carcharhinus macloti,100362,Carcharhinus,2636
Carcharhinus porosus,100363,Carcharhinus,2636
Carcharhinus melanopterus,100364,Carcharhinus,2636
Carcharhinus obsoletus,100365,Carcharhinus,2636
Carcharhinus obscurus,67070,Carcharhinus,2636
Carcharhinus perezi,100366,Carcharhinus,2636
Carcharhinus plumbeus,67350,Carcharhinus,2636
Carcharhinus signatus,100367,Carcharhinus,2636
Carcharhinus sealei,100368,Carcharhinus,2636
Carcharhinus sorrah,100369,Carcharhinus,2636
Carcharhinus tilstoni,100370,Carcharhinus,2636
Carcharhinus tjutjot,100371,Carcharhinus,2636
Glyphis gangeticus,100372,Glyphis,100332
Glyphis garricki,100373,Glyphis,100332
Glyphis glyphis,100374,Glyphis,100332
Isogomphodon oxyrhynchus,100375,Isogomphodon,100333
Lamiopsis temmincki,100376,Lamiopsis,100334
Lamiopsis tephrodes,100377,Lamiopsis,100334
Loxodon macrorhinus,100378,Loxodon,100335
Nasolamia velox,100379,Nasolamia,100336
Negaprion acutidens,100380,Negaprion,100337
Negaprion brevirostris,100381,Negaprion,100337
Prionace glauca,100382,Prionace,100338
Rhizoprionodon acutus,100383,Rhizoprionodon,100339
Rhizoprionodon lalandii,100384,Rhizoprionodon,100339
Rhizoprionodon longurio,100385,Rhizoprionodon,100339
Rhizoprionodon oligolinx,100386,Rhizoprionodon,100339
Rhizoprionodon porosus,100387,Rhizoprionodon,100339
Rhizoprionodon taylori,100388,Rhizoprionodon,100339
Rhizoprionodon terraenovae,100389,Rhizoprionodon,100339
Scoliodon laticaudus,100390,Scoliodon,100340
Scoliodon macrorhynchos,100391,Scoliodon,100340
Acroteriobatus andysabini,100395,Acroteriobatus,100392
Acroteriobatus annulatus,100396,Acroteriobatus,100392
Acroteriobatus blochii,100397,Acroteriobatus,100392
Acroteriobatus leucospilus,100398,Acroteriobatus,100392
Acroteriobatus ocellatus,100399,Acroteriobatus,100392
Acroteriobatus omanensis,100400,Acroteriobatus,100392
Acroteriobatus salalah,100401,Acroteriobatus,100392
Acroteriobatus stehmanni,100402,Acroteriobatus,100392
Acroteriobatus variegatus,100403,Acroteriobatus,100392
Acroteriobatus zanzibarensis,100404,Acroteriobatus,100392
Pseudobatos buthi,100405,Pseudobatos,100393
Pseudobatos glaucostigma,100406,Pseudobatos,100393
Pseudobatos horkelii,100407,Pseudobatos,100393
