ID,Scientific name,CurrentParentID,CurrentParentStatus,ParentID,ParentStatus
55876,Aa achalensis,13490,A,13490,A
55877,Aa hartwegii,13490,A,13490,A
55878,Aa macra,13490,A,13490,A
55879,Aa matthewsii,13490,A,13490,A
55880,Aa rosei,13490,A,13490,A
55896,Acianthera aculeata,12509,A,65403,A
55897,Acianthera aechme,12509,A,65403,A
55898,Acianthera aphthosa,12509,A,65403,A
55899,Acianthera auriculata,12509,A,65403,A
55901,Acianthera binotii,12509,A,65403,A
55903,Acianthera circumplexa,12509,A,65403,A
55904,Acianthera crinita,12509,A,65403,A
55905,Acianthera cryptophoranthoides,12509,A,65403,A
55907,Acianthera luteola,12509,A,65403,A
64171,Acianthera miqueliana,12509,A,65403,A
55908,Acianthera pantasmi,12509,A,65403,A
55909,Acianthera polystachya,12509,A,65403,A
55910,Acianthera pubescens,12509,A,65403,A
55911,Acianthera quadriserrata,12509,A,65403,A
55912,Acianthera sicaria,12509,A,65403,A
55913,Acianthera sonderiana,12509,A,65403,A
55914,Acianthera tricarinata,12509,A,65403,A
55915,Acianthera variegata,12509,A,65403,A
55916,Acianthera wageneriana,12509,A,65403,A
55921,Acineta mireyae,13320,A,13320,A
56114,Anathallis acuminata,12509,A,65405,A
56115,Anathallis aristulata,12509,A,65405,A
56116,Anathallis barbulata,12509,A,65405,A
56117,Anathallis dimidia,12509,A,65405,A
56118,Anathallis dryadum,12509,A,65405,A
56119,Anathallis kautskyi,12509,A,65405,A
56120,Anathallis montipelladensis,12509,A,65405,A
56121,Anathallis regalis,12509,A,65405,A
56122,Anathallis rubens,12509,A,65405,A
56123,Anathallis sanchezii,12509,A,65405,A
56132,Andinia dalstroemii,12509,A,66890,A
56133,Andinia lappacea,12509,A,66890,A
56135,Andinia pogonion,12509,A,66890,A
56136,Andinia schizopogon,12509,A,66890,A
56178,Anoectochilus regalis,27915,A,12939,A
56237,Ascidieria cymbidifolia,13703,A,13703,A
56289,Barbosella portillae,13426,A,13426,A
24211,Barbosella prorepens,24211,A,13426,A
56483,Caladenia macrostylis,12871,A,12871,A
56485,Caladenia nana,12871,A,12871,A
56486,Caladenia pallida,12871,A,12871,A
56487,Caladenia patersonii,12871,A,12871,A
56488,Caladenia roei,12871,A,12871,A
56489,Caladenia tentaculata,12871,A,12871,A
56530,Callostylis rigida,12509,A,68548,A
56531,Calopogon pallidus,12602,A,12602,A
56532,Calopogon tuberosus,12602,A,12602,A
56533,Calymmanthera paniculata,13534,A,13534,A
56541,Campylocentrum colombianum,13251,A,13251,A
56542,Campylocentrum crassirhizum,13251,A,13251,A
56543,Campylocentrum grisebachii,13251,A,13251,A
56545,Campylocentrum minutum,13251,A,13251,A
56546,Campylocentrum neglectum,13251,A,13251,A
56547,Campylocentrum ornithorrhynchum,13251,A,13251,A
56548,Campylocentrum pachyrrhizum,13251,A,13251,A
56550,Campylocentrum robustum,13251,A,13251,A
56551,Campylocentrum spannagelii,13251,A,13251,A
64292,Campylocentrum tyrridion,13251,A,13251,A
56554,Capanemia adelaidae,12832,A,12832,A
56556,Capanemia carinata,12832,A,12832,A
56558,Capanemia gehrtii,12832,A,12832,A
56559,Capanemia micromera,12832,A,12832,A
56560,Capanemia superflua,12832,A,12832,A
56561,Capanemia theresae,12832,A,12832,A
56651,Caucaea andigena,12803,A,12803,A
56654,Caucaea nubigena,12803,A,12803,A
56655,Caucaea olivacea,12803,A,12803,A
