Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
acutus,SPECIES,,GENUS,98462,S,"Garman, 1908",,CITES_EU,SPECIES,98249
conditor,SPECIES,,GENUS,98454,S,"Gould, 1848",,CITES_EU,SPECIES,9566
jonesi,SPECIES,,GENUS,1280,S,"Thomas, 1912",,CITES_EU,SPECIES,9566
pedunculatus,SPECIES,,GENUS,2419,S,"Waite, 1896",,CITES_EU,SPECIES,5898
nigrilabris,SPECIES,,GENUS,98189,S,"Peters, 1860",,CITES_EU,SPECIES,98190
rouxii,SPECIES,,GENUS,98189,S,"Blyth (fide Smith, 1935)",,CITES_EU,SPECIES,98190
hoddartii,SPECIES,,GENUS,2282,S,"Kelaart, 1854",,CITES_EU,SPECIES,98195
clamosa,SPECIES,,GENUS,1950,S,"Laurenti, 1768",,CITES_EU,SPECIES,98201
scutata,SPECIES,,GENUS,30289,S,Linnaeus 1758,,CITES_EU,SPECIES,98201
macgregorri,SPECIES,,GENUS,98200,S,"Gray, 1835",,CITES_EU,SPECIES,98201
margaritaceus,SPECIES,,GENUS,98200,S,"Merrem, 1820",,CITES_EU,SPECIES,98201
hainanensis,SPECIES,,GENUS,98455,S,"Mocquard, 1897",,CITES_EU,SPECIES,98205
lichtenfelderi,SPECIES,,GENUS,98203,S,"Borner, 1981",,CITES_EU,SPECIES,98205
hainanensis,SUBSPECIES,,SPECIES,98214,S,"Grismer, 1987",,CITES_EU,SPECIES,98205
reevesii,SPECIES,,GENUS,30266,S,"Gray, 1831",,CITES_EU,SPECIES,98217
androyensis,SPECIES,,GENUS,98456,S,"Grandidier, 1867",,CITES_EU,SPECIES,98218
acanthura,SPECIES,,GENUS,30289,S,"Shaw, 1802",,CITES_EU,SPECIES,98219
acanthurus,SPECIES,,GENUS,1242,S,"Merrem, 1820",,CITES_EU,SPECIES,98219
teres,SPECIES,,GENUS,2545,S,"Harlan, 1825",,CITES_EU,SPECIES,98219
cycluroides,SPECIES,,GENUS,2303,S,"Wiegmann, 1828",,CITES_EU,SPECIES,98219
cycluroides,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
acanthura,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
shawii,SPECIES,,GENUS,2545,S,Gray,,CITES_EU,SPECIES,98219
armata,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
lanceolata,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
bellii,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
teres,SPECIES,,GENUS,1950,S,"Gray, 1831",,CITES_EU,SPECIES,98219
articulata,SPECIES,,GENUS,2545,S,"Wiegmann, 1834",,CITES_EU,SPECIES,98219
denticulata,SPECIES,,GENUS,2545,S,"Wiegmann, 1834",,CITES_EU,SPECIES,98219
acanthura,SPECIES,,GENUS,2545,S,"Duméril & Bibron, 1837",,CITES_EU,SPECIES,98219
denticulata,SPECIES,,GENUS,2545,S,"Fitzinger, 1843",,CITES_EU,SPECIES,98219
semicristata,SPECIES,,GENUS,2545,S,"Fitzinger, 1843",,CITES_EU,SPECIES,98219
articulata,SPECIES,,GENUS,2545,S,"Fitzinger, 1843",,CITES_EU,SPECIES,98219
shawii,SPECIES,,GENUS,2545,S,"Fitzinger, 1843",,CITES_EU,SPECIES,98219
bellii,SPECIES,,GENUS,2545,S,"Fitzinger, 1843",,CITES_EU,SPECIES,98219
acanthura,SPECIES,,GENUS,2303,S,"Gray, 1845",,CITES_EU,SPECIES,98219
denticulata,SPECIES,,GENUS,2545,S,"Hallowell, 1855",,CITES_EU,SPECIES,98219
acanthura,SPECIES,,GENUS,2545,S,"Cope, 1869",,CITES_EU,SPECIES,98219
teres,SPECIES,,GENUS,2303,S,"Bocourt (in Duméril & Bocourt), 1874",,CITES_EU,SPECIES,98219
multispinis,SPECIES,,GENUS,2303,S,"Cope, 1886",,CITES_EU,SPECIES,98219
