Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
cuvieri,SPECIES,,GENUS,1807,S,"Gray, 1831",,CITES_EU,SPECIES,8022
cochinchinensis,SPECIES,,GENUS,1119,S,"Boulenger, 1885",,CITES_EU,SPECIES,8022
mentager,SPECIES,,GENUS,1119,S,"Boulenger, 1885",,CITES_EU,SPECIES,8022
leithii,SPECIES,,GENUS,2258,S,"Praschag et al, 2007",,CITES_EU,SPECIES,9277
calidiarum,SPECIES,,GENUS,39354,S,"Cope, 1896",,CITES_EU,SPECIES,100302
platyrhina,SPECIES,,GENUS,39354,S,"Cope, 1896",,CITES_EU,SPECIES,100302
blochii,SPECIES,,GENUS,100394,S,"Müller & Henle, 1841",,CITES_EU,SPECIES,100397
leucospilus,SPECIES,,GENUS,98462,S,"(Norman, 1926)",,CITES_EU,SPECIES,100398
ocellatus,SPECIES,,GENUS,98462,S,"(Norman, 1926)",,CITES_EU,SPECIES,100399
salalah,SPECIES,,GENUS,100394,S,"(Randall & Compagno, 1995)",,CITES_EU,SPECIES,100401
variegatus,SPECIES,,GENUS,100394,S,"(Nair & Lal Mohan, 1973)",,CITES_EU,SPECIES,100403
zanzibarensis,SPECIES,,GENUS,100394,S,"(Norman, 1926)",,CITES_EU,SPECIES,100404
glaucostigmus,SPECIES,,GENUS,98462,S,"(Jordan & Gilbert, 1883)",,CITES_EU,SPECIES,100406
horkelii,SPECIES,,GENUS,98462,S,"(Müller & Henle, 1841)",,CITES_EU,SPECIES,100407
lentiginosus,SPECIES,,GENUS,100394,S,"(Garman, 1880)",,CITES_EU,SPECIES,100408
leucorhynchus,SPECIES,,GENUS,100394,S,"(Günther, 1867)",,CITES_EU,SPECIES,100409
electricus,SPECIES,,GENUS,98462,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
glaucostictos,SPECIES,,GENUS,98462,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
percellens,SPECIES,,GENUS,30231,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
stellio,SPECIES,,GENUS,98462,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
percellens,SPECIES,,GENUS,100394,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
undulatus,SPECIES,,GENUS,98462,S,"(Walbaum, 1792)",,CITES_EU,SPECIES,100410
planiceps,SPECIES,,GENUS,100394,S,"(Garman, 1880)",,CITES_EU,SPECIES,100411
prahli,SPECIES,,GENUS,98462,S,"(Acero P. & Franke, 1995)",,CITES_EU,SPECIES,100412
productus,SPECIES,,GENUS,98462,S,"(Ayres, 1854)",,CITES_EU,SPECIES,100413
holcorhynchus,SPECIES,,GENUS,98462,S,"Norman, 1922",,CITES_EU,SPECIES,100418
natalensis,SPECIES,,GENUS,98462,S,"Norman, 1922",,CITES_EU,SPECIES,100418
ciodera,SPECIES,,GENUS,30231,S,"(Linnaeus, 1758)",,CITES_EU,SPECIES,100428
formosens,SPECIES,,GENUS,98462,S,"(Linnaeus, 1758)",,CITES_EU,SPECIES,100428
formosensis,SPECIES,,GENUS,98462,S,"Müller & Henle, 1841",,CITES_EU,SPECIES,100430
terrestris,SPECIES,,GENUS,1555,S,"Fermin, 1765",,CITES_EU,SPECIES,102986
fimbriata,SPECIES,,GENUS,1555,S,"Schneider, 1783",,CITES_EU,SPECIES,102986
fimbria,SPECIES,,GENUS,1555,S,"Gmelin, 1789",,CITES_EU,SPECIES,102986
matamata,SPECIES,,GENUS,1555,S,"Bruguière, 1792",,CITES_EU,SPECIES,102986
bi-spinosa,SPECIES,,GENUS,1555,S,"Daudin, 1801",,CITES_EU,SPECIES,102986
bispinosa,SPECIES,,GENUS,29888,S,"Schweigger, 1812",,CITES_EU,SPECIES,102986
boulengerii,SPECIES,,GENUS,29888,S,"Baur, 1890",,CITES_EU,SPECIES,102986
matamata,SPECIES,,GENUS,29888,S,"Duméril & Bibron, 1835",,CITES_EU,SPECIES,102986
fimbriata,SPECIES,,GENUS,29888,S,"Günther, 1882",,CITES_EU,SPECIES,102986
fimbriata,SPECIES,,GENUS,29888,S,"Boulenger, 1889",,CITES_EU,SPECIES,102986
fimbriatus,SPECIES,,GENUS,100254,S,"Gorzula & Señaris, 1999",,CITES_EU,SPECIES,102986
fimbriatus,SPECIES,,GENUS,100254,S,"Rivas et al., 2012",,CITES_EU,SPECIES,102986
fimbriatus,SPECIES,,GENUS,100254,S,"Ceríaco & Bauer, 2017",,CITES_EU,SPECIES,102986
fimbriata,SPECIES,,GENUS,1555,S,"Cuvier, 1831",,CITES_EU,SPECIES,102986
inornatus,SPECIES,,GENUS,30085,S,"Duméril & Bibron, 1844",,CITES_EU,SPECIES,31039
inornatus,SPECIES,,GENUS,30085,S,"Reynolds et al., 2013",,CITES_EU,SPECIES,31039
inornatus,SPECIES,,GENUS,30085,S,"Reynolds et al., 2018",,CITES_EU,SPECIES,31039
temminckii,SPECIES,,GENUS,2398,S,"Gray, 1856",,CITES_EU,SPECIES,6736
temminckii,SPECIES,,GENUS,29720,S,"Gray, 1856",,CITES_EU,SPECIES,6736
serpentina,SPECIES,,GENUS,1555,S,"Linnaeus, 1758",,CITES_EU,SPECIES,67966
serpentina,SPECIES,,GENUS,1563,S,"Merrem, 1820",,CITES_EU,SPECIES,67966
serpentina,SPECIES,,GENUS,30269,S,"Fleming, 1822",,CITES_EU,SPECIES,67966
emarginata,SPECIES,,GENUS,67912,S,"Agassiz, 1857",,CITES_EU,SPECIES,67966
barbouri,SPECIES,,GENUS,801,S,"McDowell, 1964",,CITES_EU,SPECIES,5839
ernsti,SUBSPECIES,,SPECIES,3071,S,"Artner, 2003",,CITES_EU,SPECIES,8254
gibbonsi,SUBSPECIES,,SPECIES,3071,S,"Artner, 2003",,CITES_EU,SPECIES,4047
pulchra,SPECIES,,GENUS,801,S,"McDowell, 1964",,CITES_EU,SPECIES,3071
bakeri,SPECIES,,GENUS,1554,S,"Lydekker, 1885",,CITES_EU,SPECIES,11078
annulata,SPECIES,,GENUS,2349,S,"Strauch, 1862",,CITES_EU,SPECIES,100286
gabbi,SPECIES,,GENUS,1563,S,"Günther in Godman & Salvin, 1885",,CITES_EU,SPECIES,100286
annulata,SPECIES,,GENUS,30432,S,"Boulenger, 1889",,CITES_EU,SPECIES,100286
gabbii,SPECIES,,GENUS,30432,S,"Boulenger, 1889",,CITES_EU,SPECIES,100286
annulata,SPECIES,,GENUS,2511,S,"Siebenrock, 1909",,CITES_EU,SPECIES,100286
gabbii,SPECIES,,GENUS,2511,S,"Siebenrock, 1909",,CITES_EU,SPECIES,100286
gabbii,SPECIES,,GENUS,100257,S,"Allee, 1926",,CITES_EU,SPECIES,100286
areolata,SPECIES,,GENUS,1563,S,"Duméril & Bibron in Duméril & Duméril, 1851",,CITES_EU,SPECIES,100287
areolata,SPECIES,,GENUS,2349,S,"Strauch, 1862",,CITES_EU,SPECIES,100287
areolata,SPECIES,,GENUS,2511,S,"Wettstein, 1934",,CITES_EU,SPECIES,100287
areolata,SPECIES,,GENUS,100257,S,"Smith & Taylor, 1966",,CITES_EU,SPECIES,100287
diademata,SPECIES,,GENUS,100257,S,"Pritchard, 1979",,CITES_EU,SPECIES,100288
diademata,SUBSPECIES,,SPECIES,100293,S,"Freiberg, 1981",,CITES_EU,SPECIES,100288
funerea,SPECIES,,GENUS,1563,S,"Günther in Godman & Salvin, 1885",,CITES_EU,SPECIES,100289
funerea,SPECIES,,GENUS,2511,S,"Dunn, 1930",,CITES_EU,SPECIES,100289
costaricensis,SPECIES,,GENUS,2511,S,"Kanberg, 1930",,CITES_EU,SPECIES,100289
funerea,SPECIES,,GENUS,100257,S,"Meyer & Wilson, 1973",,CITES_EU,SPECIES,100289
melanosterna,SPECIES,,GENUS,2349,S,"Strauch, 1862",,CITES_EU,SPECIES,100290
melanosterna,SUBSPECIES,,SPECIES,100293,S,"Freiberg, 1981",,CITES_EU,SPECIES,100290
nasuta,SPECIES,,GENUS,30432,S,"Boulenger, 1902",,CITES_EU,SPECIES,100291
nasuta,SPECIES,,GENUS,2511,S,"Siebenrock, 1909",,CITES_EU,SPECIES,100291
nasuta,SPECIES,,GENUS,100257,S,"Pritchard, 1979",,CITES_EU,SPECIES,100291
nasuta,SUBSPECIES,,SPECIES,100293,S,"Freiberg, 1981",,CITES_EU,SPECIES,100291
megalocephalus,SPECIES,,GENUS,100259,S,"Bocourt, 1868",,CITES_EU,SPECIES,100260
macrocephalus,SPECIES,,GENUS,100259,S,"Gray, 1873",,CITES_EU,SPECIES,100260
megacephalus,SPECIES,,GENUS,100259,S,"Boulenger, 1889",,CITES_EU,SPECIES,100260
agassizii,SPECIES,,GENUS,100259,S,"Smith & Taylor, 1950",,CITES_EU,SPECIES,100260
berendtianum,SPECIES,,GENUS,100261,S,"Mertens, Müller & Rust, 1934",,CITES_EU,SPECIES,100455
berentianum,SPECIES,,GENUS,100261,S,"Duellman, 1965",,CITES_EU,SPECIES,100455
acutum,SPECIES,,GENUS,100261,S,"Stejneger, 1941",,CITES_EU,SPECIES,100455
alamose,SPECIES,,GENUS,100261,S,"Pritchard, 1979",,CITES_EU,SPECIES,100456
alamosa,SPECIES,,GENUS,100261,S,"Rogner, 1996",,CITES_EU,SPECIES,100456
spooneri,SPECIES,,GENUS,100261,S,"Collins, 1991",,CITES_EU,SPECIES,100463
leuconostomun,SPECIES,,GENUS,100261,S,"Maldonado, 1953",,CITES_EU,SPECIES,100467
