LAW_NUM,RANK_NAME,REC_ID,LISTING,EFFECTIVE_FROM,PARTY_ISO2,IS_CURRENT,HASH_NOTE,POPULATIONS_ISO2,EXCLUDEDpopulations_ISO,IS_INCLUSION,INCLUDED_IN,RANK,EXCLUDED_REC_IDS,FULL_NOTE_EN
140,SPECIES,34742,D,15/12/2012,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
139,SPECIES,34742,D,14/02/2012,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
138,SPECIES,34742,D,15/08/2010,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
90,SPECIES,23350,DELD,20/05/2004,,0,,,,0,,,,
82,SPECIES,23350,D,30/08/2003,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
29,SPECIES,23350,D,18/12/2000,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
8,SPECIES,23350,D,01/06/1997,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
83,SPECIES,23350,D,01/06/1997,,0,,,,0,,,,"Applies to live specimens and whole, or substantially whole, dead specimens only."
140,SPECIES,92,A,15/12/2012,,0,,,,0,,,,
139,SPECIES,92,A,14/02/2012,,0,,,,0,,,,
138,SPECIES,92,A,15/08/2010,,0,,,,0,,,,
137,SPECIES,92,A,22/05/2009,,0,,,,0,,,,
100,SPECIES,92,A,11/04/2008,,0,,,,0,,,,
98,SPECIES,92,A,22/08/2005,,0,,,,0,,,,
82,SPECIES,92,A,30/08/2003,,0,,,,0,,,,
29,SPECIES,92,A,18/12/2000,,0,,,,0,,,,
8,SPECIES,92,A,01/06/1997,,0,,,,0,,,,
140,SPECIES,104,A,15/12/2012,,0,,,,0,,,,
139,SPECIES,104,A,14/02/2012,,0,,,,0,,,,
138,SPECIES,104,A,15/08/2010,,0,,,,0,,,,
137,SPECIES,104,A,22/05/2009,,0,,,,0,,,,
100,SPECIES,104,A,11/04/2008,,0,,,,0,,,,
98,SPECIES,104,A,22/08/2005,,0,,,,0,,,,
82,SPECIES,104,A,30/08/2003,,0,,,,0,,,,
29,SPECIES,104,A,18/12/2000,,0,,,,0,,,,
8,SPECIES,104,A,01/06/1997,,0,,,,0,,,,
140,SPECIES,119,A,15/12/2012,,0,,,,0,,,,
139,SPECIES,119,A,14/02/2012,,0,,,,0,,,,
138,SPECIES,119,A,15/08/2010,,0,,,,0,,,,
137,SPECIES,119,A,22/05/2009,,0,,,,0,,,,
100,SPECIES,119,A,11/04/2008,,0,,,,0,,,,
98,SPECIES,119,A,22/08/2005,,0,,,,0,,,,
82,SPECIES,119,A,30/08/2003,,0,,,,0,,,,
29,SPECIES,119,A,18/12/2000,,0,,,,0,,,,
