SpcRecID,Scientific name,Rank,Status,RefRecIDs
22916,yuwonoi,Species,A,11
29432,planipaleae,Species,A,25
15721,alius,Species,A,32
15723,moheliensis,Species,A,41
29489,cerradensis,Species,A,68
5588,zimmermanni,Species,A,78
27926,algirus,Species,A,78
30563,soror,Species,A,118
3056,bernicla,Species,A,123
30569,spiritus,Species,A,124
30586,coimbrai,Species,A,141
30595,ngoclinhensis,Species,A,150
30600,celiae,Species,A,155
30621,simulans,Species,A,176
30348,humilis,Species,A,187
32070,caerulivirens,Species,A,237
32077,nubicola,Species,A,244
32092,costaricanum,Species,A,244
32087,occidentalis,Species,A,252
17938,spathula,Species,A,267
15944,gigas,Species,A,268
18182,jullieni,Species,A,268
20034,formosus,Species,A,268
230,sturio,Species,A,269
230,sturio,Species,A,273
14504,forsteri,Species,A,275
14504,forsteri,Species,A,276
20034,formosus,Species,A,278
4586,cujus,Species,A,279
222,brevirostrum,Species,A,283
230,sturio,Species,A,286
20034,formosus,Species,A,288
3449,geertsi,Species,A,289
1991,gigas,Species,A,291
230,sturio,Species,A,292
11375,chalumnae,Species,A,295
14504,forsteri,Species,A,296
1991,gigas,Species,A,297
222,brevirostrum,Species,A,298
226,oxyrinchus,Species,A,298
222,brevirostrum,Species,A,301
226,oxyrinchus,Species,A,301
222,brevirostrum,Species,A,304
222,brevirostrum,Species,A,307
226,oxyrinchus,Species,A,307
1991,gigas,Species,A,307
4586,cujus,Species,A,307
6110,macdonaldi,Species,A,307
15944,gigas,Species,A,307
18182,jullieni,Species,A,307
20034,formosus,Species,A,307
20034,formosus,Species,A,308
14504,forsteri,Species,A,309
20034,formosus,Species,A,311
230,sturio,Species,A,316
230,sturio,Species,A,317
11375,chalumnae,Species,A,318
230,sturio,Species,A,320
230,sturio,Species,A,322
20034,formosus,Species,A,323
11375,chalumnae,Species,A,324
14504,forsteri,Species,A,327
14504,forsteri,Species,A,328
14504,forsteri,Species,A,329
14504,forsteri,Species,A,330
1991,gigas,Species,A,331
15944,gigas,Species,A,331
18182,jullieni,Species,A,331
4586,cujus,Species,A,332
226,oxyrinchus,Species,A,333
11375,chalumnae,Species,A,334
14504,forsteri,Species,A,334
15944,gigas,Species,A,334
222,brevirostrum,Species,A,336
15944,gigas,Species,A,337
18182,jullieni,Species,A,337
15944,gigas,Species,A,338
15944,gigas,Species,A,341
230,sturio,Species,A,342
4586,cujus,Species,A,343
20034,formosus,Species,A,344
222,brevirostrum,Species,A,346
226,oxyrinchus,Species,A,346
222,brevirostrum,Species,A,348
4586,cujus,Species,A,350
222,brevirostrum,Species,A,353
226,oxyrinchus,Species,A,353
226,oxyrinchus,Species,A,354
18182,jullieni,Species,A,360
14504,forsteri,Species,A,362
6110,macdonaldi,Species,A,363
6110,macdonaldi,Species,A,365
226,oxyrinchus,Species,A,367
11903,lacernulatus,Species,A,380
89,badius,Species,A,381
93,butleri,Species,A,381
104,gentilis,Species,A,381
119,nisus,Species,A,381
128,soloensis,Species,A,381
134,trivirgatus,Species,A,381
136,virgatus,Species,A,381
149,narcondami,Species,A,381
150,nipalensis,Species,A,381
544,monachus,Species,A,381
1219,acuta,Species,A,381
