Scientific name,Rank,RecID,DesignationStandardReferenceID,Excludes,Cascade
ACCIPITRIDAE,Family,5,29654,,N
ACTINOPTERYGII,CLASS,1,30001,GENUS:2126,Y
adolfifriderici,SPECIES,2999,27454,,Y
AEGITHALIDAE,Family,17,29654,,N
aethopyga,SPECIES,105453,29679,,Y
affinis,SPECIES,105234,29662,,Y
africana,SPECIES,12392,2806,,Y
AGAMIDAE,Family,21,25976,,N
alatus,SPECIES,73235,7744,,Y
ALAUDIDAE,Family,26,29654,,N
ALCEDINIDAE,Family,27,29654,,N
ALCIDAE,Family,28,29654,,N
alvarezi,SPECIES,105463,29545,,Y
amazonicus,SPECIES,5658,10026,,Y
amber,SPECIES,104135,27392,,Y
ambreense,SPECIES,105229,28986,,Y
Amphibia,CLASS,2,30000,,Y
ANATIDAE,Family,43,29654,,N
andringitraense,SPECIES,42605,29664,,Y
ANGUIDAE,Family,46,25976,,N
ANHIMIDAE,Family,47,29654,,N
annamensis,SPECIES,105310,29316,,Y
ANSERIFORMES,Order,9,29654,,N
ANTHOZOA,Class,3,30002,,Y
APODIDAE,Family,63,29654,,N
APODIFORMES,Order,12,29654,,N
ARDEIDAE,Family,67,29654,,N
asheorum,SPECIES,105327,29349,,Y
assisi,SPECIES,105464,29545,,Y
atra,SPECIES,14308,10039,,Y
ATRICHORNITHIDAE,Family,85,29654,,N
atromontanum,SPECIES,104124,27391,,Y
aurantiocephala,SPECIES,77892,9115,,Y
aureipalatii,SPECIES,101523,26770,,Y
Aves,CLASS,5,28050,"SPECIES:105220,SPECIES:18623,SPECIES:22115,SPECIES:105218,SPECIES:104122,SPECIES:93569,SPECIES:77892,SPECIES:92778,SPECIES:105219,SPECIES:78907,SPECIES:3426,SPECIES:91010,SPECIES:80395,SPECIES:44470,SPECIES:105452,SPECIES:105454,SPECIES:105453,SPECIES:105317",Y
Aves,CLASS,5,29654,"SPECIES:105220,SPECIES:18623,SPECIES:22115,SPECIES:105218,SPECIES:104122,SPECIES:93569,SPECIES:77892,SPECIES:92778,SPECIES:105219,SPECIES:78907,SPECIES:3426,SPECIES:91010,SPECIES:80395,SPECIES:44470,SPECIES:105452,SPECIES:105454,SPECIES:105453,SPECIES:105317",N
ayresi,SPECIES,105305,29311,,Y
BALAENICIPITIDAE,Family,89,29654,,N
balebicornutus,SPECIES,4518,5230,,Y
batesii,SPECIES,105462,29363,,Y
baylissi,SPECIES,105330,29352,,Y
beniensis,SPECIES,77954,9171,,Y
bennettorum,SPECIES,105346,28539,,Y
biakensis,SPECIES,105347,28539,,Y
biocellatus,SPECIES,73234,7744,,Y
bivittatus,SPECIES,93643,29366,,Y
blainvillii,SPECIES,92645,13116,,Y
boehmei,SPECIES,105228,27975,,Y
Boidae,FAMILY,106,10112,"SPECIES:31814,GENUS:48,GENUS:4344,GENUS:703,GENUS:2554",Y
Bolyeriidae,FAMILY,967,10112,,Y
BOMBYCILLIDAE,Family,107,29654,,N
borai,SPECIES,105333,29355,,Y
borneoensis,SPECIES,3543,29662,,Y
borrii,SPECIES,100338,26179,,Y
Bradypodion,GENUS,642,5047,"SPECIES:104124,SPECIES:105221,SPECIES:105227,SPECIES:105324,SPECIES:27956,SPECIES:43436,SPECIES:43437,SPECIES:43441,SPECIES:43442,SPECIES:29062,SPECIES:3023",Y
breitensteini,SPECIES,74050,10025,,Y
brevicorne,SPECIES,4440,27392,,Y
brongersmai,SPECIES,74051,10025,,Y
Brookesia,GENUS,652,5047,"SPECIES:3106,SPECIES:3105,SPECIES:3109",Y
BUCEROTIDAE,Family,117,29654,,N
bulabula,SPECIES,105231,28987,,Y
burhani,SPECIES,92778,13139,,Y
