Scientific name,Rank,RecID,ParentRank,Parent recID,Status,Species Author,notes,Designation,AcceptedRank,AcceptedRecID
aalge,Species,96132,Genus,30192,S,"Pontoppidan, 1763",,CMS,Species,22774
abbotti,Species,28858,Genus,4652,S,"Ridgway, 1893",,CITES_EU,Species,15977
abbotti,Species,91464,Genus,907,S,"Stejneger, 1891",,CITES_EU,Species,3015
abbotti,Species,95180,Genus,4543,S,"Richmond, 1903",,CITES_EU,Species,20640
abbreviata,subspecies,90880,Species,434,S,"(Dana, 1846)",,CITES_EU,Species,434
abdita,Species,78915,Genus,2715,S,Ellis & Solander 1786,,CITES_EU,Species,8525
abdita,Species,78918,Genus,30663,S,"(Ellis & Solander, 1786)",,CITES_EU,Species,8525
abdita,Species,103370,Genus,19640,S,"(Myers & Daly, 1976)",,CITES_EU,Species,23452
abditus,Species,38879,Genus,30496,S,"(Myers & Daly, 1976)",,CITES_EU,Species,23452
abditus,Species,105470,Genus,1358,S,"Myers & Daly, 1976",,CITES_EU,Species,23452
abeillei,Species,97615,Genus,30558,S,"Lesson & DeLattre, 1839",,CITES_EU,Species,39649
abeillei,Species,102984,Genus,1075,S,"(Lesson, 1839)",,CITES_EU,Species,33533
abies,Species,73188,Genus,306,S,"(Linnaeus, 1758)",,CITES_EU,Species,1682
abies,Species,78916,Genus,30327,S,"Linnaeus, 1758",,CITES_EU,Species,1682
abietina,Species,78917,Genus,306,S,"Pourtalès, 1874",,CITES_EU,Species,1834
abietina,Species,78919,Genus,3560,S,"(Pourtalès, 1874)",,CITES_EU,Species,1834
abietina,Species,93556,Genus,332,S,"(Pourtalès, 1874)",,CITES_EU,Species,1834
abnormis,Species,93986,Genus,1379,S,"Cope, 1868",,CITES_EU,Species,6493
aboma,Species,93733,Genus,593,S,"Daudin, 1803",,CITES_EU,Species,7816
abrotanoides,Species,88249,Genus,2715,S,"Lamarck, 1816",,CITES_EU,Species,42237
abrotanoides,Species,88250,Genus,2983,S,(Audouin),,CITES_EU,Species,13752
abrupta,Species,42102,Genus,30251,S,"(Grandidier, 1868)",,CITES_EU,Species,9010
abrupta,Species,103892,Genus,6315,S,"(Grandidier, 1868)",,CITES_EU,Species,9010
Aburria,Genus,30000,,,S,,,CITES_EU,,
abyssinica,Species,96420,Genus,30143,S,"Sharpe, 1902",,CITES_EU,Species,22564
abyssinicus,subspecies,27922,Species,2169,S,"(Linnaeus, 1758)",,CITES_EU,Species,2164
abyssinicus,Species,28053,Genus,1109,S,"Oken, 1816",An invalid name,CITES_EU,Species,5143
abyssinicus,Species,97163,Genus,3436,S,"Guérin-Méneville, 1843",,CITES_EU,Species,2164
acadica,Species,97170,Genus,4616,S,"Gmelin, 1788",,CITES_EU,Species,535
Acanthis,Genus,30001,,,S,,,CITES_EU,,
Acanthocyathus,Genus,30002,,,S,,,CITES_EU,,
Acanthopora,Genus,30003,,,S,,,CITES_EU,,
acariensis,Species,43476,Genus,7649,S,"(van Roosmalen, van Roosmalen, Mittermeier & Rylands, 2000)",,CITES_EU,Species,43463
accipitrinus,Species,96740,Genus,4103,S,"Linnaeus, 1758",,CITES_EU,Species,6505
Acestrura,Genus,30004,,,S,,,CITES_EU,,
Acinixys,Genus,30005,,,S,,,CITES_EU,,
Acomus,Genus,30006,,,S,,,CITES_EU,,
Acridophaga,Genus,30007,,,S,,,CITES_EU,,
Acrocodia,Genus,30008,,,S,,,CITES_EU,,
acrodonta,Species,100262,Genus,30497,S,"(Hill & Beckon, 1978)",,CITES_EU,Species,18655
actiniformis,Species,88251,Genus,1796,S,"Quoy & Gaimard, 1833",,CITES_EU,Species,9821
actinoides,Species,94115,Genus,4767,S,"Bell, 1828",,CITES_EU,Species,9009
Actitis,Genus,30009,,,S,,,"CITES_EU,CMS",,
Actodromas,Genus,30010,,,S,,,"CITES_EU,CMS",,
aculeata,Species,87898,Genus,306,S,"(Brook, 1889)",,CITES_EU,Species,1683
aculeatum,Species,88252,Genus,1772,S,"Milne Edwards & Haime, 1848",,CITES_EU,Species,22386
aculeatus,Species,42697,Genus,43,S,"Fischer in Lovetsky, 1834",,CITES_EU,Species,232
aculeus,Species,88253,Genus,2715,S,"Dana, 1846",,CITES_EU,Species,318
acuminata,Species,88254,Genus,2715,S,"Verrill, 1864",,CITES_EU,Species,319
acuminata,Species,96033,Genus,30283,S,"(Horsfield, 1821)",,"CITES_EU,CMS",Species,3524
acuminatus,Species,96046,Genus,30814,S,"Horsfield, 1821",,"CITES_EU,CMS",Species,3524
acuta,Species,88255,Genus,3892,S,"Lamarck, 1816",,CITES_EU,Species,17769
acuticaudatus,Species,89496,Genus,30806,S,"(Vieillot, 1818)",,CITES_EU,Species,1992
acuticaudatus,Species,96604,Genus,4103,S,"Vieillot, 1818",,CITES_EU,Species,1992
acuticollis,Species,88258,Genus,30663,S,"Ortmann, 1889",,CITES_EU,Species,29491
acutidens,Species,88259,Genus,1796,S,"Studer, 1877",,CITES_EU,Species,8721
acutus,Species,73986,Genus,30429,S,"(Gray, 1828)",,CITES_EU,Species,11141
adalberti,subspecies,27912,Species,1956,S,"Savigny, 1809",,CITES_EU,Species,1951
Adamastor,Genus,30011,,,S,,,CMS,,
adamsii,Species,94939,Genus,30192,S,"G. R. Gray, 1859",,"CITES_EU,CMS",Species,8958
adansonii,Species,94318,Genus,1580,S,"Schweigger, 1812",,CITES_EU,Species,16523
adansonii,Species,94319,Genus,30771,S,"(Schweigger, 1812)",,CITES_EU,Species,16523
adduensis,Species,88260,Genus,1756,S,"Gardiner, 1904",,CITES_EU,Species,8531
adela,Species,97767,Genus,4923,S,"d'Orbigny & Lafresnaye, 1838",,CITES_EU,Species,15486
adelaidae,Species,42721,Genus,3842,S,"Gould, 1841",,CITES_EU,Species,17495
Adelochelys,Genus,30012,,,S,,,CITES_EU,,
Adenota,Genus,30014,,,S,,,CITES_EU,,
adminicularis,Species,88261,Genus,30038,S,"Rehberg, 1892",,CITES_EU,Species,7724
adminicularis,Species,90904,Genus,1582,S,"(Rehberg, 1892)",,CITES_EU,Species,7724
adolfifriderici,Species,28015,Genus,907,S,"(Sternfeld, 1912)",,CITES_EU,Species,2999
adolfifriderici,Species,91443,Genus,30146,S,"Sternfeld, 1912",,CITES_EU,Species,2999
adolfifridericii,Species,104125,Genus,642,S,"Sternfeld, 1912",,CITES_EU,Species,2999
adorabilis,Species,28455,Genus,30578,S,"(Salvin, 1870)",,CITES_EU,Species,12319
adrianae,Species,88262,Genus,1796,S,"van der Horst, 1921",,CITES_EU,Species,8713
adscitus,Species,96817,Genus,4103,S,"Latham, 1790",,CITES_EU,Species,17492
aduncus,subspecies,98554,Species,22563,S,"(Montagu, 1821)",,CITES_EU,Species,29262
aegagrus,Species,30205,Genus,776,S,"Erxleben, 1777",,CITES_EU,,
Aegialitis,Genus,30015,,,S,,,"CITES_EU,CMS",,
aegiptius,Species,91471,Genus,907,S,"Bonnaterre, 1789",,CITES_EU,Species,4430
aegyptia,Species,93582,Genus,30414,S,"Forskål, 1775",,CITES_EU,Species,22787
aegyptiaca,Species,95382,Genus,239,S,"Linnaeus, 1766",,CITES_EU,Species,901
aegyptiacus,Species,94301,Genus,4913,S,"Geoffroy, 1809",,CITES_EU,Species,22199
aegyptiacus,Species,102849,Genus,170,S,"(Linnaeus, 1766)",,CITES_EU,Species,901
aegyptius,Species,43849,Genus,3810,S,"(J. Fischer, 1829)",,CITES_EU,Species,17322
aegyptius,Species,96072,Genus,911,S,"Linnaeus, 1758",,CMS,Species,17760
aenea,Species,87876,Genus,306,S,"von Koch, 1889",,CITES_EU,Species,1705
aenea,Species,88020,Genus,306,S,"(Linnaeus, 1758)",,CITES_EU,Species,1682
aenea,Species,88021,Genus,30327,S,"Linnaeus, 1758",,CITES_EU,Species,1682
aenea,Species,96300,Genus,1115,S,"Linnaeus, 1766",,CITES_EU,Species,6870
aenea,Species,97918,Genus,136,S,"Pallas, 1764",,CITES_EU,Species,4717
aenea,Species,102861,Genus,1880,S,"Lawrence, 1867",,CITES_EU,Species,9233
aeneocauda,Species,97826,Genus,4923,S,"Gould, 1846",,CITES_EU,Species,13263
aeneus,subspecies,97567,Species,9234,S,"(Gmelin, 1788)",,CITES_EU,Species,9233
aequatorialis,Species,105424,Genus,6441,S,"Matschie, 1892)",,CITES_EU,Species,4143
aequinoctialis,Species,95246,Genus,1752,S,"Gmelin, 1788",,CITES_EU,Species,3372
aequiserialis,Species,5101,Genus,30188,S,"Milne Edwards & Haime, 1848",,CITES_EU,Species,22438
aeruginosus,Species,95193,Genus,1752,S,"Linnaeus, 1758",,CITES_EU,Species,4898
aestivus,Species,96728,Genus,4103,S,"Linnaeus, 1758",,CITES_EU,Species,1041
Aestrelata,Genus,30016,,,S,,,"CITES_EU,CMS",,
Aetheoptera,Genus,30017,,,S,,,CITES_EU,,
aethiopicus,Species,95103,Genus,30784,S,"Latham, 1790",,CITES_EU,Species,21833
aethiops,Species,4233,Genus,870,S,"(Linnaeus, 1758)",,CITES_EU,Species,4716
aff. baroni,Species,46459,Genus,2742,S,NULL,,CITES_EU,Species,30450
affine,Species,88265,Genus,1772,S,"Milne Edwards & Haime, 1848",,CITES_EU,Species,22403
affinis,subspecies,91530,Species,91532,S,"Boulenger, 1901",,CITES_EU,Species,4516
affinis,Species,5102,Genus,30188,S,"Duncan, 1889",,CITES_EU,Species,22434
affinis,Species,8500,Genus,1756,S,"(Milne Edwards & Haime, 1850)",,CITES_EU,Species,8503
affinis,Species,16549,Genus,3634,S,"Tweeddale, 1877",,CITES_EU,Species,16553
affinis,Species,88036,Genus,538,S,"(Brook, 1889)",,CITES_EU,Species,19989
affinis,Species,88247,Genus,55,S,"(Brook, 1893)",,CITES_EU,Species,364
affinis,Species,88266,Genus,504,S,"(Semper, 1872)",,CITES_EU,Species,2521
affinis,Species,88267,Genus,1370,S,"Duncan, 1889",,CITES_EU,Species,22434
affinis,Species,88268,Genus,30452,S,"Pourtalès, 1868",,CITES_EU,Species,12307
affinis,Species,88269,Genus,30589,S,"Milne Edwards & Haime, 1850",,CITES_EU,Species,8503
affinis,Species,88270,Genus,4259,S,"Duncan, 1873",,CITES_EU,Species,13717
affinis,Species,88271,Genus,30707,S,"Semper, 1872",,CITES_EU,Species,2521
affinis,Species,90978,Genus,30074,S,"(Milne Edwards & Haime, 1850)",,CITES_EU,Species,8503
affinis,Species,93861,Genus,622,S,"Bocourt, 1868",,CITES_EU,Species,2919
affinis,Species,93862,Genus,30110,S,"(Bocourt, 1868)",,CITES_EU,Species,2919
affinis,Species,93866,Genus,30819,S,"(Bocourt, 1868)",,CITES_EU,Species,2919
affinis,Species,95432,Genus,30308,S,"Eyton, 1838",,CMS,Species,2450
affinis,Species,100942,Genus,2715,S,"Brook, 1893",,CITES_EU,Species,364
affinis,Species,105263,Genus,907,S,"Rüppell, 1845",,CITES_EU,Species,4429
afra,Species,27874,Genus,1718,S,"(Linnaeus, 1766)",,CITES_EU,Species,8355
afra,Species,95811,Genus,3426,S,"Linnaeus, 1766",,CITES_EU,Species,8355
afra,Species,96419,Genus,1115,S,"Linnaeus, 1766",,CITES_EU,Species,22565
afraoides,subspecies,28174,Species,27874,S,"(Linnaeus, 1766)",,CITES_EU,Species,8356
afraoides,subspecies,95813,Species,200103,S,"(Linnaeus, 1766)",,CITES_EU,Species,8356
afraoides,Species,89353,Genus,1718,S,"(A. Smith, 1831)",,CITES_EU,Species,8356
afraoides,Species,95812,Genus,3426,S,"A. Smith, 1831",,CITES_EU,Species,8356
