Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
HOLOTHUROIDEA,Class,41,Phylum,6,A,,,CITES_EU
STELLEROIDEA,Class,26,Phylum,6,A,,,CITES_EU
SARCOPTERYGII,Class,24,Phylum,3,A,,,CITES_EU
REPTILIA,Class,23,Phylum,3,A,,,"CITES_EU,CMS"
MAMMALIA,Class,17,Phylum,3,A,,,"CITES_EU,CMS"
INSECTA,Class,16,Phylum,2,A,,,"CITES_EU,CMS"
HYDROZOA,Class,15,Phylum,5,A,,,CITES_EU
HIRUDINOIDEA,Class,14,Phylum,1,A,,,CITES_EU
GASTROPODA,Class,13,Phylum,7,A,,,CITES_EU
ELASMOBRANCHII,Class,11,Phylum,3,A,,,"CITES_EU,CMS"
CEPHALASPIDOMORPHI,Class,7,Phylum,3,A,,,CITES_EU
BIVALVIA,Class,6,Phylum,7,A,,,CITES_EU
AVES,Class,5,Phylum,3,A,,,"CITES_EU,CMS"
ARACHNIDA,Class,4,Phylum,2,A,,,CITES_EU
ANTHOZOA,Class,3,Phylum,5,A,,,CITES_EU
AMPHIBIA,Class,2,Phylum,3,A,,,CITES_EU
ACTINOPTERYGII,Class,1,Phylum,3,A,,,"CITES_EU,CMS"
PODOCNEMIDIDAE,Family,7203,Order,893,A,,,CMS
DERMOCHELYIDAE,Family,7202,Order,893,A,,,CMS
CHELONIIDAE,Family,7201,Order,893,A,,,CMS
ARAPAIMIDAE,Family,7200,Order,107,A,,,CITES_EU
MYOBATRACHIDAE,Family,7199,Order,11,A,,,CITES_EU
DICROGLOSSIDAE,Family,7198,Order,11,A,,,CITES_EU
AROMOBATIDAE,Family,7197,Order,11,A,,,CITES_EU
Carcharhinidae,Family,7196,Order,892,A,,,CITES_EU
MOBULIDAE,Family,7195,Order,891,A,,,"CITES_EU,CMS"
CALYPTOCEPHALELLIDAE,Family,7194,Order,11,A,,,CITES_EU
Ptilocercidae,Family,7191,Order,731,A,"Lyon, 1913",,CITES_EU
HIPPOSIDERIDAE,Family,7187,Order,33,A,,,CITES_EU
EUPLERIDAE,Family,7186,Order,26,A,,,CITES_EU
MEPHITIDAE,Family,7185,Order,26,A,,,CITES_EU
AILURIDAE,Family,7184,Order,26,A,,,CITES_EU
INIIDAE,Family,7183,Order,30,A,"Gray, 1846",,"CITES_EU,CMS"
CRICETIDAE,Family,7182,Order,134,A,"Fischer, 1817",,CITES_EU
CYCLOPEDIDAE,Family,7177,Order,890,A,"Pocock, 1924",,CITES_EU
ATELIDAE,Family,7176,Order,124,A,"Gray, 1825",,CITES_EU
PITHECIIDAE,Family,7175,Order,124,A,"Mivart, 1865",,CITES_EU
AOTIDAE,Family,7174,Order,124,A,"Elliot, 1913",,CITES_EU
HYPSIPRYMNODONTIDAE,Family,7173,Order,54,A,,,CITES_EU
THYLACOMYIDAE,Family,7172,Order,112,A,,,CITES_EU
CHAEROPODIDAE,Family,7171,Order,112,A,,,CITES_EU
PODOCNEMIDIDAE,Family,7135,Order,153,A,,,CITES_EU
GEOEMYDIDAE,Family,7134,Order,153,A,,,CITES_EU
STYLOPATHIDAE,Family,7133,Order,10,A,"Opresko, 2006",,CITES_EU
LIMNODYNASTIDAE,Family,7114,Order,11,A,,,CITES_EU
LORIIDAE,Family,7109,Order,129,A,,,CITES_EU
CACATUIDAE,Family,7108,Order,129,A,,,CITES_EU
APHANIPATHIDAE,Family,7107,Order,10,A,"Opresko, 2004",,CITES_EU
GEOTRIIDAE,Family,7104,Order,116,A,,,CITES_EU
CLADOPATHIDAE,Family,6981,Order,10,A,"Kinoshita, 1910",,CITES_EU
SCHIZOPATHIDAE,Family,6980,Order,10,A,"Brook, 1889 emend.",,CITES_EU
HALIOTIDAE,Family,4701,Order,15,A,,,CITES_EU
LEIOPATHIDAE,Family,3140,Order,10,A,"Haeckel, 1896",,CITES_EU
MYRIOPATHIDAE,Family,2706,Order,10,A,"Opresko, 2001",,CITES_EU
GERRHOSAURIDAE,Family,2603,Order,136,A,,,CITES_EU
TELMATHERINIDAE,Family,2598,Order,18,A,,,CITES_EU
PSEUDOMUGILIDAE,Family,2590,Order,18,A,,,CITES_EU
FUNDULIDAE,Family,2570,Order,47,A,,,CITES_EU
MELANOTAENIIDAE,Family,2565,Order,18,A,,,CITES_EU
STICHOPODIDAE,Family,2383,Order,242,A,"Haeckel, 1896",,CITES_EU
NOTODONTIDAE,Family,1630,Order,82,A,,,CITES_EU
SPHYRNIDAE,Family,1344,Order,25,A,,,CITES_EU
OSPHRONEMIDAE,Family,1308,Order,113,A,,,CITES_EU
APOGONIDAE,Family,1207,Order,113,A,,,CITES_EU
BOMBINATORIDAE,Family,1007,Order,11,A,,,CITES_EU
TROPIDOPHIIDAE,Family,970,Order,141,A,"Brongersma, 1951",,CITES_EU
PYTHONIDAE,Family,969,Order,141,A,"Fitzinger, 1826",,CITES_EU
LOXOCEMIDAE,Family,968,Order,141,A,"Cope, 1861",,CITES_EU
BOLYERIIDAE,Family,967,Order,141,A,"Hoffstetter, 1946",,CITES_EU
GARDINERIIDAE,Family,963,Order,137,A,,,CITES_EU
