ComName,LangShort,RecId,Rank,Designation,ReferenceID
叉角羚,ZHO,5062,SPECIES,CITES_EU,
旋角羚,ZHO,4464,SPECIES,CITES_EU,
印度野牛,ZHO,5874,SPECIES,CITES_EU,
野牦牛,ZHO,7471,SPECIES,CITES_EU,
柬埔寨野牛,ZHO,11180,SPECIES,CITES_EU,
西里伯斯水牛,ZHO,4425,SPECIES,CITES_EU,
民都洛水牛,ZHO,8124,SPECIES,CITES_EU,
夸氏水牛,ZHO,10958,SPECIES,CITES_EU,
捻角山羊,ZHO,3780,SPECIES,CITES_EU,
中华鬣羚,ZHO,3881,SPECIES,CITES_EU,
红鬣羚,ZHO,3939,SPECIES,CITES_EU,
苏门答腊鬣羚,ZHO,7979,SPECIES,CITES_EU,
喜马拉雅鬣羚,ZHO,10594,SPECIES,CITES_EU,
詹氏小羚羊,ZHO,4194,SPECIES,CITES_EU,
居氏羚,ZHO,3080,SPECIES,CITES_EU,
细角羚,ZHO,9611,SPECIES,CITES_EU,
大貂羚安哥拉亚种,ZHO,12301,SUBSPECIES,CITES_EU,
赤斑羚,ZHO,4344,SPECIES,CITES_EU,
长尾斑羚,ZHO,7159,SPECIES,CITES_EU,
喜马拉雅斑羚,ZHO,9378,SPECIES,CITES_EU,
中华斑羚,ZHO,6231,SPECIES,CITES_EU,
苍羚,ZHO,10002,SPECIES,CITES_EU,
弯角大羚羊,ZHO,11205,SPECIES,CITES_EU,
阿拉伯大羚羊,ZHO,4154,SPECIES,CITES_EU,
安纳托利亚绵盘羊,ZHO,33589,SPECIES,CITES_EU,
西藏盘羊,ZHO,98423,SPECIES,CITES_EU,
卡拉套盘羊,ZHO,30824,SPECIES,CITES_EU,
维氏绵盘羊,ZHO,4814,SPECIES,CITES_EU,
鬣羊,ZHO,3905,SPECIES,CITES_EU,
扭角羚,ZHO,3135,SPECIES,CITES_EU,
高加索羱羊,ZHO,67978,SPECIES,CITES_EU,
布氏小羚羊,ZHO,8418,SPECIES,CITES_EU,
骝毛小羚羊,ZHO,4497,SPECIES,CITES_EU,
奥氏小羚羊,ZHO,8002,SPECIES,CITES_EU,
黄背小羚羊,ZHO,10119,SPECIES,CITES_EU,
斑背小羚羊,ZHO,7092,SPECIES,CITES_EU,
白腿大羚羊指名亚种,ZHO,12162,SUBSPECIES,CITES_EU,
驴羚,ZHO,4050,SPECIES,CITES_EU,
阿尔泰盘羊,ZHO,7093,SPECIES,CITES_EU,
阿拉伯绵盘羊,ZHO,35596,SPECIES,CITES_EU,
塔吉克绵盘羊,ZHO,98436,SPECIES,CITES_EU,
加拿大盘羊,ZHO,3036,SPECIES,CITES_EU,
哈萨克盘羊,ZHO,98883,SPECIES,CITES_EU,
阿富汗绵盘羊,ZHO,98424,SPECIES,CITES_EU,
戈壁盘羊,ZHO,98884,SPECIES,CITES_EU,
雅布赖盘羊,ZHO,32866,SPECIES,CITES_EU,
天山盘羊,ZHO,98885,SPECIES,CITES_EU,
帕米尔盘羊,ZHO,98886,SPECIES,CITES_EU,
旁遮普绵盘羊,ZHO,98952,SPECIES,CITES_EU,
乌兹别克盘羊,ZHO,98887,SPECIES,CITES_EU,
褐麂羚,ZHO,101271,SPECIES,CITES_EU,
蓝小羚羊,ZHO,9997,SPECIES,CITES_EU,
岩羚羊阿布鲁左亚种,ZHO,12328,SUBSPECIES,CITES_EU,
北方高鼻羚羊,ZHO,9751,SPECIES,CITES_EU,
高鼻羚羊,ZHO,8765,SPECIES,CITES_EU,
印度羚,ZHO,4985,SPECIES,CITES_EU,
大蓝羚,ZHO,65574,SPECIES,CITES_EU,
印度水牛,ZHO,6811,SPECIES,CITES_EU,
野山羊,ZHO,65582,SUBSPECIES,CITES_EU,
北山羊,ZHO,65566,SPECIES,CITES_EU,
印度瞪羚,ZHO,65567,SPECIES,CITES_EU,
鹿羚,ZHO,5673,SPECIES,CITES_EU,
岩羊,ZHO,65584,SPECIES,CITES_EU,
四角羚,ZHO,9831,SPECIES,CITES_EU,
藏羚,ZHO,8117,SPECIES,CITES_EU,
安南锭角羚,ZHO,10395,SPECIES,CITES_EU,
原驼,ZHO,10716,SPECIES,CITES_EU,
鲟形目 ,ZHO,102,ORDER,CITES_EU,
卡岛豚鹿,ZHO,4889,SPECIES,CITES_EU,
巴岛豚鹿,ZHO,10380,SPECIES,CITES_EU,
豚鹿印支亚种,ZHO,12317,SUBSPECIES,CITES_EU,
南美泽鹿,ZHO,3625,SPECIES,CITES_EU,
马鹿克什米尔亚种,ZHO,12225,SUBSPECIES,CITES_EU,
黇鹿波斯亚种,ZHO,12218,SUBSPECIES,CITES_EU,
马鹿大夏亚种,ZHO,12260,SUBSPECIES,CITES_EU,
