ComName,LangShort,RecId,Rank,Designation,ReferenceID
东方白鹳,ZHO,5126,SPECIES,CITES_EU,
丹顶鹤,ZHO,3364,SPECIES,CITES_EU,
乌林鸮,ZHO,3952,SPECIES,CITES_EU,
乌灰鹞,ZHO,3702,SPECIES,CITES_EU,
乌雕,ZHO,7698,SPECIES,CITES_EU,
亚历山大鹦鹉,ZHO,5090,SPECIES,CITES_EU,
仓鸮,ZHO,3798,SPECIES,CITES_EU,
仙八色鸫,ZHO,8659,SPECIES,CITES_EU,
优雅角鸮,ZHO,6285,SPECIES,CITES_EU,
兀鹫,ZHO,5114,SPECIES,CITES_EU,
冠斑犀鸟,ZHO,9246,SPECIES,CITES_EU,
凤头蜂鹰,ZHO,10217,SPECIES,CITES_EU,
凤头鹰,ZHO,9993,SPECIES,CITES_EU,
凤头鹰雕,ZHO,6751,SPECIES,CITES_EU,
勺鸡,ZHO,65601,SPECIES,CITES_EU,
卷羽鹈鹕,ZHO,9986,SPECIES,CITES_EU,
双角犀鸟,ZHO,5527,SPECIES,CITES_EU,
台湾画眉,ZHO,7155,SPECIES,CITES_EU,
大,ZHO,5283,SPECIES,CITES_EU,
大紫胸鹦鹉,ZHO,7955,SPECIES,CITES_EU,
大红鹳,ZHO,6046,SPECIES,CITES_EU,
大鸨,ZHO,6135,SPECIES,CITES_EU,
小青脚鹬,ZHO,7520,SPECIES,CITES_EU,
小鸨,ZHO,6639,SPECIES,CITES_EU,
拟游隼,ZHO,10464,SPECIES,CITES_EU,
斑头鸺鹠,ZHO,6604,SPECIES,CITES_EU,
日本松雀鹰,ZHO,7274,SPECIES,CITES_EU,
普通,ZHO,10354,SPECIES,CITES_EU,
朱鹮,ZHO,9080,SPECIES,CITES_EU,
松雀鹰,ZHO,6241,SPECIES,CITES_EU,
林雕,ZHO,6557,SPECIES,CITES_EU,
林雕鸮,ZHO,4265,SPECIES,CITES_EU,
栗鸢,ZHO,9025,SPECIES,CITES_EU,
棕尾,ZHO,5344,SPECIES,CITES_EU,
棕尾虹雉,ZHO,8334,SPECIES,CITES_EU,
棕翅鹰,ZHO,3277,SPECIES,CITES_EU,
棕腹隼雕,ZHO,5097,SPECIES,CITES_EU,
棕颈犀鸟,ZHO,4768,SPECIES,CITES_EU,
横斑腹小鸮,ZHO,10497,SPECIES,CITES_EU,
毛脚,ZHO,9200,SPECIES,CITES_EU,
毛腿雕鸮,ZHO,3380,SPECIES,CITES_EU,
沙丘鹤,ZHO,7937,SPECIES,CITES_EU,
波斑鸨,ZHO,9020,SPECIES,CITES_EU,
渔雕,ZHO,4328,SPECIES,CITES_EU,
游隼,ZHO,6244,SPECIES,CITES_EU,
灰头鹦鹉,ZHO,3321,SPECIES,CITES_EU,
灰孔雀雉,ZHO,5067,SPECIES,CITES_EU,
灰林鸮,ZHO,6137,SPECIES,CITES_EU,
灰背隼,ZHO,7740,SPECIES,CITES_EU,
灰胸薮鹛,ZHO,5626,SPECIES,CITES_EU,
灰脸鹰,ZHO,3124,SPECIES,CITES_EU,
灰腹角雉,ZHO,6141,SPECIES,CITES_EU,
灰鹤,ZHO,10083,SPECIES,CITES_EU,
燕隼,ZHO,3900,SPECIES,CITES_EU,
猎隼,ZHO,10949,SPECIES,CITES_EU,
猛隼,ZHO,6006,SPECIES,CITES_EU,
猛鸮,ZHO,6033,SPECIES,CITES_EU,
玉带海雕,ZHO,6744,SPECIES,CITES_EU,
画眉,ZHO,3995,SPECIES,CITES_EU,
