taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
13768,SPECIES,COUNTRY,ST,18813,CITES_EU
13768,SPECIES,COUNTRY,GQ,18813,CITES_EU
15752,SPECIES,COUNTRY,AO,18813,CITES_EU
15752,SPECIES,COUNTRY,CG,18813,CITES_EU
21934,SPECIES,COUNTRY,GQ,18813,CITES_EU
15975,SPECIES,COUNTRY,GQ,18813,CITES_EU
27717,SPECIES,COUNTRY,MY,18813,CITES_EU
16013,SPECIES,COUNTRY,MY,18813,CITES_EU
29114,SPECIES,COUNTRY,MY,18813,CITES_EU
21668,SPECIES,COUNTRY,MY,18813,CITES_EU
22171,SPECIES,COUNTRY,BI,18813,CITES_EU
22171,SPECIES,COUNTRY,RW,18813,CITES_EU
22171,SPECIES,COUNTRY,CI,18813,CITES_EU
18522,SPECIES,COUNTRY,ST,18813,CITES_EU
18904,SPECIES,COUNTRY,CF,18813,CITES_EU
18904,SPECIES,COUNTRY,GH,18813,CITES_EU
18904,SPECIES,COUNTRY,GN,18813,CITES_EU
18904,SPECIES,COUNTRY,GQ,18813,CITES_EU
18904,SPECIES,COUNTRY,RW,18813,CITES_EU
18904,SPECIES,COUNTRY,SL,18813,CITES_EU
18904,SPECIES,COUNTRY,BI,18813,CITES_EU
28403,SPECIES,COUNTRY,ST,18813,CITES_EU
23886,SPECIES,COUNTRY,BI,18813,CITES_EU
23886,SPECIES,COUNTRY,GW,18813,CITES_EU
23886,SPECIES,COUNTRY,SN,18813,CITES_EU
28698,SPECIES,COUNTRY,ST,18813,CITES_EU
99471,SPECIES,COUNTRY,MU,18813,CITES_EU
20300,SPECIES,COUNTRY,GQ,18813,CITES_EU
47832,SPECIES,COUNTRY,CD,18813,CITES_EU
47832,SPECIES,COUNTRY,UG,18813,CITES_EU
99038,SPECIES,COUNTRY,MG,18813,CITES_EU
25865,SPECIES,COUNTRY,GQ,18813,CITES_EU
14383,SPECIES,COUNTRY,ST,18813,CITES_EU
59296,SPECIES,COUNTRY,MU,18813,CITES_EU
59296,SPECIES,TERRITORY,RE,18813,CITES_EU
16905,SPECIES,COUNTRY,KR,18813,CITES_EU
15225,SPECIES,COUNTRY,AR,18813,CITES_EU
15225,SPECIES,COUNTRY,PE,18813,CITES_EU
15225,SPECIES,COUNTRY,PY,18813,CITES_EU
20431,SPECIES,TERRITORY,AN,18813,CITES_EU
19398,SPECIES,COUNTRY,MY,18813,CITES_EU
27803,SPECIES,COUNTRY,MY,18813,CITES_EU
27803,SPECIES,COUNTRY,IN,18813,CITES_EU
27046,SPECIES,COUNTRY,MY,18813,CITES_EU
27046,SPECIES,COUNTRY,BN,18813,CITES_EU
27046,SPECIES,COUNTRY,VU,18813,CITES_EU
